Site,Longitude (degE),Latitude (degN),Site Depth (m),published_archival_depth (m),age_model (y BP),d13C (VPDB),d18O (VPDB),Taxon_flag,Ocean_flag(1=Atl.;2=Pac.;3=Ind.)
MD07-3076,-14.2,-44.2,3770.0,0.0,1365.883056640625,-0.125,3.49,2.0,1
MD07-3076,-14.2,-44.2,3770.0,0.02,1422.1453857421875,-0.1525,3.425,2.0,1
MD07-3076,-14.2,-44.2,3770.0,0.06,1647.183349609375,0.15,3.4,2.0,1
MD07-3076,-14.2,-44.2,3770.0,0.08,2018.416015625,0.0825,3.4025,2.0,1
MD07-3076,-14.2,-44.2,3770.0,0.1,2389.645751953125,0.325,3.395,2.0,1
MD07-3076,-14.2,-44.2,3770.0,0.12,2742.019775390625,-0.2,3.34,2.0,1
MD07-3076,-14.2,-44.2,3770.0,0.14,3075.53173828125,-0.38,3.34,2.0,1
MD07-3076,-14.2,-44.2,3770.0,0.16,3409.0439453125,-0.23,3.32,2.0,1
MD07-3076,-14.2,-44.2,3770.0,0.18,3900.277587890625,0.07,3.33,2.0,1
MD07-3076,-14.2,-44.2,3770.0,0.2,4391.51513671875,-0.11,3.48,2.0,1
MD07-3076,-14.2,-44.2,3770.0,0.22,4885.92626953125,-0.2,3.4,2.0,1
MD07-3076,-14.2,-44.2,3770.0,0.24,5383.50439453125,-0.04,3.33,2.0,1
MD07-3076,-14.2,-44.2,3770.0,0.26,5881.080078125,-0.32,3.4266666667,2.0,1
MD07-3076,-14.2,-44.2,3770.0,0.28,6139.87548828125,-0.12,3.47,2.0,1
MD07-3076,-14.2,-44.2,3770.0,0.3,6398.6728515625,-0.26,3.25,2.0,1
MD07-3076,-14.2,-44.2,3770.0,0.32,6594.22265625,-0.1,3.4,2.0,1
MD07-3076,-14.2,-44.2,3770.0,0.34,6726.54296875,0.04,3.45,2.0,1
MD07-3076,-14.2,-44.2,3770.0,0.36,6858.857421875,-0.04,3.5533333333,2.0,1
MD07-3076,-14.2,-44.2,3770.0,0.38,7508.89697265625,-0.14,3.43,2.0,1
MD07-3076,-14.2,-44.2,3770.0,0.4,8158.94482421875,0.04,3.58,2.0,1
MD07-3076,-14.2,-44.2,3770.0,0.42,8768.6943359375,-0.13,3.63,2.0,1
MD07-3076,-14.2,-44.2,3770.0,0.44,9338.16015625,-0.16,3.54,2.0,1
MD07-3076,-14.2,-44.2,3770.0,0.46,9907.6298828125,-0.21,3.56,2.0,1
MD07-3076,-14.2,-44.2,3770.0,0.48,9989.16796875,-0.02,3.64,2.0,1
MD07-3076,-14.2,-44.2,3770.0,0.5,10070.7099609375,0.15,3.81,2.0,1
MD07-3076,-14.2,-44.2,3770.0,0.52,10256.8828125,0.37,3.52,2.0,1
MD07-3076,-14.2,-44.2,3770.0,0.54,10547.701171875,0.53,3.78,2.0,1
MD07-3076,-14.2,-44.2,3770.0,0.56,10838.54296875,0.21,3.84,2.0,1
MD07-3076,-14.2,-44.2,3770.0,0.58,11003.5390625,0.31,4.005,2.0,1
MD07-3076,-14.2,-44.2,3770.0,0.6,11168.5341796875,0.35,3.84,2.0,1
MD07-3076,-14.2,-44.2,3770.0,0.62,11367.59375,0.29,3.82,2.0,1
MD07-3076,-14.2,-44.2,3770.0,0.64,11600.658203125,0.2566666667,4.0933333333,2.0,1
MD07-3076,-14.2,-44.2,3770.0,0.66,11833.7236328125,-0.06,4.2766666667,2.0,1
MD07-3076,-14.2,-44.2,3770.0,0.68,12106.357421875,-0.16,4.24,2.0,1
MD07-3076,-14.2,-44.2,3770.0,0.7,12379.001953124998,-0.3,4.12,2.0,1
MD07-3076,-14.2,-44.2,3770.0,0.72,12703.986328125,-0.12,4.2,2.0,1
MD07-3076,-14.2,-44.2,3770.0,0.74,13081.3291015625,-0.14,4.52,2.0,1
