d18O (PDB),Longitude (degE),Latitude (degN),Site Depth (m),published_archival_depth (m),age_model (y BP),d13C (VPDB),d18O (VPDB),Taxon_flag,Ocean_flag(1=Atl.;2=Pac.;3=Ind.),Site,d13C (PDB)
,-30.904833,59.18616700000001,1416.0,0.02,18319.689453125,1.56,3.91,1.0,1,SO82-5-2,
,-30.904833,59.18616700000001,1416.0,0.975,18548.5908203125,1.69,4.46,1.0,1,SO82-5-2,
,-30.904833,59.18616700000001,1416.0,0.98,18594.357421875,1.69,4.46,1.0,1,SO82-5-2,
,-30.904833,59.18616700000001,1416.0,1.0,18777.4140625,1.76,4.38,1.0,1,SO82-5-2,
,-30.904833,59.18616700000001,1416.0,1.01,18875.1875,1.74,4.45,1.0,1,SO82-5-2,
,-30.904833,59.18616700000001,1416.0,1.05,19266.8515625,1.69,4.45,1.0,1,SO82-5-2,
,-30.904833,59.18616700000001,1416.0,1.075,19493.3427734375,1.74,4.42,1.0,1,SO82-5-2,
,-30.904833,59.18616700000001,1416.0,1.08,19538.548828125,1.74,4.42,1.0,1,SO82-5-2,
,-30.904833,59.18616700000001,1416.0,1.15,20308.80078125,1.72,4.32,1.0,1,SO82-5-2,
,-30.904833,59.18616700000001,1416.0,1.175,20607.947265625,1.83,4.49,1.0,1,SO82-5-2,
,-30.904833,59.18616700000001,1416.0,1.18,20667.78125,1.83,4.49,1.0,1,SO82-5-2,
,-30.904833,59.18616700000001,1416.0,1.23,21165.978515625,1.7,4.41,1.0,1,SO82-5-2,
,-30.904833,59.18616700000001,1416.0,1.25,21335.841796875,1.76,4.4,1.0,1,SO82-5-2,
,-30.904833,59.18616700000001,1416.0,1.3,21798.39453125,1.74,4.38,1.0,1,SO82-5-2,
,-30.904833,59.18616700000001,1416.0,1.33,22034.359375,1.65,4.6,1.0,1,SO82-5-2,
,-30.904833,59.18616700000001,1416.0,1.35,22190.01171875,1.75,4.24,1.0,1,SO82-5-2,
,-30.904833,59.18616700000001,1416.0,1.37,22307.478515625,0.95,3.99,1.0,1,SO82-5-2,
,-30.904833,59.18616700000001,1416.0,1.5,23350.787109375,1.12,3.43,1.0,1,SO82-5-2,
,-30.904833,59.18616700000001,1416.0,1.52,23505.607421875,1.14,3.82,1.0,1,SO82-5-2,
,-30.904833,59.18616700000001,1416.0,1.525,23544.041015625,1.14,3.82,1.0,1,SO82-5-2,
,-30.904833,59.18616700000001,1416.0,1.55,23736.0625,1.28,3.92,1.0,1,SO82-5-2,
,-30.904833,59.18616700000001,1416.0,1.56,23811.158203125,1.08,3.96,1.0,1,SO82-5-2,
,-30.904833,59.18616700000001,1416.0,1.575,23922.779296875,1.28,3.79,1.0,1,SO82-5-2,
,-30.904833,59.18616700000001,1416.0,1.58,23960.00390625,1.28,3.79,1.0,1,SO82-5-2,
,-30.904833,59.18616700000001,1416.0,1.6,24108.861328125,1.41,3.84,1.0,1,SO82-5-2,
