Site,Longitude (degE),Latitude (degN),Site Depth (m),published_archival_depth (m),age_model (y BP),d13C (VPDB),d18O (VPDB),Taxon_flag,Ocean_flag(1=Atl.;2=Pac.;3=Ind.)
GIK23415_9,-19.145,53.178333,2472.0,0.02,1362.0,1.15,2.7,1.0,1
GIK23415_9,-19.145,53.178333,2472.0,0.05,1765.0,0.97,2.41,1.0,1
GIK23415_9,-19.145,53.178333,2472.0,0.1,2759.0,1.07,2.52,1.0,1
GIK23415_9,-19.145,53.178333,2472.0,0.125,3253.0,1.21,2.83,1.0,1
GIK23415_9,-19.145,53.178333,2472.0,0.15,3746.0,0.94,2.48,1.0,1
GIK23415_9,-19.145,53.178333,2472.0,0.175,4244.5,1.22,2.67,1.0,1
GIK23415_9,-19.145,53.178333,2472.0,0.2,4722.0,0.94,2.62,1.0,1
GIK23415_9,-19.145,53.178333,2472.0,0.25,5626.0,1.23,2.69,1.0,1
GIK23415_9,-19.145,53.178333,2472.0,0.275,6094.0,1.13,2.69,1.0,1
GIK23415_9,-19.145,53.178333,2472.0,0.3,6447.0,1.13,2.78,1.0,1
GIK23415_9,-19.145,53.178333,2472.0,0.35,7073.0,1.16,2.55,1.0,1
GIK23415_9,-19.145,53.178333,2472.0,0.375,7405.0,1.17,2.49,1.0,1
GIK23415_9,-19.145,53.178333,2472.0,0.4,7666.0,0.9,2.74,1.0,1
GIK23415_9,-19.145,53.178333,2472.0,0.425,7887.5,1.03,2.74,1.0,1
GIK23415_9,-19.145,53.178333,2472.0,0.45,8113.0,1.05,2.75,1.0,1
GIK23415_9,-19.145,53.178333,2472.0,0.475,8357.5,1.08,2.76,1.0,1
GIK23415_9,-19.145,53.178333,2472.0,0.5,8621.0,1.03,2.61,1.0,1
GIK23415_9,-19.145,53.178333,2472.0,0.525,8878.0,1.13,2.89,1.0,1
GIK23415_9,-19.145,53.178333,2472.0,0.55,9134.0,1.0,2.61,1.0,1
GIK23415_9,-19.145,53.178333,2472.0,0.6,9667.0,0.91,2.72,1.0,1
GIK23415_9,-19.145,53.178333,2472.0,0.625,9916.0,0.91,2.8,1.0,1
GIK23415_9,-19.145,53.178333,2472.0,0.65,10167.0,0.93,2.74,1.0,1
GIK23415_9,-19.145,53.178333,2472.0,0.675,10425.5,0.89,2.86,1.0,1
GIK23415_9,-19.145,53.178333,2472.0,0.725,10942.5,0.94,2.82,1.0,1
GIK23415_9,-19.145,53.178333,2472.0,0.75,11183.0,0.74,2.92,1.0,1
GIK23415_9,-19.145,53.178333,2472.0,0.775,11414.5,0.87,2.94,1.0,1
GIK23415_9,-19.145,53.178333,2472.0,0.8,11647.0,0.81,3.15,1.0,1
GIK23415_9,-19.145,53.178333,2472.0,0.825,11835.5,0.69,3.06,1.0,1
GIK23415_9,-19.145,53.178333,2472.0,0.85,12021.0,0.82,3.5,1.0,1
GIK23415_9,-19.145,53.178333,2472.0,0.875,12205.0,0.88,3.36,1.0,1
GIK23415_9,-19.145,53.178333,2472.0,0.9,12390.0,1.01,3.26,1.0,1
GIK23415_9,-19.145,53.178333,2472.0,0.95,12780.0,0.76,3.37,1.0,1
GIK23415_9,-19.145,53.178333,2472.0,0.975,12979.0,0.56,3.73,1.0,1
GIK23415_9,-19.145,53.178333,2472.0,0.99,13098.0,0.85,3.4,1.0,1
GIK23415_9,-19.145,53.178333,2472.0,1.025,13372.0,0.43,3.21,1.0,1
GIK23415_9,-19.145,53.178333,2472.0,1.05,13560.0,0.85,3.68,1.0,1
GIK23415_9,-19.145,53.178333,2472.0,1.075,13748.0,0.68,3.56,1.0,1
GIK23415_9,-19.145,53.178333,2472.0,1.1,13938.0,0.54,3.49,1.0,1
GIK23415_9,-19.145,53.178333,2472.0,1.125,14125.5,0.73,3.56,1.0,1
GIK23415_9,-19.145,53.178333,2472.0,1.15,14318.0,0.63,3.37,1.0,1
GIK23415_9,-19.145,53.178333,2472.0,1.2,14703.0,0.33,3.65,1.0,1
GIK23415_9,-19.145,53.178333,2472.0,1.225,14897.0,0.76,3.61,1.0,1
GIK23415_9,-19.145,53.178333,2472.0,1.25,15101.0,0.31,3.47,1.0,1
GIK23415_9,-19.145,53.178333,2472.0,1.275,15325.999999999998,0.67,3.7,1.0,1
GIK23415_9,-19.145,53.178333,2472.0,1.3,15584.0,-0.49,4.08,1.0,1
GIK23415_9,-19.145,53.178333,2472.0,1.325,15885.999999999998,0.58,4.19,1.0,1
GIK23415_9,-19.145,53.178333,2472.0,1.35,16213.999999999998,0.61,4.61,1.0,1
GIK23415_9,-19.145,53.178333,2472.0,1.375,16560.5,0.61,3.81,1.0,1
GIK23415_9,-19.145,53.178333,2472.0,1.39,16773.0,0.67,4.54,1.0,1
