Site,Sample Label,age_model_depth (m),age_model (y BP),age_model_sigma_plus(y BP),age_model_sigma_minus(y BP),upper_97.5_percent(y BP),lower_97.5_percent(y BP),age_flag,age_model_note,age_model_collection,quality control
BOFS14K,,0.0,248.4226531982422,,,585.1740112304688,-83.82600402832031,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
BOFS14K,,0.01,781.9722290039062,,,1415.320556640625,212.3206024169922,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
BOFS14K,,0.02,1315.5211181640625,,,2535.688232421875,370.6882019042969,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
BOFS14K,,0.03,1849.0709228515625,,,3713.0556640625,471.0557861328125,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
BOFS14K,,0.04,2382.619384765625,,,4867.32763671875,561.32763671875,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
BOFS14K,,0.05,2915.706787109375,,,5841.64404296875,764.6441650390625,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
BOFS14K,,0.06,3446.472412109375,,,6093.310546875,1249.310302734375,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
BOFS14K,,0.07,3977.23095703125,,,6348.55712890625,1612.5572509765625,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
BOFS14K,,0.08,4507.99609375,,,6726.146484375,1916.146728515625,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
BOFS14K,,0.09,5038.76123046875,,,7177.736328125,2208.736328125,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
BOFS14K,,0.1,5570.0126953125,,,7751.04541015625,2749.04541015625,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
BOFS14K,,0.11,6102.2646484375,,,7887.79541015625,3870.79541015625,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
BOFS14K,,0.12,6634.5029296875,,,8035.5458984375,4986.5458984375,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
BOFS14K,,0.13,7166.75390625,,,8241.626953125,6018.626953125,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
BOFS14K,,0.14,7698.99462890625,,,8547.814453125,6851.814453125,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
BOFS14K,,0.15,8334.87890625,,,9010.759765625,7637.75927734375,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
BOFS14K,,0.16,9074.4111328125,,,9542.3623046875,8606.3623046875,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
BOFS14K,,0.17,9813.9404296875,,,10302.3427734375,9327.3427734375,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
BOFS14K,,0.18,10553.4677734375,,,11270.0859375,9868.0859375,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
BOFS14K,,0.19,11293.0009765625,,,12368.6015625,10250.6015625,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
BOFS14K,,0.2,11902.474609375,,,12893.0859375,10959.0859375,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
BOFS14K,,0.21,12446.94140625,,,13200.0126953125,11687.0126953125,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
BOFS14K,,0.22,12991.384765625,,,13798.8935546875,12154.8935546875,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
BOFS14K,,0.23,13535.8515625,,,14531.568359375,12469.568359375,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
BOFS14K,,0.24,14080.2958984375,,,15414.2431640625,12762.2431640625,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
BOFS14K,,0.25,14493.3115234375,,,15682.333984375,13330.333984375,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
BOFS14K,,0.26,14879.990234375,,,15866.0478515625,13911.0478515625,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
BOFS14K,,0.27,15266.7119140625,,,16165.0166015625,14287.0166015625,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
BOFS14K,,0.28,15653.4072265625,,,16649.74609375,14602.74609375,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
BOFS14K,,0.29,16040.1025390625,,,17227.96875,14848.96875,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
BOFS14K,,0.3,16441.080078125,,,17431.171875,15486.171875,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
BOFS14K,,0.31,16842.0546875,,,17649.375,16032.375,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
