Site,Sample Label,age_model_depth (m),age_model (y BP),age_model_sigma_plus(y BP),age_model_sigma_minus(y BP),upper_97.5_percent(y BP),lower_97.5_percent(y BP),age_flag,age_model_note,age_model_collection,quality control
BOFS14K,,0.03,2280,5890.0,90.0,,,4,Age model from Repschlaeger et al. (2021),Automated alignment to Atlantic stacks. Method described in Lee et al. (2019),1
BOFS14K,,0.06,3720,7160.0,1330.0,,,4,Age model from Repschlaeger et al. (2021),Automated alignment to Atlantic stacks. Method described in Lee et al. (2019),1
BOFS14K,,0.09,5100,8490.0,2520.0,,,4,Age model from Repschlaeger et al. (2021),Automated alignment to Atlantic stacks. Method described in Lee et al. (2019),1
BOFS14K,,0.13,6780,9890.0,4040.0,,,4,Age model from Repschlaeger et al. (2021),Automated alignment to Atlantic stacks. Method described in Lee et al. (2019),1
BOFS14K,,0.16,8500,11170.0,5680.0,,,4,Age model from Repschlaeger et al. (2021),Automated alignment to Atlantic stacks. Method described in Lee et al. (2019),1
BOFS14K,,0.18,10180,12430.0,7490.0,,,4,Age model from Repschlaeger et al. (2021),Automated alignment to Atlantic stacks. Method described in Lee et al. (2019),1
BOFS14K,,0.2,11260,13460.0,8570.0,,,4,Age model from Repschlaeger et al. (2021),Automated alignment to Atlantic stacks. Method described in Lee et al. (2019),1
BOFS14K,,0.22,12430,14310.0,9850.0,,,4,Age model from Repschlaeger et al. (2021),Automated alignment to Atlantic stacks. Method described in Lee et al. (2019),1
BOFS14K,,0.24,13510,15360.0,11130.0,,,4,Age model from Repschlaeger et al. (2021),Automated alignment to Atlantic stacks. Method described in Lee et al. (2019),1
BOFS14K,,0.26,14620,16180.0,12190.0,,,4,Age model from Repschlaeger et al. (2021),Automated alignment to Atlantic stacks. Method described in Lee et al. (2019),1
BOFS14K,,0.28,15640,17180.0,13380.0,,,4,Age model from Repschlaeger et al. (2021),Automated alignment to Atlantic stacks. Method described in Lee et al. (2019),1
BOFS14K,,0.3,16590,18540.0,14630.0,,,4,Age model from Repschlaeger et al. (2021),Automated alignment to Atlantic stacks. Method described in Lee et al. (2019),1
BOFS14K,,0.32,17350,19640.0,15790.0,,,4,Age model from Repschlaeger et al. (2021),Automated alignment to Atlantic stacks. Method described in Lee et al. (2019),1
BOFS14K,,0.34,18210,20810.0,16640.0,,,4,Age model from Repschlaeger et al. (2021),Automated alignment to Atlantic stacks. Method described in Lee et al. (2019),1
BOFS14K,,0.34,18950,21970.0,17400.0,,,4,Age model from Repschlaeger et al. (2021),Automated alignment to Atlantic stacks. Method described in Lee et al. (2019),1
