Site,Sample Label,archival_depth (m),d13C (VPDB),d18O (VPDB),d13C_corrected (PDB),d18O_corrected (PDB),Number of shells,Minimum mesh size (um),Maximum mesh size (um),Taxon,Taxon_flag,Taxon_note1,Taxon_note2,Taxon_note3,Additional_note,Publication source,Original Reference,File Name,Data source,quality control
BOFS14K,,0,1.02,3.2,1.02,3.2,15-20,215,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Bertram, CJ et al. (1995): Cadmium/calcium and carbon isotope reconstructions of the glacial northeast Atlantic Ocean. Paleoceanography, 10(3), 563-578, https://doi.org/10.1029/94PA0305",,"Bertram, Caroline J; Elderfield, Henry; Shackleton, Nicholas J; McDonald, J A (1995): (Table B2) Cadmium/calcium ratio of sediment core BOFS14K. PANGAEA, https://doi.org/10.1594/PANGAEA.199654,",1
BOFS14K,,0.06,0.88,3.51,0.88,3.51,15-20,215,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Bertram, CJ et al. (1995): Cadmium/calcium and carbon isotope reconstructions of the glacial northeast Atlantic Ocean. Paleoceanography, 10(3), 563-578, https://doi.org/10.1029/94PA0305",,"Bertram, Caroline J; Elderfield, Henry; Shackleton, Nicholas J; McDonald, J A (1995): (Table B2) Cadmium/calcium ratio of sediment core BOFS14K. PANGAEA, https://doi.org/10.1594/PANGAEA.199654,",1
BOFS14K,,0.16,1.18,3.32,1.18,3.32,15-20,215,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Bertram, CJ et al. (1995): Cadmium/calcium and carbon isotope reconstructions of the glacial northeast Atlantic Ocean. Paleoceanography, 10(3), 563-578, https://doi.org/10.1029/94PA0305",,"Bertram, Caroline J; Elderfield, Henry; Shackleton, Nicholas J; McDonald, J A (1995): (Table B2) Cadmium/calcium ratio of sediment core BOFS14K. PANGAEA, https://doi.org/10.1594/PANGAEA.199654,",1
BOFS14K,,0.18,1.22,2.99,1.22,2.99,15-20,215,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Bertram, CJ et al. (1995): Cadmium/calcium and carbon isotope reconstructions of the glacial northeast Atlantic Ocean. Paleoceanography, 10(3), 563-578, https://doi.org/10.1029/94PA0305",,"Bertram, Caroline J; Elderfield, Henry; Shackleton, Nicholas J; McDonald, J A (1995): (Table B2) Cadmium/calcium ratio of sediment core BOFS14K. PANGAEA, https://doi.org/10.1594/PANGAEA.199654,",1
BOFS14K,,0.2,1.25,4.19,1.25,4.19,15-20,215,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Bertram, CJ et al. (1995): Cadmium/calcium and carbon isotope reconstructions of the glacial northeast Atlantic Ocean. Paleoceanography, 10(3), 563-578, https://doi.org/10.1029/94PA0305",,"Bertram, Caroline J; Elderfield, Henry; Shackleton, Nicholas J; McDonald, J A (1995): (Table B2) Cadmium/calcium ratio of sediment core BOFS14K. PANGAEA, https://doi.org/10.1594/PANGAEA.199654,",1
BOFS14K,,0.22,1.32,4.45,1.32,4.45,15-20,215,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Bertram, CJ et al. (1995): Cadmium/calcium and carbon isotope reconstructions of the glacial northeast Atlantic Ocean. Paleoceanography, 10(3), 563-578, https://doi.org/10.1029/94PA0305",,"Bertram, Caroline J; Elderfield, Henry; Shackleton, Nicholas J; McDonald, J A (1995): (Table B2) Cadmium/calcium ratio of sediment core BOFS14K. PANGAEA, https://doi.org/10.1594/PANGAEA.199654,",1
BOFS14K,,0.24,1.28,3.73,1.28,3.73,15-20,215,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Bertram, CJ et al. (1995): Cadmium/calcium and carbon isotope reconstructions of the glacial northeast Atlantic Ocean. Paleoceanography, 10(3), 563-578, https://doi.org/10.1029/94PA0305",,"Bertram, Caroline J; Elderfield, Henry; Shackleton, Nicholas J; McDonald, J A (1995): (Table B2) Cadmium/calcium ratio of sediment core BOFS14K. PANGAEA, https://doi.org/10.1594/PANGAEA.199654,",1
BOFS14K,,0.26,1.02,3.89,1.02,3.89,15-20,215,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Bertram, CJ et al. (1995): Cadmium/calcium and carbon isotope reconstructions of the glacial northeast Atlantic Ocean. Paleoceanography, 10(3), 563-578, https://doi.org/10.1029/94PA0305",,"Bertram, Caroline J; Elderfield, Henry; Shackleton, Nicholas J; McDonald, J A (1995): (Table B2) Cadmium/calcium ratio of sediment core BOFS14K. PANGAEA, https://doi.org/10.1594/PANGAEA.199654,",1
BOFS14K,,0.28,1.41,5.11,1.41,5.11,15-20,215,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Bertram, CJ et al. (1995): Cadmium/calcium and carbon isotope reconstructions of the glacial northeast Atlantic Ocean. Paleoceanography, 10(3), 563-578, https://doi.org/10.1029/94PA0305",,"Bertram, Caroline J; Elderfield, Henry; Shackleton, Nicholas J; McDonald, J A (1995): (Table B2) Cadmium/calcium ratio of sediment core BOFS14K. PANGAEA, https://doi.org/10.1594/PANGAEA.199654,",1
BOFS14K,,0.3,1.21,4.47,1.21,4.47,15-20,215,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Bertram, CJ et al. (1995): Cadmium/calcium and carbon isotope reconstructions of the glacial northeast Atlantic Ocean. Paleoceanography, 10(3), 563-578, https://doi.org/10.1029/94PA0305",,"Bertram, Caroline J; Elderfield, Henry; Shackleton, Nicholas J; McDonald, J A (1995): (Table B2) Cadmium/calcium ratio of sediment core BOFS14K. PANGAEA, https://doi.org/10.1594/PANGAEA.199654,",1
