Site,Sample label,sample_depth,technique,lab. code,species/material,radiocarbon_age (y),radiocarbon_age_error_plus (y),radiocarbon_age_error_minus (y),reservoir_age (y),reservoir_age_error_plus (y),reservoir_age_error_minus (y),calendar_age (yBP),calendar_age_error_plus (yBP),calendar_age_error_minus (yBP),calibration curve,alignment target,alignment proxy,note1,note2,original reference,data doi
BOFS26_6k,,0.01,,,,,,,,,,2760,3660,2590,IntCal13,,,Age model from Repschlaeger et al. (2021),BACON.IntCal13,,
BOFS26_6k,,0.03,,,,,,,,,,4240,3230,2640,IntCal13,,,Age model from Repschlaeger et al. (2021),BACON.IntCal13,,
BOFS26_6k,,0.05,,,,,,,,,,5630,3060,2730,IntCal13,,,Age model from Repschlaeger et al. (2021),BACON.IntCal13,,
BOFS26_6k,,0.07,,,,,,,,,,7150,2590,2840,IntCal13,,,Age model from Repschlaeger et al. (2021),BACON.IntCal13,,
BOFS26_6k,,0.09,,,,,,,,,,8690,2160,3110,IntCal13,,,Age model from Repschlaeger et al. (2021),BACON.IntCal13,,
BOFS26_6k,,0.11,,,,,,,,,,10130,1940,2980,IntCal13,,,Age model from Repschlaeger et al. (2021),BACON.IntCal13,,
BOFS26_6k,,0.13,,,,,,,,,,11420,1600,2960,IntCal13,,,Age model from Repschlaeger et al. (2021),BACON.IntCal13,,
BOFS26_6k,,0.15,,,,,,,,,,12360,1460,2330,IntCal13,,,Age model from Repschlaeger et al. (2021),BACON.IntCal13,,
BOFS26_6k,,0.17,,,,,,,,,,13290,1380,1990,IntCal13,,,Age model from Repschlaeger et al. (2021),BACON.IntCal13,,
BOFS26_6k,,0.19,,,,,,,,,,14240,1340,1590,IntCal13,,,Age model from Repschlaeger et al. (2021),BACON.IntCal13,,
BOFS26_6k,,0.21,,,,,,,,,,15200,1190,1500,IntCal13,,,Age model from Repschlaeger et al. (2021),BACON.IntCal13,,
BOFS26_6k,,0.23,,,,,,,,,,16220,1180,1420,IntCal13,,,Age model from Repschlaeger et al. (2021),BACON.IntCal13,,
BOFS26_6k,,0.25,,,,,,,,,,17410,1590,1480,IntCal13,,,Age model from Repschlaeger et al. (2021),BACON.IntCal13,,
BOFS26_6k,,0.27,,,,,,,,,,18440,2280,1530,IntCal13,,,Age model from Repschlaeger et al. (2021),BACON.IntCal13,,
BOFS26_6k,,0.29,,,,,,,,,,19500,2600,1660,IntCal13,,,Age model from Repschlaeger et al. (2021),BACON.IntCal13,,
BOFS26_6k,,0.31,,,,,,,,,,20610,3030,1910,IntCal13,,,Age model from Repschlaeger et al. (2021),BACON.IntCal13,,
BOFS26_6k,,0.33,,,,,,,,,,21750,3380,2290,IntCal13,,,Age model from Repschlaeger et al. (2021),BACON.IntCal13,,
BOFS26_6k,,0.35,,,,,,,,,,22890,3490,2550,IntCal13,,,Age model from Repschlaeger et al. (2021),BACON.IntCal13,,
BOFS26_6k,,0.37,,,,,,,,,,24190,3540,2920,IntCal13,,,Age model from Repschlaeger et al. (2021),BACON.IntCal13,,
BOFS26_6k,,0.39,,,,,,,,,,25550,3610,3450,IntCal13,,,Age model from Repschlaeger et al. (2021),BACON.IntCal13,,
BOFS26_6k,,0.41,,,,,,,,,,26880,4040,3790,IntCal13,,,Age model from Repschlaeger et al. (2021),BACON.IntCal13,,
BOFS26_6k,,0.43,,,,,,,,,,28130,4160,4050,IntCal13,,,Age model from Repschlaeger et al. (2021),BACON.IntCal13,,
