Site,Sample Label,archival_depth (m),d13C (VPDB),d18O (VPDB),d13C_corrected (PDB),d18O_corrected (PDB),Number of shells,Minimum mesh size (um),Maximum mesh size (um),Taxon,Taxon_flag,Taxon_note1,Taxon_note2,Taxon_note3,Additional_note,Publication source,Original Reference,File Name,Data source,quality control
BOFS28_3K,,0.01,1.08,2.21,1.08,2.21,5-20,250,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Beveridge, N et al. (1995): Deep thermohaline circulation in the low-latitude Atlantic during the last glacial. Paleoceanography, 10(3), 643-660, https://doi.org/10.1029/94PA03353",,"PANGAEA, https://doi.org/10.1594/PANGAEA.59502,",1
BOFS28_3K,,0.03,0.97,2.43,0.97,2.43,5-20,250,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Beveridge, N et al. (1995): Deep thermohaline circulation in the low-latitude Atlantic during the last glacial. Paleoceanography, 10(3), 643-660, https://doi.org/10.1029/94PA03353",,"PANGAEA, https://doi.org/10.1594/PANGAEA.59502,",1
BOFS28_3K,,0.07,0.89,2.37,0.89,2.37,5-20,250,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Beveridge, N et al. (1995): Deep thermohaline circulation in the low-latitude Atlantic during the last glacial. Paleoceanography, 10(3), 643-660, https://doi.org/10.1029/94PA03353",,"PANGAEA, https://doi.org/10.1594/PANGAEA.59502,",1
BOFS28_3K,,0.18,0.59,3.04,0.59,3.04,5-20,250,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Beveridge, N et al. (1995): Deep thermohaline circulation in the low-latitude Atlantic during the last glacial. Paleoceanography, 10(3), 643-660, https://doi.org/10.1029/94PA03353",,"PANGAEA, https://doi.org/10.1594/PANGAEA.59502,",1
BOFS28_3K,,0.2,0.34,3.56,0.34,3.56,5-20,250,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Beveridge, N et al. (1995): Deep thermohaline circulation in the low-latitude Atlantic during the last glacial. Paleoceanography, 10(3), 643-660, https://doi.org/10.1029/94PA03353",,"PANGAEA, https://doi.org/10.1594/PANGAEA.59502,",1
BOFS28_3K,,0.22,0.38,3.12,0.38,3.12,5-20,250,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Beveridge, N et al. (1995): Deep thermohaline circulation in the low-latitude Atlantic during the last glacial. Paleoceanography, 10(3), 643-660, https://doi.org/10.1029/94PA03353",,"PANGAEA, https://doi.org/10.1594/PANGAEA.59502,",1
BOFS28_3K,,0.24,0.38,3.46,0.38,3.46,5-20,250,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Beveridge, N et al. (1995): Deep thermohaline circulation in the low-latitude Atlantic during the last glacial. Paleoceanography, 10(3), 643-660, https://doi.org/10.1029/94PA03353",,"PANGAEA, https://doi.org/10.1594/PANGAEA.59502,",1
BOFS28_3K,,0.26,0.21,3.32,0.21,3.32,5-20,250,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Beveridge, N et al. (1995): Deep thermohaline circulation in the low-latitude Atlantic during the last glacial. Paleoceanography, 10(3), 643-660, https://doi.org/10.1029/94PA03353",,"PANGAEA, https://doi.org/10.1594/PANGAEA.59502,",1
BOFS28_3K,,0.28,0.28,3.4,0.28,3.4,5-20,250,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Beveridge, N et al. (1995): Deep thermohaline circulation in the low-latitude Atlantic during the last glacial. Paleoceanography, 10(3), 643-660, https://doi.org/10.1029/94PA03353",,"PANGAEA, https://doi.org/10.1594/PANGAEA.59502,",1
BOFS28_3K,,0.29,0.01,3.79,0.01,3.79,5-20,250,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Beveridge, N et al. (1995): Deep thermohaline circulation in the low-latitude Atlantic during the last glacial. Paleoceanography, 10(3), 643-660, https://doi.org/10.1029/94PA03353",,"PANGAEA, https://doi.org/10.1594/PANGAEA.59502,",1
BOFS28_3K,,0.31,0.01,3.68,0.01,3.68,5-20,250,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Beveridge, N et al. (1995): Deep thermohaline circulation in the low-latitude Atlantic during the last glacial. Paleoceanography, 10(3), 643-660, https://doi.org/10.1029/94PA03353",,"PANGAEA, https://doi.org/10.1594/PANGAEA.59502,",1
BOFS28_3K,,0.4,0.23,3.67,0.23,3.67,5-20,250,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Beveridge, N et al. (1995): Deep thermohaline circulation in the low-latitude Atlantic during the last glacial. Paleoceanography, 10(3), 643-660, https://doi.org/10.1029/94PA03353",,"PANGAEA, https://doi.org/10.1594/PANGAEA.59502,",1
BOFS28_3K,,0.41,0.2,3.58,0.2,3.58,5-20,250,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Beveridge, N et al. (1995): Deep thermohaline circulation in the low-latitude Atlantic during the last glacial. Paleoceanography, 10(3), 643-660, https://doi.org/10.1029/94PA03353",,"PANGAEA, https://doi.org/10.1594/PANGAEA.59502,",1
BOFS28_3K,,0.42,0.2,3.79,0.2,3.79,5-20,250,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Beveridge, N et al. (1995): Deep thermohaline circulation in the low-latitude Atlantic during the last glacial. Paleoceanography, 10(3), 643-660, https://doi.org/10.1029/94PA03353",,"PANGAEA, https://doi.org/10.1594/PANGAEA.59502,",1
BOFS28_3K,,0.43,0.42,3.63,0.42,3.63,5-20,250,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Beveridge, N et al. (1995): Deep thermohaline circulation in the low-latitude Atlantic during the last glacial. Paleoceanography, 10(3), 643-660, https://doi.org/10.1029/94PA03353",,"PANGAEA, https://doi.org/10.1594/PANGAEA.59502,",1
BOFS28_3K,,0.44,0.26,3.75,0.26,3.75,5-20,250,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Beveridge, N et al. (1995): Deep thermohaline circulation in the low-latitude Atlantic during the last glacial. Paleoceanography, 10(3), 643-660, https://doi.org/10.1029/94PA03353",,"PANGAEA, https://doi.org/10.1594/PANGAEA.59502,",1
BOFS28_3K,,0.45,0.36,3.74,0.36,3.74,5-20,250,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Beveridge, N et al. (1995): Deep thermohaline circulation in the low-latitude Atlantic during the last glacial. Paleoceanography, 10(3), 643-660, https://doi.org/10.1029/94PA03353",,"PANGAEA, https://doi.org/10.1594/PANGAEA.59502,",1
BOFS28_3K,,0.47,0.51,3.54,0.51,3.54,5-20,250,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Beveridge, N et al. (1995): Deep thermohaline circulation in the low-latitude Atlantic during the last glacial. Paleoceanography, 10(3), 643-660, https://doi.org/10.1029/94PA03353",,"PANGAEA, https://doi.org/10.1594/PANGAEA.59502,",1
BOFS28_3K,,0.48,0.47,3.59,0.47,3.59,5-20,250,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Beveridge, N et al. (1995): Deep thermohaline circulation in the low-latitude Atlantic during the last glacial. Paleoceanography, 10(3), 643-660, https://doi.org/10.1029/94PA03353",,"PANGAEA, https://doi.org/10.1594/PANGAEA.59502,",1
BOFS28_3K,,0.5,0.54,3.5,0.54,3.5,5-20,250,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Beveridge, N et al. (1995): Deep thermohaline circulation in the low-latitude Atlantic during the last glacial. Paleoceanography, 10(3), 643-660, https://doi.org/10.1029/94PA03353",,"PANGAEA, https://doi.org/10.1594/PANGAEA.59502,",1
