Site,Sample label,sample_depth,technique,lab. code,species/material,radiocarbon_age (y),radiocarbon_age_error_plus (y),radiocarbon_age_error_minus (y),reservoir_age (y),reservoir_age_error_plus (y),reservoir_age_error_minus (y),calendar_age (yBP),calendar_age_error_plus (yBP),calendar_age_error_minus (yBP),calibration curve,alignment target,alignment proxy,note1,note2,original reference,data doi
BOFS29_1K,,0.01,,,,,,,,,,2680.0,3170.0,2390.0,IntCal13,,,Age model from Repschlaeger et al. (2021),BACON.IntCal13,,
BOFS29_1K,,0.03,,,,,,,,,,3490.0,2980.0,2460.0,IntCal13,,,Age model from Repschlaeger et al. (2021),BACON.IntCal13,,
BOFS29_1K,,0.05,,,,,,,,,,4150.0,2970.0,2300.0,IntCal13,,,Age model from Repschlaeger et al. (2021),BACON.IntCal13,,
BOFS29_1K,,0.09,,,,,,,,,,5550.0,2690.0,2160.0,IntCal13,,,Age model from Repschlaeger et al. (2021),BACON.IntCal13,,
BOFS29_1K,,0.11,,,,,,,,,,6270.0,2530.0,2220.0,IntCal13,,,Age model from Repschlaeger et al. (2021),BACON.IntCal13,,
BOFS29_1K,,0.15,,,,,,,,,,7870.0,2250.0,2280.0,IntCal13,,,Age model from Repschlaeger et al. (2021),BACON.IntCal13,,
BOFS29_1K,,0.18,,,,,,,,,,9090.0,1920.0,2430.0,IntCal13,,,Age model from Repschlaeger et al. (2021),BACON.IntCal13,,
BOFS29_1K,,0.21,,,,,,,,,,10230.0,1680.0,2120.000000000001,IntCal13,,,Age model from Repschlaeger et al. (2021),BACON.IntCal13,,
BOFS29_1K,,0.25,,,,,,,,,,11610.0,1380.0,1820.0,IntCal13,,,Age model from Repschlaeger et al. (2021),BACON.IntCal13,,
BOFS29_1K,,0.27,,,,,,,,,,12270.0,1340.0,1600.0,IntCal13,,,Age model from Repschlaeger et al. (2021),BACON.IntCal13,,
BOFS29_1K,,0.29,,,,,,,,,,12870.0,1350.0,1380.0,IntCal13,,,Age model from Repschlaeger et al. (2021),BACON.IntCal13,,
BOFS29_1K,,0.31,,,,,,,,,,13440.0,1350.0,1270.0,IntCal13,,,Age model from Repschlaeger et al. (2021),BACON.IntCal13,,
BOFS29_1K,,0.33,,,,,,,,,,13970.0,1450.0,1270.0,IntCal13,,,Age model from Repschlaeger et al. (2021),BACON.IntCal13,,
BOFS29_1K,,0.35,,,,,,,,,,14580.0,1440.0,1370.0,IntCal13,,,Age model from Repschlaeger et al. (2021),BACON.IntCal13,,
BOFS29_1K,,0.37,,,,,,,,,,15170.0,1540.0,1280.0,IntCal13,,,Age model from Repschlaeger et al. (2021),BACON.IntCal13,,
BOFS29_1K,,0.41,,,,,,,,,,16440.0,1920.0,1370.0,IntCal13,,,Age model from Repschlaeger et al. (2021),BACON.IntCal13,,
BOFS29_1K,,0.45,,,,,,,,,,17840.0,2400.0,1800.0,IntCal13,,,Age model from Repschlaeger et al. (2021),BACON.IntCal13,,
BOFS29_1K,,0.47,,,,,,,,,,18490.0,2350.0,1960.0,IntCal13,,,Age model from Repschlaeger et al. (2021),BACON.IntCal13,,
BOFS29_1K,,0.51,,,,,,,,,,19540.0,2650.0,2160.0,IntCal13,,,Age model from Repschlaeger et al. (2021),BACON.IntCal13,,
BOFS29_1K,,0.54,,,,,,,,,,20240.0,3010.0,2220.0,IntCal13,,,Age model from Repschlaeger et al. (2021),BACON.IntCal13,,
BOFS29_1K,,0.57,,,,,,,,,,20980.0,3130.0,2350.0,IntCal13,,,Age model from Repschlaeger et al. (2021),BACON.IntCal13,,
BOFS29_1K,,0.61,,,,,,,,,,22040.0,3100.0,2590.0,IntCal13,,,Age model from Repschlaeger et al. (2021),BACON.IntCal13,,
BOFS29_1K,,0.65,,,,,,,,,,23160.0,3210.0,2870.0,IntCal13,,,Age model from Repschlaeger et al. (2021),BACON.IntCal13,,
BOFS29_1K,,0.69,,,,,,,,,,24320.0,3310.0,3120.0,IntCal13,,,Age model from Repschlaeger et al. (2021),BACON.IntCal13,,
BOFS29_1K,,0.73,,,,,,,,,,25630.0,3460.0,3470.0,IntCal13,,,Age model from Repschlaeger et al. (2021),BACON.IntCal13,,
BOFS29_1K,,0.77,,,,,,,,,,26980.0,3620.0,3780.0,IntCal13,,,Age model from Repschlaeger et al. (2021),BACON.IntCal13,,
BOFS29_1K,,0.81,,,,,,,,,,28410.0,3470.0,4220.0,IntCal13,,,Age model from Repschlaeger et al. (2021),BACON.IntCal13,,
BOFS29_1K,,0.85,,,,,,,,,,29820.0,3430.0,4680.0,IntCal13,,,Age model from Repschlaeger et al. (2021),BACON.IntCal13,,
BOFS29_1K,,0.89,,,,,,,,,,31090.0,3730.0,4910.0,IntCal13,,,Age model from Repschlaeger et al. (2021),BACON.IntCal13,,
