Site,Sample Label,archival_depth (m),d13C (VPDB),d18O (VPDB),d13C_corrected (PDB),d18O_corrected (PDB),Number of shells,Minimum mesh size (um),Maximum mesh size (um),Taxon,Taxon_flag,Taxon_note1,Taxon_note2,Taxon_note3,Additional_note,Publication source,Original Reference,File Name,Data source,quality control
BOFS29_1K,,0.01,0.88,2.42,0.88,2.42,5-20,250,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Beveridge, N; Elderfield, Henry; Shackleton, Nicholas J (1995): (Table 3f) Stable isotope analysis on sediment core BOFS26/6K. PANGAEA, https://doi.org/10.1594/PANGAEA.59502,",,"PANGAEA, https://doi.org/10.1594/PANGAEA.59502,",1
BOFS29_1K,,0.03,0.74,2.47,0.74,2.47,5-20,250,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Beveridge, N; Elderfield, Henry; Shackleton, Nicholas J (1995): (Table 3f) Stable isotope analysis on sediment core BOFS26/6K. PANGAEA, https://doi.org/10.1594/PANGAEA.59502,",,"PANGAEA, https://doi.org/10.1594/PANGAEA.59502,",1
BOFS29_1K,,0.05,0.78,2.68,0.78,2.68,5-20,250,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Beveridge, N; Elderfield, Henry; Shackleton, Nicholas J (1995): (Table 3f) Stable isotope analysis on sediment core BOFS26/6K. PANGAEA, https://doi.org/10.1594/PANGAEA.59502,",,"PANGAEA, https://doi.org/10.1594/PANGAEA.59502,",1
BOFS29_1K,,0.09,0.89,2.54,0.89,2.54,5-20,250,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Beveridge, N; Elderfield, Henry; Shackleton, Nicholas J (1995): (Table 3f) Stable isotope analysis on sediment core BOFS26/6K. PANGAEA, https://doi.org/10.1594/PANGAEA.59502,",,"PANGAEA, https://doi.org/10.1594/PANGAEA.59502,",1
BOFS29_1K,,0.11,0.79,2.46,0.79,2.46,5-20,250,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Beveridge, N; Elderfield, Henry; Shackleton, Nicholas J (1995): (Table 3f) Stable isotope analysis on sediment core BOFS26/6K. PANGAEA, https://doi.org/10.1594/PANGAEA.59502,",,"PANGAEA, https://doi.org/10.1594/PANGAEA.59502,",1
BOFS29_1K,,0.15,0.87,2.67,0.87,2.67,5-20,250,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Beveridge, N; Elderfield, Henry; Shackleton, Nicholas J (1995): (Table 3f) Stable isotope analysis on sediment core BOFS26/6K. PANGAEA, https://doi.org/10.1594/PANGAEA.59502,",,"PANGAEA, https://doi.org/10.1594/PANGAEA.59502,",1
BOFS29_1K,,0.21,0.75,2.8,0.75,2.8,5-20,250,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Beveridge, N; Elderfield, Henry; Shackleton, Nicholas J (1995): (Table 3f) Stable isotope analysis on sediment core BOFS26/6K. PANGAEA, https://doi.org/10.1594/PANGAEA.59502,",,"PANGAEA, https://doi.org/10.1594/PANGAEA.59502,",1
BOFS29_1K,,0.25,0.54,3.21,0.54,3.21,5-20,250,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Beveridge, N; Elderfield, Henry; Shackleton, Nicholas J (1995): (Table 3f) Stable isotope analysis on sediment core BOFS26/6K. PANGAEA, https://doi.org/10.1594/PANGAEA.59502,",,"PANGAEA, https://doi.org/10.1594/PANGAEA.59502,",1
BOFS29_1K,,0.27,0.44,3.07,0.44,3.07,5-20,250,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Beveridge, N; Elderfield, Henry; Shackleton, Nicholas J (1995): (Table 3f) Stable isotope analysis on sediment core BOFS26/6K. PANGAEA, https://doi.org/10.1594/PANGAEA.59502,",,"PANGAEA, https://doi.org/10.1594/PANGAEA.59502,",1
BOFS29_1K,,0.29,0.57,3.25,0.57,3.25,5-20,250,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Beveridge, N; Elderfield, Henry; Shackleton, Nicholas J (1995): (Table 3f) Stable isotope analysis on sediment core BOFS26/6K. PANGAEA, https://doi.org/10.1594/PANGAEA.59502,",,"PANGAEA, https://doi.org/10.1594/PANGAEA.59502,",1
BOFS29_1K,,0.31,0.65,3.21,0.65,3.21,5-20,250,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Beveridge, N; Elderfield, Henry; Shackleton, Nicholas J (1995): (Table 3f) Stable isotope analysis on sediment core BOFS26/6K. PANGAEA, https://doi.org/10.1594/PANGAEA.59502,",,"PANGAEA, https://doi.org/10.1594/PANGAEA.59502,",1
BOFS29_1K,,0.33,0.6,3.27,0.6,3.27,5-20,250,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Beveridge, N; Elderfield, Henry; Shackleton, Nicholas J (1995): (Table 3f) Stable isotope analysis on sediment core BOFS26/6K. PANGAEA, https://doi.org/10.1594/PANGAEA.59502,",,"PANGAEA, https://doi.org/10.1594/PANGAEA.59502,",1
BOFS29_1K,,0.35,0.39,3.27,0.39,3.27,5-20,250,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Beveridge, N; Elderfield, Henry; Shackleton, Nicholas J (1995): (Table 3f) Stable isotope analysis on sediment core BOFS26/6K. PANGAEA, https://doi.org/10.1594/PANGAEA.59502,",,"PANGAEA, https://doi.org/10.1594/PANGAEA.59502,",1
BOFS29_1K,,0.37,0.46,3.31,0.46,3.31,5-20,250,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Beveridge, N; Elderfield, Henry; Shackleton, Nicholas J (1995): (Table 3f) Stable isotope analysis on sediment core BOFS26/6K. PANGAEA, https://doi.org/10.1594/PANGAEA.59502,",,"PANGAEA, https://doi.org/10.1594/PANGAEA.59502,",1
