Site,Sample label,sample_depth,technique,lab. code,species/material,radiocarbon_age (y),radiocarbon_age_error_plus (y),radiocarbon_age_error_minus (y),reservoir_age (y),reservoir_age_error_plus (y),reservoir_age_error_minus (y),calendar_age (yBP),calendar_age_error_plus (yBP),calendar_age_error_minus (yBP),calibration curve,alignment target,alignment proxy,note1,note2,original reference,data doi
CH69_K09,,0,,,N.incompta,1150,60,60,390.1,51,51,708,196,152,IntCal13,,,From Jonkers et al. 2020 compilation paper,,"Labeyrie, Laurent D; Leclaire, H?lo?se; Waelbroeck, Claire; Cortijo, Elsa; Duplessy, Jean-Claude; Vidal, Laurence; Elliot, Mary; Le Coat, B (1999): Temporal variability of the surface and deep waters of the North West Atlantic Ocean at orbital and millenial scales. Geophysical Monograph Series, 112, 77-9",doi:10.1029/2010PA002007
CH69_K09,,0.2,,,N.incompta,2240,40,40,371.4,53,53,1798,167,177,IntCal13,,,From Jonkers et al. 2020 compilation paper,,"Labeyrie, Laurent D; Leclaire, H?lo?se; Waelbroeck, Claire; Cortijo, Elsa; Duplessy, Jean-Claude; Vidal, Laurence; Elliot, Mary; Le Coat, B (1999): Temporal variability of the surface and deep waters of the North West Atlantic Ocean at orbital and millenial scales. Geophysical Monograph Series, 112, 77-9",doi:10.1029/2010PA002007
CH69_K09,,0.33,,,G.inflata,3130,45,45,353.9,50.8,50.8,2884,173,127,IntCal13,,,From Jonkers et al. 2020 compilation paper,,"Labeyrie, Laurent D; Leclaire, H?lo?se; Waelbroeck, Claire; Cortijo, Elsa; Duplessy, Jean-Claude; Vidal, Laurence; Elliot, Mary; Le Coat, B (1999): Temporal variability of the surface and deep waters of the North West Atlantic Ocean at orbital and millenial scales. Geophysical Monograph Series, 112, 77-9",doi:10.1029/2010PA002007
CH69_K09,,0.52,,,G.bulloides,4770,70,70,387.8,52.6,52.6,5027,262,192,IntCal13,,,From Jonkers et al. 2020 compilation paper,,"Labeyrie, Laurent D; Leclaire, H?lo?se; Waelbroeck, Claire; Cortijo, Elsa; Duplessy, Jean-Claude; Vidal, Laurence; Elliot, Mary; Le Coat, B (1999): Temporal variability of the surface and deep waters of the North West Atlantic Ocean at orbital and millenial scales. Geophysical Monograph Series, 112, 77-9",doi:10.1029/2010PA002007
CH69_K09,,0.85,,,G.bulloides,6660,50,50,473.1,50.6,50.6,7088,169,176,IntCal13,,,From Jonkers et al. 2020 compilation paper,,"Labeyrie, Laurent D; Leclaire, H?lo?se; Waelbroeck, Claire; Cortijo, Elsa; Duplessy, Jean-Claude; Vidal, Laurence; Elliot, Mary; Le Coat, B (1999): Temporal variability of the surface and deep waters of the North West Atlantic Ocean at orbital and millenial scales. Geophysical Monograph Series, 112, 77-9",doi:10.1029/2010PA002007
CH69_K09,,1.3,,,G.inflata,8840,60,60,394.4,57.1,57.1,9439,114,180,IntCal13,,,From Jonkers et al. 2020 compilation paper,,"Labeyrie, Laurent D; Leclaire, H?lo?se; Waelbroeck, Claire; Cortijo, Elsa; Duplessy, Jean-Claude; Vidal, Laurence; Elliot, Mary; Le Coat, B (1999): Temporal variability of the surface and deep waters of the North West Atlantic Ocean at orbital and millenial scales. Geophysical Monograph Series, 112, 77-9",doi:10.1029/2010PA002007
CH69_K09,,1.75,,,G.inflata,9690,70,70,332.7,59.7,59.7,10565,497,304,IntCal13,,,From Jonkers et al. 2020 compilation paper,,"Labeyrie, Laurent D; Leclaire, H?lo?se; Waelbroeck, Claire; Cortijo, Elsa; Duplessy, Jean-Claude; Vidal, Laurence; Elliot, Mary; Le Coat, B (1999): Temporal variability of the surface and deep waters of the North West Atlantic Ocean at orbital and millenial scales. Geophysical Monograph Series, 112, 77-9",doi:10.1029/2010PA002007
CH69_K09,,2.15,,,G.inflata,11140,70,70,666.7,72.6,72.6,12367,288,312,IntCal13,,,From Jonkers et al. 2020 compilation paper,,"Labeyrie, Laurent D; Leclaire, H?lo?se; Waelbroeck, Claire; Cortijo, Elsa; Duplessy, Jean-Claude; Vidal, Laurence; Elliot, Mary; Le Coat, B (1999): Temporal variability of the surface and deep waters of the North West Atlantic Ocean at orbital and millenial scales. Geophysical Monograph Series, 112, 77-9",doi:10.1029/2010PA002007
CH69_K09,,2.3,,,G.inflata,12330,80,80,544.2,91.3,91.3,13621,323,242,IntCal13,,,From Jonkers et al. 2020 compilation paper,,"Labeyrie, Laurent D; Leclaire, H?lo?se; Waelbroeck, Claire; Cortijo, Elsa; Duplessy, Jean-Claude; Vidal, Laurence; Elliot, Mary; Le Coat, B (1999): Temporal variability of the surface and deep waters of the North West Atlantic Ocean at orbital and millenial scales. Geophysical Monograph Series, 112, 77-9",doi:10.1029/2010PA002007
CH69_K09,,2.8,,,N.pachydermas,13630,110,110,648.3,95.2,95.2,15537,440,403,IntCal13,,,From Jonkers et al. 2020 compilation paper,,"Labeyrie, Laurent D; Leclaire, H?lo?se; Waelbroeck, Claire; Cortijo, Elsa; Duplessy, Jean-Claude; Vidal, Laurence; Elliot, Mary; Le Coat, B (1999): Temporal variability of the surface and deep waters of the North West Atlantic Ocean at orbital and millenial scales. Geophysical Monograph Series, 112, 77-9",doi:10.1029/2010PA002007
