Site,Sample Label,age_model_depth (m),age_model (y BP),age_model_sigma_plus(y BP),age_model_sigma_minus(y BP),upper_97.5_percent(y BP),lower_97.5_percent(y BP),age_flag,age_model_note,age_model_collection,quality control
CH74-227,,0,5360,7700,3450,,,4,Age model from Repschlaeger et al. (2021),"automated alignment to Atlantic stacks, method described in Lee et al. (2019)",1
CH74-227,,0.05,6200,8430,4460,,,4,Age model from Repschlaeger et al. (2021),"automated alignment to Atlantic stacks, method described in Lee et al. (2019)",1
CH74-227,,0.1,6990,9070,5430,,,4,Age model from Repschlaeger et al. (2021),"automated alignment to Atlantic stacks, method described in Lee et al. (2019)",1
CH74-227,,0.15,7710,9540,6200,,,4,Age model from Repschlaeger et al. (2021),"automated alignment to Atlantic stacks, method described in Lee et al. (2019)",1
CH74-227,,0.2,8400,10250,6880,,,4,Age model from Repschlaeger et al. (2021),"automated alignment to Atlantic stacks, method described in Lee et al. (2019)",1
CH74-227,,0.25,9170,10960,7920,,,4,Age model from Repschlaeger et al. (2021),"automated alignment to Atlantic stacks, method described in Lee et al. (2019)",1
CH74-227,,0.3,9790,11400,8500,,,4,Age model from Repschlaeger et al. (2021),"automated alignment to Atlantic stacks, method described in Lee et al. (2019)",1
CH74-227,,0.35,10380,11820,9100,,,4,Age model from Repschlaeger et al. (2021),"automated alignment to Atlantic stacks, method described in Lee et al. (2019)",1
CH74-227,,0.4,10970,12330,9690,,,4,Age model from Repschlaeger et al. (2021),"automated alignment to Atlantic stacks, method described in Lee et al. (2019)",1
CH74-227,,0.45,11660,13020,10470,,,4,Age model from Repschlaeger et al. (2021),"automated alignment to Atlantic stacks, method described in Lee et al. (2019)",1
CH74-227,,0.5,12460,13850,11520,,,4,Age model from Repschlaeger et al. (2021),"automated alignment to Atlantic stacks, method described in Lee et al. (2019)",1
CH74-227,,0.55,13510,15130,12930,,,4,Age model from Repschlaeger et al. (2021),"automated alignment to Atlantic stacks, method described in Lee et al. (2019)",1
CH74-227,,0.6,14740,16500,13860,,,4,Age model from Repschlaeger et al. (2021),"automated alignment to Atlantic stacks, method described in Lee et al. (2019)",1
CH74-227,,0.65,15930,17860,14920,,,4,Age model from Repschlaeger et al. (2021),"automated alignment to Atlantic stacks, method described in Lee et al. (2019)",1
CH74-227,,0.7,16980,18710,15850,,,4,Age model from Repschlaeger et al. (2021),"automated alignment to Atlantic stacks, method described in Lee et al. (2019)",1
CH74-227,,0.75,18090,19710,16580,,,4,Age model from Repschlaeger et al. (2021),"automated alignment to Atlantic stacks, method described in Lee et al. (2019)",1
CH74-227,,0.8,19120,20760,17340,,,4,Age model from Repschlaeger et al. (2021),"automated alignment to Atlantic stacks, method described in Lee et al. (2019)",1
CH74-227,,0.85,20120,21740,17920,,,4,Age model from Repschlaeger et al. (2021),"automated alignment to Atlantic stacks, method described in Lee et al. (2019)",1
CH74-227,,0.9,21100,22730,18470,,,4,Age model from Repschlaeger et al. (2021),"automated alignment to Atlantic stacks, method described in Lee et al. (2019)",1
CH74-227,,0.95,22170,23730,19260,,,4,Age model from Repschlaeger et al. (2021),"automated alignment to Atlantic stacks, method described in Lee et al. (2019)",1
CH74-227,,1,23260,24530,20160,,,4,Age model from Repschlaeger et al. (2021),"automated alignment to Atlantic stacks, method described in Lee et al. (2019)",1
CH74-227,,1.05,24320,25010,20870,,,4,Age model from Repschlaeger et al. (2021),"automated alignment to Atlantic stacks, method described in Lee et al. (2019)",1
CH74-227,,1.1,25420,26360,21880,,,4,Age model from Repschlaeger et al. (2021),"automated alignment to Atlantic stacks, method described in Lee et al. (2019)",1
CH74-227,,1.15,26650,28270,23210,,,4,Age model from Repschlaeger et al. (2021),"automated alignment to Atlantic stacks, method described in Lee et al. (2019)",1
CH74-227,,1.2,27830,29900,24350,,,4,Age model from Repschlaeger et al. (2021),"automated alignment to Atlantic stacks, method described in Lee et al. (2019)",1
CH74-227,,1.25,28930,31400,25100,,,4,Age model from Repschlaeger et al. (2021),"automated alignment to Atlantic stacks, method described in Lee et al. (2019)",1
CH74-227,,1.3,29960,32670,26040,,,4,Age model from Repschlaeger et al. (2021),"automated alignment to Atlantic stacks, method described in Lee et al. (2019)",1
CH74-227,,1.35,31000,34020,27140,,,4,Age model from Repschlaeger et al. (2021),"automated alignment to Atlantic stacks, method described in Lee et al. (2019)",1
CH74-227,,1.4,31950,35140,27810,,,4,Age model from Repschlaeger et al. (2021),"automated alignment to Atlantic stacks, method described in Lee et al. (2019)",1
