Site,Sample_label,hole_label,section_label,published_archival_depth (m),current_depth_model (m),current_depth_model_note,ODP SAMPLE Inventory:: DEPTH(mid) (m),ODP SAMPLE Inventory:: MBSF(mid) (m),ODP SAMPLE Inventory:: MCD(mid) (m),ODP SAMPLE Inventory:: CCSF(mid) (m),depth_model_1 (m),depth_model_note_1,older_depth_model_2 (m)
CH75-04,,,,0.0,0.0,,,,,,0.0,depth model from Repschlaeger et al. 2021,
CH75-04,,,,0.125,0.125,,,,,,0.125,depth model from Repschlaeger et al. 2021,
CH75-04,,,,0.425,0.425,,,,,,0.425,depth model from Repschlaeger et al. 2021,
CH75-04,,,,0.525,0.525,,,,,,0.525,depth model from Repschlaeger et al. 2021,
CH75-04,,,,0.613,0.613,,,,,,0.613,depth model from Repschlaeger et al. 2021,
CH75-04,,,,0.637,0.637,,,,,,0.637,depth model from Repschlaeger et al. 2021,
CH75-04,,,,0.687,0.687,,,,,,0.687,depth model from Repschlaeger et al. 2021,
CH75-04,,,,0.962,0.962,,,,,,0.962,depth model from Repschlaeger et al. 2021,
CH75-04,,,,1.087,1.087,,,,,,1.087,depth model from Repschlaeger et al. 2021,
CH75-04,,,,1.175,1.175,,,,,,1.175,depth model from Repschlaeger et al. 2021,
CH75-04,,,,1.288,1.288,,,,,,1.288,depth model from Repschlaeger et al. 2021,
CH75-04,,,,1.375,1.375,,,,,,1.375,depth model from Repschlaeger et al. 2021,
CH75-04,,,,1.475,1.475,,,,,,1.475,depth model from Repschlaeger et al. 2021,
