Site,Sample Label,age_model_depth (m),age_model (y BP),age_model_sigma_plus(y BP),age_model_sigma_minus(y BP),upper_97.5_percent(y BP),lower_97.5_percent(y BP),age_flag,age_model_note,age_model_collection,quality control
CH82-20PC,,0.035,2150.59033203125,,,2363.39013671875,1926.3900146484375,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
CH82-20PC,,0.045,2241.58349609375,,,2472.614013671875,2004.614013671875,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
CH82-20PC,,0.055,2332.578369140625,,,2618.08837890625,2057.08837890625,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
CH82-20PC,,0.065,2423.57177734375,,,2781.447265625,2086.447265625,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
CH82-20PC,,0.075,2514.5654296875,,,2973.806640625,2112.806640625,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
CH82-20PC,,0.085,2605.55810546875,,,3172.16552734375,2139.16552734375,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
CH82-20PC,,0.095,2687.5693359375,,,3230.021728515625,2221.021728515625,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
CH82-20PC,,0.105,2766.971923828125,,,3265.603271484375,2289.603271484375,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
CH82-20PC,,0.115,2846.3759765625,,,3316.5107421875,2342.5107421875,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
CH82-20PC,,0.125,2925.7783203125,,,3362.84375,2396.84375,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
CH82-20PC,,0.135,3005.181640625,,,3460.1767578125,2424.1767578125,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
CH82-20PC,,0.145,3103.967529296875,,,3531.668212890625,2577.668212890625,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
CH82-20PC,,0.155,3218.613525390625,,,3549.1982421875,2841.1982421875,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
CH82-20PC,,0.165,3333.258056640625,,,3609.72802734375,3053.72802734375,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
CH82-20PC,,0.17500000000000002,3447.90087890625,,,3685.4443359375,3231.4443359375,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
CH82-20PC,,0.185,3562.549560546875,,,3802.846435546875,3329.846435546875,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
