Site,Sample Label,archival_depth (m),d13C (VPDB),d18O (VPDB),d13C_corrected (PDB),d18O_corrected (PDB),Number of shells,Minimum mesh size (um),Maximum mesh size (um),Taxon,Taxon_flag,Taxon_note1,Taxon_note2,Taxon_note3,Additional_note,Publication source,Original Reference,File Name,Data source,quality control
CH82-20PC,,0.035,1.45,2.63,1.45,2.63,,,,Cibicidoides wuellerstorfi,1,,,,,From Mulitza et al. 2022 ESSD compilation,"Keigwin, L. D. and Lehman, S. J.: Deep circulation change linked to HEINRICH Event 1 and Younger Dryas in a middepth North Atlantic Core, Paleoceanography, 9, 185-194, doi:10.1029/94PA00032, 1994.",,Table in paper,1
CH82-20PC,,0.05,1.4,2.71,1.4,2.71,,,,Cibicidoides wuellerstorfi,1,,,,,From Mulitza et al. 2022 ESSD compilation,"Keigwin, L. D. and Lehman, S. J.: Deep circulation change linked to HEINRICH Event 1 and Younger Dryas in a middepth North Atlantic Core, Paleoceanography, 9, 185-194, doi:10.1029/94PA00032, 1994.",,Table in paper,1
CH82-20PC,,0.07,1.3,2.61,1.3,2.61,,,,Cibicidoides wuellerstorfi,1,,,,,From Mulitza et al. 2022 ESSD compilation,"Keigwin, L. D. and Lehman, S. J.: Deep circulation change linked to HEINRICH Event 1 and Younger Dryas in a middepth North Atlantic Core, Paleoceanography, 9, 185-194, doi:10.1029/94PA00032, 1994.",,Table in paper,1
CH82-20PC,,0.11,1.38,2.67,1.38,2.67,,,,Cibicidoides wuellerstorfi,1,,,,,From Mulitza et al. 2022 ESSD compilation,"Keigwin, L. D. and Lehman, S. J.: Deep circulation change linked to HEINRICH Event 1 and Younger Dryas in a middepth North Atlantic Core, Paleoceanography, 9, 185-194, doi:10.1029/94PA00032, 1994.",,Table in paper,1
CH82-20PC,,0.13,1.2,2.5,1.2,2.5,,,,Cibicidoides wuellerstorfi,1,,,,,From Mulitza et al. 2022 ESSD compilation,"Keigwin, L. D. and Lehman, S. J.: Deep circulation change linked to HEINRICH Event 1 and Younger Dryas in a middepth North Atlantic Core, Paleoceanography, 9, 185-194, doi:10.1029/94PA00032, 1994.",,Table in paper,1
CH82-20PC,,0.15,1.09,2.67,1.09,2.67,,,,Cibicidoides wuellerstorfi,1,,,,,From Mulitza et al. 2022 ESSD compilation,"Keigwin, L. D. and Lehman, S. J.: Deep circulation change linked to HEINRICH Event 1 and Younger Dryas in a middepth North Atlantic Core, Paleoceanography, 9, 185-194, doi:10.1029/94PA00032, 1994.",,Table in paper,1
CH82-20PC,,0.17,1.29,2.4,1.29,2.4,,,,Cibicidoides wuellerstorfi,1,,,,,From Mulitza et al. 2022 ESSD compilation,"Keigwin, L. D. and Lehman, S. J.: Deep circulation change linked to HEINRICH Event 1 and Younger Dryas in a middepth North Atlantic Core, Paleoceanography, 9, 185-194, doi:10.1029/94PA00032, 1994.",,Table in paper,1
CH82-20PC,,0.18,1.38,2.45,1.38,2.45,,,,Cibicidoides wuellerstorfi,1,,,,,From Mulitza et al. 2022 ESSD compilation,"Keigwin, L. D. and Lehman, S. J.: Deep circulation change linked to HEINRICH Event 1 and Younger Dryas in a middepth North Atlantic Core, Paleoceanography, 9, 185-194, doi:10.1029/94PA00032, 1994.",,Table in paper,1
CH82-20PC,,0.2,1.35,2.59,1.35,2.59,,,,Cibicidoides wuellerstorfi,1,,,,,From Mulitza et al. 2022 ESSD compilation,"Keigwin, L. D. and Lehman, S. J.: Deep circulation change linked to HEINRICH Event 1 and Younger Dryas in a middepth North Atlantic Core, Paleoceanography, 9, 185-194, doi:10.1029/94PA00032, 1994.",,Table in paper,1
CH82-20PC,,0.23,1.41,2.39,1.41,2.39,,,,Cibicidoides wuellerstorfi,1,,,,,From Mulitza et al. 2022 ESSD compilation,"Keigwin, L. D. and Lehman, S. J.: Deep circulation change linked to HEINRICH Event 1 and Younger Dryas in a middepth North Atlantic Core, Paleoceanography, 9, 185-194, doi:10.1029/94PA00032, 1994.",,Table in paper,1
