Site,Sample Label,archival_depth (m),d13C (PDB),d18O (PDB),d13C_corrected (PDB),d18O_corrected (PDB),Number of shells,Minimum mesh size (um),Maximum mesh size (um),Taxon,Taxon_flag,Taxon_note1,Taxon_note2,Taxon_note3,Additional_note,Publication source,Original Reference,File Name,Data source,quality control
CH82-20PC,,0.18,1.33,2.84,1.33,2.84,,150,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Keigwin, L. D., and S. J. Lehman (1994), Deep circulation change linked to HEINRICH Event 1 and Younger Dryas in a middepth North Atlantic Core, Paleoceanography, 9(2), 185-194, https://doi.org/10.1029/94PA00032.",,"personal communication with L. Keigwin, table in original publication",1
CH82-20PC,,0.2,1.27,2.72,1.27,2.72,,150,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Keigwin, L. D., and S. J. Lehman (1994), Deep circulation change linked to HEINRICH Event 1 and Younger Dryas in a middepth North Atlantic Core, Paleoceanography, 9(2), 185-194, https://doi.org/10.1029/94PA00032.",,"personal communication with L. Keigwin, table in original publication",1
CH82-20PC,,0.23,1.18,2.7,1.18,2.7,,150,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Keigwin, L. D., and S. J. Lehman (1994), Deep circulation change linked to HEINRICH Event 1 and Younger Dryas in a middepth North Atlantic Core, Paleoceanography, 9(2), 185-194, https://doi.org/10.1029/94PA00032.",,"personal communication with L. Keigwin, table in original publication",1
CH82-20PC,,0.28,1,2.86,1,2.86,,150,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Keigwin, L. D., and S. J. Lehman (1994), Deep circulation change linked to HEINRICH Event 1 and Younger Dryas in a middepth North Atlantic Core, Paleoceanography, 9(2), 185-194, https://doi.org/10.1029/94PA00032.",,"personal communication with L. Keigwin, table in original publication",1
CH82-20PC,,0.28,1.03,2.79,1.03,2.79,,150,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Keigwin, L. D., and S. J. Lehman (1994), Deep circulation change linked to HEINRICH Event 1 and Younger Dryas in a middepth North Atlantic Core, Paleoceanography, 9(2), 185-194, https://doi.org/10.1029/94PA00032.",,"personal communication with L. Keigwin, table in original publication",1
CH82-20PC,,0.28,0.81,3.04,0.81,3.04,,150,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Keigwin, L. D., and S. J. Lehman (1994), Deep circulation change linked to HEINRICH Event 1 and Younger Dryas in a middepth North Atlantic Core, Paleoceanography, 9(2), 185-194, https://doi.org/10.1029/94PA00032.",,"personal communication with L. Keigwin, table in original publication",1
CH82-20PC,,0.28,0.947,2.897,0.947,2.897,,150,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Keigwin, L. D., and S. J. Lehman (1994), Deep circulation change linked to HEINRICH Event 1 and Younger Dryas in a middepth North Atlantic Core, Paleoceanography, 9(2), 185-194, https://doi.org/10.1029/94PA00032.",,"personal communication with L. Keigwin, table in original publication",1
CH82-20PC,,0.29,0.84,3.25,0.84,3.25,,150,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Keigwin, L. D., and S. J. Lehman (1994), Deep circulation change linked to HEINRICH Event 1 and Younger Dryas in a middepth North Atlantic Core, Paleoceanography, 9(2), 185-194, https://doi.org/10.1029/94PA00032.",,"personal communication with L. Keigwin, table in original publication",1
CH82-20PC,,0.3,1.14,3.18,1.14,3.18,,150,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Keigwin, L. D., and S. J. Lehman (1994), Deep circulation change linked to HEINRICH Event 1 and Younger Dryas in a middepth North Atlantic Core, Paleoceanography, 9(2), 185-194, https://doi.org/10.1029/94PA00032.",,"personal communication with L. Keigwin, table in original publication",1
CH82-20PC,,0.32,1.14,3.5,1.14,3.5,,150,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Keigwin, L. D., and S. J. Lehman (1994), Deep circulation change linked to HEINRICH Event 1 and Younger Dryas in a middepth North Atlantic Core, Paleoceanography, 9(2), 185-194, https://doi.org/10.1029/94PA00032.",,"personal communication with L. Keigwin, table in original publication",1
CH82-20PC,,0.33,0.82,3.14,0.82,3.14,,150,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Keigwin, L. D., and S. J. Lehman (1994), Deep circulation change linked to HEINRICH Event 1 and Younger Dryas in a middepth North Atlantic Core, Paleoceanography, 9(2), 185-194, https://doi.org/10.1029/94PA00032.",,"personal communication with L. Keigwin, table in original publication",1
CH82-20PC,,0.35,0.935,3.16,0.935,3.16,,150,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Keigwin, L. D., and S. J. Lehman (1994), Deep circulation change linked to HEINRICH Event 1 and Younger Dryas in a middepth North Atlantic Core, Paleoceanography, 9(2), 185-194, https://doi.org/10.1029/94PA00032.",,"personal communication with L. Keigwin, table in original publication",1
CH82-20PC,,0.35,0.85,3.05,0.85,3.05,,150,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Keigwin, L. D., and S. J. Lehman (1994), Deep circulation change linked to HEINRICH Event 1 and Younger Dryas in a middepth North Atlantic Core, Paleoceanography, 9(2), 185-194, https://doi.org/10.1029/94PA00032.",,"personal communication with L. Keigwin, table in original publication",1
CH82-20PC,,0.35,1.02,3.27,1.02,3.27,,150,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Keigwin, L. D., and S. J. Lehman (1994), Deep circulation change linked to HEINRICH Event 1 and Younger Dryas in a middepth North Atlantic Core, Paleoceanography, 9(2), 185-194, https://doi.org/10.1029/94PA00032.",,"personal communication with L. Keigwin, table in original publication",1
