Site,Sample Label,archival_depth (m),d13C (VPDB),d18O (VPDB),d13C_corrected (PDB),d18O_corrected (PDB),Number of shells,Minimum mesh size (um),Maximum mesh size (um),Taxon,Taxon_flag,Taxon_note1,Taxon_note2,Taxon_note3,Additional_note,Publication source,Original Reference,File Name,Data source,quality control
EW0408-26JC,,0.01,-1.19,4.28,,,,,,Uvigerina,5,,,,,Praetorius et al. 2015,,,,1
EW0408-26JC,,0.01,-1.17,4.26,,,,,,Uvigerina,5,,,,,Praetorius et al. 2015,,,,1
EW0408-26JC,,0.025,-1.21,4.45,,,,,,Uvigerina,5,,,,,Praetorius et al. 2015,,,,1
EW0408-26JC,,0.035,-1.27,4.38,,,,,,Uvigerina,5,,,,,Praetorius et al. 2015,,,,1
EW0408-26JC,,0.045,-1.18,4.47,,,,,,Uvigerina,5,,,,,Praetorius et al. 2015,,,,1
EW0408-26JC,,0.055,-1.22,4.43,,,,,,Uvigerina,5,,,,,Praetorius et al. 2015,,,,1
EW0408-26JC,,0.065,-1.15,4.51,,,,,,Uvigerina,5,,,,,Praetorius et al. 2015,,,,1
EW0408-26JC,,0.075,-1.24,4.38,,,,,,Uvigerina,5,,,,,Praetorius et al. 2015,,,,1
EW0408-26JC,,0.085,-1.3,4.34,,,,,,Uvigerina,5,,,,,Praetorius et al. 2015,,,,1
EW0408-26JC,,0.095,-1.15,4.37,,,,,,Uvigerina,5,,,,,Praetorius et al. 2015,,,,1
EW0408-26JC,,0.1,-1.21,4.42,,,,,,Uvigerina,5,,,,,Praetorius et al. 2015,,,,1
EW0408-26JC,,0.125,-1.3,4.39,,,,,,Uvigerina,5,,,,,Praetorius et al. 2015,,,,1
EW0408-26JC,,0.145,-1.05,4.46,,,,,,Uvigerina,5,,,,,Praetorius et al. 2015,,,,1
EW0408-26JC,,0.165,-1.26,4.5,,,,,,Uvigerina,5,,,,,Praetorius et al. 2015,,,,1
EW0408-26JC,,0.185,-1.35,4.42,,,,,,Uvigerina,5,,,,,Praetorius et al. 2015,,,,1
EW0408-26JC,,0.2,-1.25,4.5,,,,,,Uvigerina,5,,,,,Praetorius et al. 2015,,,,1
EW0408-26JC,,0.225,-1.08,4.41,,,,,,Uvigerina,5,,,,,Praetorius et al. 2015,,,,1
