Site,Sample label,sample_depth,technique,lab. code,species/material,radiocarbon_age (y),radiocarbon_age_error_plus (y),radiocarbon_age_error_minus (y),reservoir_age (y),reservoir_age_error_plus (y),reservoir_age_error_minus (y),calendar_age (yBP),calendar_age_error_plus (yBP),calendar_age_error_minus (yBP),calibration curve,alignment target,alignment proxy,note1,note2,original reference,data doi
EW0408-85,,0.01,CALIB v.6.0,,,,,,,,,220,120,120,Marine09,,,Multicore,,Davies et al. 2011 Paleoceanography,https://doi.pangaea.de/10.1594/PANGAEA.830645
EW0408-85,,0.27,CALIB v.6.0,,,,,,,,,510,90,90,Marine09,,,Multicore,,Davies et al. 2011 Paleoceanography,https://doi.pangaea.de/10.1594/PANGAEA.830645
EW0408-85,,0.55,CALIB v.6.0,,,,,,,,,610,85,85,Marine09,,,Multicore,,Davies et al. 2011 Paleoceanography,https://doi.pangaea.de/10.1594/PANGAEA.830645
EW0408-85,,0.09,CALIB v.6.0,,planktonic 14C ages,660,250,250,,,,190,260,260,Marine09,,,Trigger core,,Davies et al. 2011 Paleoceanography,https://doi.pangaea.de/10.1594/PANGAEA.830645
EW0408-85,,1.11,CALIB v.6.0,,planktonic 14C ages,1650,90,90,,,,740,110,110,Marine09,,,Trigger core,,Davies et al. 2011 Paleoceanography,https://doi.pangaea.de/10.1594/PANGAEA.830645
EW0408-85,,2.09,CALIB v.6.0,,planktonic 14C ages,2730,70,70,,,,1870,130,130,Marine09,,,Trigger core,,Davies et al. 2011 Paleoceanography,https://doi.pangaea.de/10.1594/PANGAEA.830645
EW0408-85,,0.26,CALIB v.6.0,,planktonic 14C ages,2340,70,70,,,,1430,110,110,Marine09,,,Jumbo Core,,Davies et al. 2011 Paleoceanography,https://doi.pangaea.de/10.1594/PANGAEA.830645
EW0408-85,,1.04,CALIB v.6.0,,planktonic 14C ages,3560,60,60,,,,2880,115,115,Marine09,,,Jumbo Core,,Davies et al. 2011 Paleoceanography,https://doi.pangaea.de/10.1594/PANGAEA.830645
EW0408-85,,1.54,CALIB v.6.0,,planktonic 14C ages,4000,80,80,,,,3420,135,135,Marine09,,,Jumbo Core,,Davies et al. 2011 Paleoceanography,https://doi.pangaea.de/10.1594/PANGAEA.830645
EW0408-85,,2.06,CALIB v.6.0,,planktonic 14C ages,4330,60,60,,,,3820,135,135,Marine09,,,Jumbo Core,,Davies et al. 2011 Paleoceanography,https://doi.pangaea.de/10.1594/PANGAEA.830645
