Site,Sample Label,age_model_depth (m),age_model (y BP),age_model_sigma_plus(y BP),age_model_sigma_minus(y BP),upper_95_percent(y BP),lower_95_percent(y BP),age_flag,age_model_note,age_model_collection,quality control
EW0408-85JC,,5.825,10515.0,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW0408-85JC,,5.8500000000000005,10580.0,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW0408-85JC,,5.875,10645.0,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW0408-85JC,,5.89,10684.000000000002,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW0408-85JC,,5.925,10743.93,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW0408-85JC,,5.95,10777.86,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW0408-85JC,,5.985,10825.36,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW0408-85JC,,6.005,10852.5,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW0408-85JC,,6.04,10900.0,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW0408-85JC,,6.0600000000000005,10988.0,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW0408-85JC,,6.19,11447.27,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW0408-85JC,,6.29,11840.0,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW0408-85JC,,6.415,12356.67,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW0408-85JC,,6.44,12551.11,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW0408-85JC,,6.46,12920.0,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW0408-85JC,,6.515000000000001,13743.329999999998,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW0408-85JC,,6.54,13810.0,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW0408-85JC,,6.5600000000000005,13910.0,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW0408-85JC,,6.59,14060.0,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW0408-85JC,,6.640000000000001,14186.0,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW0408-85JC,,6.890000000000001,15366.36,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
