Site,Sample Label,age_model_depth (m),age_model (y BP),age_model_sigma_plus(y BP),age_model_sigma_minus(y BP),upper_95_percent(y BP),lower_95_percent(y BP),age_flag,age_model_note,age_model_collection,quality control
EW0408-85JC,,0.02,1116.1499999999999,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW0408-85JC,,0.1,1220.7700000000002,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW0408-85JC,,0.15,1286.1499999999999,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW0408-85JC,,0.2,1351.54,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW0408-85JC,,0.26,1430.0,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW0408-85JC,,0.3,1468.2600000000002,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW0408-85JC,,0.33,1496.96,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW0408-85JC,,0.4,1563.91,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW0408-85JC,,0.45,1611.74,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW0408-85JC,,0.54,1697.83,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW0408-85JC,,0.58,1736.0900000000001,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW0408-85JC,,0.58,1736.0900000000001,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW0408-85JC,,0.6,1755.22,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW0408-85JC,,0.68,1831.7400000000002,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW0408-85JC,,0.73,1901.56,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW0408-85JC,,0.78,2059.38,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW0408-85JC,,0.78,2059.38,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW0408-85JC,,0.8300000000000001,2217.19,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW0408-85JC,,0.92,2501.25,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW0408-85JC,,0.97,2659.06,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW0408-85JC,,1.04,2880.0,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW0408-85JC,,1.07,2912.4,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW0408-85JC,,1.12,2966.4,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW0408-85JC,,1.17,3020.4,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW0408-85JC,,1.22,3074.3999999999996,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW0408-85JC,,1.27,3128.4,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW0408-85JC,,1.42,3290.4,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW0408-85JC,,1.47,3344.3999999999996,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW0408-85JC,,1.47,3344.3999999999996,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW0408-85JC,,1.54,3420.0,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW0408-85JC,,1.57,3443.08,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW0408-85JC,,1.62,3481.5400000000004,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW0408-85JC,,1.67,3520.0,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW0408-85JC,,1.72,3558.4599999999996,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW0408-85JC,,1.77,3596.92,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW0408-85JC,,1.82,3635.3800000000006,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW0408-85JC,,1.87,3673.85,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW0408-85JC,,1.92,3712.31,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW0408-85JC,,1.97,3750.7699999999995,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW0408-85JC,,2.02,3789.2300000000005,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW0408-85JC,,2.02,3789.2300000000005,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW0408-85JC,,2.06,3820.0,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW0408-85JC,,2.12,3930.0,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW0408-85JC,,2.17,4021.6699999999996,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW0408-85JC,,2.22,4113.33,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW0408-85JC,,2.32,4296.67,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW0408-85JC,,2.37,4388.330000000001,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW0408-85JC,,2.42,4480.0,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW0408-85JC,,2.47,4571.67,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW0408-85JC,,2.54,4700.0,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW0408-85JC,,2.57,4740.8,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW0408-85JC,,2.62,4808.8,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW0408-85JC,,2.67,4876.8,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW0408-85JC,,2.72,4944.8,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW0408-85JC,,2.77,5012.8,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW0408-85JC,,2.82,5080.8,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW0408-85JC,,2.87,5148.799999999999,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW0408-85JC,,2.92,5216.8,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW0408-85JC,,2.97,5284.799999999999,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW0408-85JC,,3.04,5380.0,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW0408-85JC,,3.0700000000000003,5438.799999999999,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW0408-85JC,,3.12,5536.8,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW0408-85JC,,3.12,5536.8,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW0408-85JC,,3.17,5634.8,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW0408-85JC,,3.22,5732.8,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW0408-85JC,,3.27,5830.8,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW0408-85JC,,3.3200000000000003,5928.8,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW0408-85JC,,3.3200000000000003,5928.8,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW0408-85JC,,3.37,6026.799999999999,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW0408-85JC,,3.42,6124.799999999999,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW0408-85JC,,3.47,6222.8,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW0408-85JC,,3.54,6360.0,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW0408-85JC,,3.5700000000000003,6454.709999999999,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW0408-85JC,,3.62,6612.549999999999,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW0408-85JC,,3.67,6770.389999999999,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW0408-85JC,,3.72,6928.24,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW0408-85JC,,3.77,7086.08,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW0408-85JC,,3.8200000000000003,7243.92,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW0408-85JC,,3.87,7401.76,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW0408-85JC,,3.93,7591.18,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW0408-85JC,,3.98,7749.0199999999995,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW0408-85JC,,4.05,7970.0,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW0408-85JC,,4.09,8024.4,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW0408-85JC,,4.14,8092.4,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW0408-85JC,,4.19,8160.4,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW0408-85JC,,4.24,8228.400000000001,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW0408-85JC,,4.29,8296.4,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW0408-85JC,,4.34,8364.4,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW0408-85JC,,4.39,8432.4,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW0408-85JC,,4.44,8500.400000000001,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW0408-85JC,,4.49,8568.4,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW0408-85JC,,4.55,8650.0,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW0408-85JC,,4.59,8692.4,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW0408-85JC,,4.64,8745.4,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW0408-85JC,,4.69,8798.400000000001,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW0408-85JC,,4.74,8851.4,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW0408-85JC,,4.79,8904.400000000001,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW0408-85JC,,4.84,8957.4,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW0408-85JC,,4.84,8957.4,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW0408-85JC,,4.89,9010.400000000001,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW0408-85JC,,4.94,9063.4,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW0408-85JC,,4.99,9116.4,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW0408-85JC,,5.05,9180.0,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW0408-85JC,,5.09,9242.4,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW0408-85JC,,5.14,9320.4,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW0408-85JC,,5.19,9398.4,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW0408-85JC,,5.24,9476.4,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW0408-85JC,,5.29,9554.4,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW0408-85JC,,5.34,9632.4,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW0408-85JC,,5.39,9710.4,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW0408-85JC,,5.45,9804.0,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW0408-85JC,,5.5,9882.0,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW0408-85JC,,5.54,9944.4,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW0408-85JC,,5.55,9960.0,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW0408-85JC,,5.6000000000000005,10050.0,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW0408-85JC,,5.65,10140.0,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW0408-85JC,,5.7,10230.0,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW0408-85JC,,5.74,10302.0,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW0408-85JC,,5.775,10385.0,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW0408-85JC,,5.8,10450.0,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW0408-85JC,,5.825,10515.0,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW0408-85JC,,5.8500000000000005,10580.0,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW0408-85JC,,5.875,10645.0,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW0408-85JC,,5.89,10684.000000000002,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW0408-85JC,,5.925,10743.93,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW0408-85JC,,5.95,10777.86,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW0408-85JC,,5.985,10825.36,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW0408-85JC,,6.005,10852.5,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW0408-85JC,,6.04,10900.0,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW0408-85JC,,6.0600000000000005,10988.0,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW0408-85JC,,6.08,11075.999999999998,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW0408-85JC,,6.12,11218.18,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW0408-85JC,,6.140000000000001,11283.64,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW0408-85JC,,6.140000000000001,11283.64,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW0408-85JC,,6.165,11365.449999999999,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW0408-85JC,,6.19,11447.27,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW0408-85JC,,6.19,11447.27,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW0408-85JC,,6.21,11520.0,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW0408-85JC,,6.265000000000001,11740.0,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW0408-85JC,,6.29,11840.0,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW0408-85JC,,6.32,11952.0,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW0408-85JC,,6.34,12024.0,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW0408-85JC,,6.36,12095.999999999998,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW0408-85JC,,6.390000000000001,12204.0,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW0408-85JC,,6.415,12356.67,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW0408-85JC,,6.44,12551.11,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW0408-85JC,,6.46,12920.0,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW0408-85JC,,6.49,13580.0,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW0408-85JC,,6.515000000000001,13743.329999999998,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW0408-85JC,,6.54,13810.0,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW0408-85JC,,6.5600000000000005,13910.0,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW0408-85JC,,6.59,14060.0,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW0408-85JC,,6.615,14138.5,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW0408-85JC,,6.640000000000001,14186.0,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW0408-85JC,,6.69,14280.999999999998,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW0408-85JC,,6.695,14290.5,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW0408-85JC,,6.73,14462.0,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW0408-85JC,,6.74,14515.999999999998,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW0408-85JC,,6.76,14622.0,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW0408-85JC,,6.79,14777.999999999998,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW0408-85JC,,6.79,14777.999999999998,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW0408-85JC,,6.82,14821.11,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW0408-85JC,,6.84,14812.220000000001,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW0408-85JC,,6.87,15119.09,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW0408-85JC,,6.890000000000001,15366.36,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW0408-85JC,,6.94,15695.710000000001,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW0408-85JC,,6.99,15952.86,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW0408-85JC,,7.04,16210.0,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW0408-85JC,,7.1000000000000005,16327.270000000002,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW0408-85JC,,7.15,16425.0,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW0408-85JC,,7.25,16620.45,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW0408-85JC,,7.53,16987.14,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW0408-85JC,,7.54,17000.0,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW0408-85JC,,8.040000000000001,17170.0,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW0408-85JC,,8.540000000000001,17020.0,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW0408-85JC,,9.040000000000001,17240.0,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW0408-85JC,,9.53,16980.0,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW0408-85JC,,10.01,17277.6,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW0408-85JC,,10.53,17330.0,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW0408-85JC,,11.03,17400.0,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
