Site,Sample Label,archival_depth (m),d13C (VPDB),d18O (VPDB),d13C_corrected (PDB),d18O_corrected (PDB),Number of shells,Minimum mesh size (um),Maximum mesh size (um),Taxon,Taxon_flag,Taxon_note1,Taxon_note2,Taxon_note3,Additional_note,Publication source,Original Reference,File Name,Data source,quality control
EW0408-85JC,,0.02,-0.89,3.27,,,,,,Uvigerina,5,,,,,Davies et al. 2011,,,,1
EW0408-85JC,,0.1,-0.75,3.27,,,,,,Uvigerina,5,,,,,Davies et al. 2011,,,,1
EW0408-85JC,,0.15,-1.0,3.3,,,,,,Uvigerina,5,,,,,Davies et al. 2011,,,,1
EW0408-85JC,,0.2,-0.91,3.21,,,,,,Uvigerina,5,,,,,Davies et al. 2011,,,,1
EW0408-85JC,,0.26,-0.94,3.25,,,,,,Uvigerina,5,,,,,Davies et al. 2011,,,,1
EW0408-85JC,,0.3,-0.8,3.35,,,,,,Uvigerina,5,,,,,Davies et al. 2011,,,,1
EW0408-85JC,,0.33,-0.84,3.26,,,,,,Uvigerina,5,,,,,Davies et al. 2011,,,,1
EW0408-85JC,,0.4,-0.79,3.25,,,,,,Uvigerina,5,,,,,Davies et al. 2011,,,,1
EW0408-85JC,,0.45,-0.86,3.16,,,,,,Uvigerina,5,,,,,Davies et al. 2011,,,,1
EW0408-85JC,,0.54,-0.86,3.26,,,,,,Uvigerina,5,,,,,Davies et al. 2011,,,,1
EW0408-85JC,,0.58,-1.05,2.97,,,,,,Uvigerina,5,,,,,Davies et al. 2011,,,,1
EW0408-85JC,,0.58,-0.88,3.25,,,,,,Uvigerina,5,,,,,Davies et al. 2011,,,,1
EW0408-85JC,,0.6,-0.96,3.14,,,,,,Uvigerina,5,,,,,Davies et al. 2011,,,,1
EW0408-85JC,,0.68,-0.75,3.24,,,,,,Uvigerina,5,,,,,Davies et al. 2011,,,,1
EW0408-85JC,,0.73,-0.91,3.2,,,,,,Uvigerina,5,,,,,Davies et al. 2011,,,,1
EW0408-85JC,,0.78,-0.88,3.56,,,,,,Uvigerina,5,,,,,Davies et al. 2011,,,,1
EW0408-85JC,,0.78,-0.92,3.15,,,,,,Uvigerina,5,,,,,Davies et al. 2011,,,,1
EW0408-85JC,,0.8300000000000001,-0.92,3.18,,,,,,Uvigerina,5,,,,,Davies et al. 2011,,,,1
EW0408-85JC,,0.92,-0.91,3.29,,,,,,Uvigerina,5,,,,,Davies et al. 2011,,,,1
EW0408-85JC,,0.97,-0.96,3.33,,,,,,Uvigerina,5,,,,,Davies et al. 2011,,,,1
EW0408-85JC,,1.04,-0.81,3.25,,,,,,Uvigerina,5,,,,,Davies et al. 2011,,,,1
EW0408-85JC,,1.07,-1.02,3.28,,,,,,Uvigerina,5,,,,,Davies et al. 2011,,,,1
EW0408-85JC,,1.12,-0.86,3.24,,,,,,Uvigerina,5,,,,,Davies et al. 2011,,,,1
