Site,Sample_label,hole_label,section_label,published_archival_depth (m),current_depth_model (m),current_depth_model_note,ODP SAMPLE Inventory:: DEPTH(mid) (m),ODP SAMPLE Inventory:: MBSF(mid) (m),ODP SAMPLE Inventory:: MCD(mid) (m),ODP SAMPLE Inventory:: CCSF(mid) (m),depth_model_1 (m),depth_model_note_1,older_depth_model_2 (m)
EW0408-87JC,,,,0.61,0.61,,,,,,0.61,depth model associated with Cibicidoides data,
EW0408-87JC,,,,1.83,1.83,,,,,,1.83,depth model associated with Cibicidoides data,
EW0408-87JC,,,,2.0300000000000002,2.0300000000000002,,,,,,2.0300000000000002,depth model associated with Cibicidoides data,
EW0408-87JC,,,,2.075,2.075,,,,,,2.075,depth model associated with Cibicidoides data,
EW0408-87JC,,,,2.1350000000000002,2.1350000000000002,,,,,,2.1350000000000002,depth model associated with Cibicidoides data,
EW0408-87JC,,,,2.3317,2.3317,,,,,,2.3317,depth model associated with Cibicidoides data,
EW0408-87JC,,,,2.355,2.355,,,,,,2.355,depth model associated with Cibicidoides data,
EW0408-87JC,,,,2.395,2.395,,,,,,2.395,depth model associated with Cibicidoides data,
EW0408-87JC,,,,2.4116999999999997,2.4116999999999997,,,,,,2.4116999999999997,depth model associated with Cibicidoides data,
EW0408-87JC,,,,2.435,2.435,,,,,,2.435,depth model associated with Cibicidoides data,
EW0408-87JC,,,,2.445,2.445,,,,,,2.445,depth model associated with Cibicidoides data,
EW0408-87JC,,,,2.4717,2.4717,,,,,,2.4717,depth model associated with Cibicidoides data,
EW0408-87JC,,,,2.475,2.475,,,,,,2.475,depth model associated with Cibicidoides data,
EW0408-87JC,,,,2.495,2.495,,,,,,2.495,depth model associated with Cibicidoides data,
EW0408-87JC,,,,2.525,2.525,,,,,,2.525,depth model associated with Cibicidoides data,
EW0408-87JC,,,,2.5317,2.5317,,,,,,2.5317,depth model associated with Cibicidoides data,
EW0408-87JC,,,,2.555,2.555,,,,,,2.555,depth model associated with Cibicidoides data,
EW0408-87JC,,,,2.615,2.615,,,,,,2.615,depth model associated with Cibicidoides data,
EW0408-87JC,,,,2.625,2.625,,,,,,2.625,depth model associated with Cibicidoides data,
EW0408-87JC,,,,2.6317000000000004,2.6317000000000004,,,,,,2.6317000000000004,depth model associated with Cibicidoides data,
EW0408-87JC,,,,2.6517000000000004,2.6517000000000004,,,,,,2.6517000000000004,depth model associated with Cibicidoides data,
EW0408-87JC,,,,2.6750000000000003,2.6750000000000003,,,,,,2.6750000000000003,depth model associated with Cibicidoides data,
EW0408-87JC,,,,2.69,2.69,,,,,,2.69,depth model associated with Cibicidoides data,
EW0408-87JC,,,,2.715,2.715,,,,,,2.715,depth model associated with Cibicidoides data,
EW0408-87JC,,,,2.7917,2.7917,,,,,,2.7917,depth model associated with Cibicidoides data,
EW0408-87JC,,,,2.81,2.81,,,,,,2.81,depth model associated with Cibicidoides data,
EW0408-87JC,,,,2.835,2.835,,,,,,2.835,depth model associated with Cibicidoides data,
EW0408-87JC,,,,2.9117,2.9117,,,,,,2.9117,depth model associated with Cibicidoides data,
EW0408-87JC,,,,2.935,2.935,,,,,,2.935,depth model associated with Cibicidoides data,
EW0408-87JC,,,,2.945,2.945,,,,,,2.945,depth model associated with Cibicidoides data,
EW0408-87JC,,,,2.9517,2.9517,,,,,,2.9517,depth model associated with Cibicidoides data,
EW0408-87JC,,,,2.965,2.965,,,,,,2.965,depth model associated with Cibicidoides data,
EW0408-87JC,,,,2.975,2.975,,,,,,2.975,depth model associated with Cibicidoides data,
EW0408-87JC,,,,2.9917000000000002,2.9917000000000002,,,,,,2.9917000000000002,depth model associated with Cibicidoides data,
EW0408-87JC,,,,3.0100000000000002,3.0100000000000002,,,,,,3.0100000000000002,depth model associated with Cibicidoides data,
EW0408-87JC,,,,3.075,3.075,,,,,,3.075,depth model associated with Cibicidoides data,
EW0408-87JC,,,,3.1350000000000002,3.1350000000000002,,,,,,3.1350000000000002,depth model associated with Cibicidoides data,
EW0408-87JC,,,,3.1550000000000002,3.1550000000000002,,,,,,3.1550000000000002,depth model associated with Cibicidoides data,
EW0408-87JC,,,,3.185,3.185,,,,,,3.185,depth model associated with Cibicidoides data,
EW0408-87JC,,,,3.1950000000000003,3.1950000000000003,,,,,,3.1950000000000003,depth model associated with Cibicidoides data,
EW0408-87JC,,,,3.285,3.285,,,,,,3.285,depth model associated with Cibicidoides data,
EW0408-87JC,,,,3.375,3.375,,,,,,3.375,depth model associated with Cibicidoides data,
