Site,Sample label,sample_depth,technique,lab. code,species/material,radiocarbon_age (y),radiocarbon_age_error_plus (y),radiocarbon_age_error_minus (y),reservoir_age (y),reservoir_age_error_plus (y),reservoir_age_error_minus (y),calendar_age (yBP),calendar_age_error_plus (yBP),calendar_age_error_minus (yBP),calibration curve,alignment target,alignment proxy,note1,note2,original reference,data doi
EW9209_1JPC,,0.035,,OS-3847,G. sacc,3880,40,40,500,100,100,3603,207,203,IntCal20 + res age temporal component,,,From Waelbroeck et al. 2019 compilation (2022 update),,,
EW9209_1JPC,,0.135,,OS-3848,G. sacc,6540,40,40,500,100,100,6829,117,109,IntCal20 + res age temporal component,,,From Waelbroeck et al. 2019 compilation (2022 update),,,
EW9209_1JPC,,0.205,,OS-3849,G. sacc,9600,80,80,500,100,100,10203,276,267,IntCal20 + res age temporal component,,,From Waelbroeck et al. 2019 compilation (2022 update),,,
EW9209_1JPC,,0.27,,OS-116098  ,G. ruber,9750,40,40,500,100,100,10392,105,61,IntCal20 + res age temporal component,,,From Waelbroeck et al. 2019 compilation (2022 update),,,
EW9209_1JPC,,0.3,,OS-116099  ,G. ruber,10850,35,35,500,200,200,12040,429,289,IntCal20 + res age temporal component,,,From Waelbroeck et al. 2019 compilation (2022 update),,,
EW9209_1JPC,,0.335,,OS-3850,G. sacc,13350,50,50,500,200,200,15102,424,270,IntCal20 + res age temporal component,,,From Waelbroeck et al. 2019 compilation (2022 update),,,
EW9209_1JPC,,0.435,,OS-3851,G. sacc,16600,310,310,500,200,200,19214,367,429,IntCal20 + res age temporal component,,,From Waelbroeck et al. 2019 compilation (2022 update),,,
EW9209_1JPC,,0.605,,OS-3852,G. sacc,18750,70,70,500,200,200,21856,298,180,IntCal20 + res age temporal component,,,From Waelbroeck et al. 2019 compilation (2022 update),,,
EW9209_1JPC,,0.835,,OS-3853,G. sacc,23700,120,120,500,200,200,27266,287,245,IntCal20 + res age temporal component,,,From Waelbroeck et al. 2019 compilation (2022 update),,,
EW9209_1JPC,,0.975,,OS-3854,G. sacc,26500,240,240,500,200,200,30032,347,411,IntCal20 + res age temporal component,,,From Waelbroeck et al. 2019 compilation (2022 update),,,
EW9209_1JPC,,1.175,,OS-3855,G. sacc,29900,210,210,500,200,200,33697,384,353,IntCal20 + res age temporal component,,,From Waelbroeck et al. 2019 compilation (2022 update),,,
EW9209_1JPC,,1.335,,OS-3856,G. sacc,32400,180,180,500,200,200,36021,270,304,IntCal20 + res age temporal component,,,From Waelbroeck et al. 2019 compilation (2022 update),,,
EW9209_1JPC,,1.535,,OS-3857,G. sacc,38800,340,340,500,200,200,42302,148,152,IntCal20 + res age temporal component,,,From Waelbroeck et al. 2019 compilation (2022 update),,,
