Site,Sample Label,age_model_depth (m),age_model (y BP),age_model_sigma_plus(y BP),age_model_sigma_minus(y BP),upper_95_percent(y BP),lower_95_percent(y BP),age_flag,age_model_note,age_model_collection,quality control
EW9209_1JPC,,0.03,3831.5649414063,,,4062.5300292969,3629.5300292969,3,Age model from Jonkers et al. (2020),,1
EW9209_1JPC,,0.04,4067.486328125,,,4306.7041015625,3830.7038574219,3,Age model from Jonkers et al. (2020),,1
EW9209_1JPC,,0.05,4303.3979492188,,,4623.7158203125,3987.7160644531,3,Age model from Jonkers et al. (2020),,1
EW9209_1JPC,,0.06,4539.3056640625,,,4977.9326171875,4119.9326171875,3,Age model from Jonkers et al. (2020),,1
EW9209_1JPC,,0.07,4775.2221679688,,,5335.1772460938,4237.1772460938,3,Age model from Jonkers et al. (2020),,1
EW9209_1JPC,,0.08,5011.134765625,,,5698.4213867188,4356.4213867188,3,Age model from Jonkers et al. (2020),,1
EW9209_1JPC,,0.09,5247.056640625,,,6065.666015625,4468.666015625,3,Age model from Jonkers et al. (2020),,1
EW9209_1JPC,,0.1,5486.6591796875,,,6429.8388671875,4593.8388671875,3,Age model from Jonkers et al. (2020),,1
EW9209_1JPC,,0.11,5995.642578125,,,6656.8056640625,5373.8056640625,3,Age model from Jonkers et al. (2020),,1
EW9209_1JPC,,0.12,6504.6293945313,,,6898.8544921875,6136.8544921875,3,Age model from Jonkers et al. (2020),,1
EW9209_1JPC,,0.13,7013.6044921875,,,7214.6499023438,6795.6499023438,3,Age model from Jonkers et al. (2020),,1
EW9209_1JPC,,0.14,7522.5708007813,,,7875.619140625,7165.619140625,3,Age model from Jonkers et al. (2020),,1
EW9209_1JPC,,0.15,8031.5590820313,,,8635.587890625,7419.587890625,3,Age model from Jonkers et al. (2020),,1
EW9209_1JPC,,0.16,8540.5390625,,,9408.556640625,7636.5571289063,3,Age model from Jonkers et al. (2020),,1
EW9209_1JPC,,0.17,9048.505859375,,,10168.419921875,7859.4194335938,3,Age model from Jonkers et al. (2020),,1
EW9209_1JPC,,0.18,9520.2314453125,,,10303.4404296875,8671.4404296875,3,Age model from Jonkers et al. (2020),,1
EW9209_1JPC,,0.19,9991.94921875,,,10465.4609375,9489.4609375,3,Age model from Jonkers et al. (2020),,1
EW9209_1JPC,,0.2,10463.7080078125,,,10801.482421875,10187.482421875,3,Age model from Jonkers et al. (2020),,1
EW9209_1JPC,,0.21,10935.4013671875,,,11454.50390625,10431.50390625,3,Age model from Jonkers et al. (2020),,1
EW9209_1JPC,,0.22,11407.13671875,,,12260.5244140625,10582.5244140625,3,Age model from Jonkers et al. (2020),,1
EW9209_1JPC,,0.23,11878.86328125,,,13082.5458984375,10700.5458984375,3,Age model from Jonkers et al. (2020),,1
EW9209_1JPC,,0.24,12343.068359375,,,13888.619140625,10814.619140625,3,Age model from Jonkers et al. (2020),,1
EW9209_1JPC,,0.25,12629.26171875,,,14011.9404296875,11282.9404296875,3,Age model from Jonkers et al. (2020),,1
EW9209_1JPC,,0.26,12915.4697265625,,,14148.2607421875,11740.2607421875,3,Age model from Jonkers et al. (2020),,1
EW9209_1JPC,,0.27,13201.66796875,,,14308.58203125,12174.58203125,3,Age model from Jonkers et al. (2020),,1
EW9209_1JPC,,0.28,13487.8818359375,,,14482.9033203125,12582.9033203125,3,Age model from Jonkers et al. (2020),,1
EW9209_1JPC,,0.29,13774.111328125,,,14664.2236328125,12968.2236328125,3,Age model from Jonkers et al. (2020),,1
EW9209_1JPC,,0.3,14060.30078125,,,14876.544921875,13316.544921875,3,Age model from Jonkers et al. (2020),,1
EW9209_1JPC,,0.31,14356.7822265625,,,15129.576171875,13640.576171875,3,Age model from Jonkers et al. (2020),,1
EW9209_1JPC,,0.32,14832.9013671875,,,15301.037109375,14370.037109375,3,Age model from Jonkers et al. (2020),,1
EW9209_1JPC,,0.33,15308.982421875,,,15601.498046875,15023.498046875,3,Age model from Jonkers et al. (2020),,1
EW9209_1JPC,,0.34,15785.103515625,,,16185.958984375,15349.958984375,3,Age model from Jonkers et al. (2020),,1
EW9209_1JPC,,0.35,16261.1669921875,,,16888.419921875,15521.419921875,3,Age model from Jonkers et al. (2020),,1
EW9209_1JPC,,0.36,16737.26171875,,,17634.880859375,15658.880859375,3,Age model from Jonkers et al. (2020),,1
EW9209_1JPC,,0.37,17213.388671875,,,18400.314453125,15801.314453125,3,Age model from Jonkers et al. (2020),,1
EW9209_1JPC,,0.38,17675.427734375,,,19125.15625,15959.1572265625,3,Age model from Jonkers et al. (2020),,1
EW9209_1JPC,,0.39,17943.67578125,,,19211.32421875,16405.32421875,3,Age model from Jonkers et al. (2020),,1
EW9209_1JPC,,0.4,18211.970703125,,,19304.578125,16922.578125,3,Age model from Jonkers et al. (2020),,1
EW9209_1JPC,,0.41,18480.251953125,,,19420.4140625,17401.4140625,3,Age model from Jonkers et al. (2020),,1
EW9209_1JPC,,0.42,18748.484375,,,19572.25,17752.25,3,Age model from Jonkers et al. (2020),,1
EW9209_1JPC,,0.43,19016.744140625,,,19795.083984375,18057.083984375,3,Age model from Jonkers et al. (2020),,1
EW9209_1JPC,,0.44,19285.076171875,,,20116.708984375,18281.708984375,3,Age model from Jonkers et al. (2020),,1
EW9209_1JPC,,0.45,19542.40625,,,20544.421875,18453.421875,3,Age model from Jonkers et al. (2020),,1
EW9209_1JPC,,0.46,19676.462890625,,,20638.640625,18670.640625,3,Age model from Jonkers et al. (2020),,1
EW9209_1JPC,,0.47,19810.4609375,,,20726.861328125,18846.861328125,3,Age model from Jonkers et al. (2020),,1
EW9209_1JPC,,0.48,19944.5234375,,,20835.08203125,18971.08203125,3,Age model from Jonkers et al. (2020),,1
EW9209_1JPC,,0.49,20078.564453125,,,20968.30078125,19080.30078125,3,Age model from Jonkers et al. (2020),,1
