Site,Sample Label,age_model_depth (m),age_model (y BP),age_model_sigma_plus(y BP),age_model_sigma_minus(y BP),upper_97.5_percent(y BP),lower_97.5_percent(y BP),age_flag,age_model_note,age_model_collection,quality control
EW9209_JPC1,,0.03,1981.9676513671875,,,2635.1875,1992.1875,3,Age model from Repschlaeger et al. (2021),BACON.IntCal13,1
EW9209_JPC1,,0.04,2479.755615234375,,,3088.8916015625,2489.8916015625,3,Age model from Repschlaeger et al. (2021),BACON.IntCal13,1
EW9209_JPC1,,0.05,2977.538818359375,,,3542.59521484375,2986.59521484375,3,Age model from Repschlaeger et al. (2021),BACON.IntCal13,1
EW9209_JPC1,,0.06,3475.322998046875,,,3984.29931640625,3482.29931640625,3,Age model from Repschlaeger et al. (2021),BACON.IntCal13,1
EW9209_JPC1,,0.07,3973.1015625,,,4447.00341796875,3979.00341796875,3,Age model from Repschlaeger et al. (2021),BACON.IntCal13,1
EW9209_JPC1,,0.08,4470.8935546875,,,4883.70703125,4478.70703125,3,Age model from Repschlaeger et al. (2021),BACON.IntCal13,1
EW9209_JPC1,,0.09,4968.67041015625,,,5354.4111328125,4974.4111328125,3,Age model from Repschlaeger et al. (2021),BACON.IntCal13,1
EW9209_JPC1,,0.1,5466.453125,,,5794.115234375,5468.115234375,3,Age model from Repschlaeger et al. (2021),BACON.IntCal13,1
EW9209_JPC1,,0.11,5964.23681640625,,,6265.8193359375,5964.8193359375,3,Age model from Repschlaeger et al. (2021),BACON.IntCal13,1
EW9209_JPC1,,0.12,6462.02099609375,,,6709.9931640625,6462.9931640625,3,Age model from Repschlaeger et al. (2021),BACON.IntCal13,1
EW9209_JPC1,,0.13,6959.81005859375,,,7178.6845703125,6962.6845703125,3,Age model from Repschlaeger et al. (2021),BACON.IntCal13,1
EW9209_JPC1,,0.14,7457.599609375,,,7652.43359375,7460.43359375,3,Age model from Repschlaeger et al. (2021),BACON.IntCal13,1
EW9209_JPC1,,0.15,7955.38525390625,,,8129.1826171875,7957.1826171875,3,Age model from Repschlaeger et al. (2021),BACON.IntCal13,1
EW9209_JPC1,,0.16,8453.1689453125,,,8631.931640625,8453.931640625,3,Age model from Repschlaeger et al. (2021),BACON.IntCal13,1
