Site,Sample label,sample_depth,technique,lab. code,species/material,radiocarbon_age (y),radiocarbon_age_error_plus (y),radiocarbon_age_error_minus (y),reservoir_age (y),reservoir_age_error_plus (y),reservoir_age_error_minus (y),calendar_age (yBP),calendar_age_error_plus (yBP),calendar_age_error_minus (yBP),calibration curve,alignment target,alignment proxy,note1,note2,original reference,data doi
EW9209_2JPC,,2.32,,,,,,,,,,47500,1400,1400,IntCal13,,,From Jonkers et al. 2020 compilation paper,,,
EW9209_2JPC,,3.6,,,,,,,,,,71000,1640,1640,IntCal13,,,From Jonkers et al. 2020 compilation paper,,,
EW9209_2JPC,,5.5,,,,,,,,,,116000,4620,4620,IntCal13,,,From Jonkers et al. 2020 compilation paper,,,
EW9209_2JPC,,5.9,,,,,,,,,,134000,2720,2720,IntCal13,,,From Jonkers et al. 2020 compilation paper,,,
EW9209_2JPC,,0.03,,,,3890.0,35.0,35.0,380.0,50.5,50.5,3784.0,187.0,192.0,IntCal13,,,From Mulitza et al. 2022 ESSD compilation,,,
EW9209_2JPC,,0.1,,,,4070.0000000000005,80.0,80.0,398.0,52.3,52.3,4010.0,333.0,290.0,IntCal13,,,From Mulitza et al. 2022 ESSD compilation,,,
EW9209_2JPC,,0.2,,,,8080.0,100.0,100.0,407.0,53.0,53.0,8474.0,291.0,279.0,IntCal13,,,From Mulitza et al. 2022 ESSD compilation,,,
EW9209_2JPC,,0.67,,,,16900.0,140.0,140.0,714.0,47.0,47.0,19537.0,371.0,392.0,IntCal13,,,From Mulitza et al. 2022 ESSD compilation,,,
EW9209_2JPC,,0.93,,,,19950.0,100.0,100.0,748.0,54.1,54.1,23173.0,533.0,247.0,IntCal13,,,From Mulitza et al. 2022 ESSD compilation,,,
EW9209_2JPC,,1.2,,,,24500.0,120.0,120.0,818.0,51.3,51.3,27833.0,371.0,224.0,IntCal13,,,From Mulitza et al. 2022 ESSD compilation,,,
EW9209_2JPC,,1.43,,,,28100.0,190.0,190.0,714.0,65.8,65.8,31390.0,324.0,274.0,IntCal13,,,From Mulitza et al. 2022 ESSD compilation,,,
EW9209_2JPC,,1.6,,,,30000.0,170.0,170.0,858.0,61.800000000000004,61.800000000000004,33691.0,488.0,495.0,IntCal13,,,From Mulitza et al. 2022 ESSD compilation,,,
EW9209_2JPC,,1.77,,,,32800.0,200.0,200.0,663.0,54.300000000000004,54.300000000000004,36492.0,450.0,377.0,IntCal13,,,From Mulitza et al. 2022 ESSD compilation,,,
EW9209_2JPC,,1.9,,,,34100.0,270.0,270.0,713.0,71.9,71.9,38235.0,933.0,950.0,IntCal13,,,From Mulitza et al. 2022 ESSD compilation,,,
