Site,Sample Label,archival_depth (m),d13C (VPDB),d18O (VPDB),d13C_corrected (PDB),d18O_corrected (PDB),Number of shells,Minimum mesh size (um),Maximum mesh size (um),Taxon,Taxon_flag,Taxon_note1,Taxon_note2,Taxon_note3,Additional_note,Publication source,Original Reference,File Name,Data source,quality control
EW9209_2JPC,,0.01,1.355,2.525,1.355,2.525,,,,Cibicidoides wuellerstorfi,1,,,,,Jonkers et al. 2020 compilation,"Curry, W. B., Marchitto, T. M., McManus, J. F., Oppo, D. W. and Laarkamp, K. L.: Millennial-scale changes in ventilation of the thermocline, intermediate, and deep waters of the glacial North Atlantic, Geophysical Monograph Series, 59–76, doi:10.1029/gm112p0059, 1999.",,https://www1.ncdc.noaa.gov/pub/data/paleo/contributions_by_author/curry1996/,1
EW9209_2JPC,,0.03,1.26,2.675,1.26,2.675,,,,Cibicidoides wuellerstorfi,1,,,,,Jonkers et al. 2020 compilation,"Curry, W. B., Marchitto, T. M., McManus, J. F., Oppo, D. W. and Laarkamp, K. L.: Millennial-scale changes in ventilation of the thermocline, intermediate, and deep waters of the glacial North Atlantic, Geophysical Monograph Series, 59–76, doi:10.1029/gm112p0059, 1999.",,https://www1.ncdc.noaa.gov/pub/data/paleo/contributions_by_author/curry1996/,1
EW9209_2JPC,,0.07,1.24,2.61,1.24,2.61,,,,Cibicidoides wuellerstorfi,1,,,,,Jonkers et al. 2020 compilation,"Curry, W. B., Marchitto, T. M., McManus, J. F., Oppo, D. W. and Laarkamp, K. L.: Millennial-scale changes in ventilation of the thermocline, intermediate, and deep waters of the glacial North Atlantic, Geophysical Monograph Series, 59–76, doi:10.1029/gm112p0059, 1999.",,https://www1.ncdc.noaa.gov/pub/data/paleo/contributions_by_author/curry1996/,1
EW9209_2JPC,,0.1,1.35,2.555,1.35,2.555,,,,Cibicidoides wuellerstorfi,1,,,,,Jonkers et al. 2020 compilation,"Curry, W. B., Marchitto, T. M., McManus, J. F., Oppo, D. W. and Laarkamp, K. L.: Millennial-scale changes in ventilation of the thermocline, intermediate, and deep waters of the glacial North Atlantic, Geophysical Monograph Series, 59–76, doi:10.1029/gm112p0059, 1999.",,https://www1.ncdc.noaa.gov/pub/data/paleo/contributions_by_author/curry1996/,1
EW9209_2JPC,,0.13,0.81,2.645,0.81,2.645,,,,Cibicidoides wuellerstorfi,1,,,,,Jonkers et al. 2020 compilation,"Curry, W. B., Marchitto, T. M., McManus, J. F., Oppo, D. W. and Laarkamp, K. L.: Millennial-scale changes in ventilation of the thermocline, intermediate, and deep waters of the glacial North Atlantic, Geophysical Monograph Series, 59–76, doi:10.1029/gm112p0059, 1999.",,https://www1.ncdc.noaa.gov/pub/data/paleo/contributions_by_author/curry1996/,1
EW9209_2JPC,,0.17,1.02,2.855,1.02,2.855,,,,Cibicidoides wuellerstorfi,1,,,,,Jonkers et al. 2020 compilation,"Curry, W. B., Marchitto, T. M., McManus, J. F., Oppo, D. W. and Laarkamp, K. L.: Millennial-scale changes in ventilation of the thermocline, intermediate, and deep waters of the glacial North Atlantic, Geophysical Monograph Series, 59–76, doi:10.1029/gm112p0059, 1999.",,https://www1.ncdc.noaa.gov/pub/data/paleo/contributions_by_author/curry1996/,1
EW9209_2JPC,,0.2,0.925,2.725,0.925,2.725,,,,Cibicidoides wuellerstorfi,1,,,,,Jonkers et al. 2020 compilation,"Curry, W. B., Marchitto, T. M., McManus, J. F., Oppo, D. W. and Laarkamp, K. L.: Millennial-scale changes in ventilation of the thermocline, intermediate, and deep waters of the glacial North Atlantic, Geophysical Monograph Series, 59–76, doi:10.1029/gm112p0059, 1999.",,https://www1.ncdc.noaa.gov/pub/data/paleo/contributions_by_author/curry1996/,1
EW9209_2JPC,,0.23,1.08,3.1,1.08,3.1,,,,Cibicidoides wuellerstorfi,1,,,,,Jonkers et al. 2020 compilation,"Curry, W. B., Marchitto, T. M., McManus, J. F., Oppo, D. W. and Laarkamp, K. L.: Millennial-scale changes in ventilation of the thermocline, intermediate, and deep waters of the glacial North Atlantic, Geophysical Monograph Series, 59–76, doi:10.1029/gm112p0059, 1999.",,https://www1.ncdc.noaa.gov/pub/data/paleo/contributions_by_author/curry1996/,1
EW9209_2JPC,,0.27,1.04,3.41,1.04,3.41,,,,Cibicidoides wuellerstorfi,1,,,,,Jonkers et al. 2020 compilation,"Curry, W. B., Marchitto, T. M., McManus, J. F., Oppo, D. W. and Laarkamp, K. L.: Millennial-scale changes in ventilation of the thermocline, intermediate, and deep waters of the glacial North Atlantic, Geophysical Monograph Series, 59–76, doi:10.1029/gm112p0059, 1999.",,https://www1.ncdc.noaa.gov/pub/data/paleo/contributions_by_author/curry1996/,1
EW9209_2JPC,,0.3,0.87,3.25,0.87,3.25,,,,Cibicidoides wuellerstorfi,1,,,,,Jonkers et al. 2020 compilation,"Curry, W. B., Marchitto, T. M., McManus, J. F., Oppo, D. W. and Laarkamp, K. L.: Millennial-scale changes in ventilation of the thermocline, intermediate, and deep waters of the glacial North Atlantic, Geophysical Monograph Series, 59–76, doi:10.1029/gm112p0059, 1999.",,https://www1.ncdc.noaa.gov/pub/data/paleo/contributions_by_author/curry1996/,1
