Site,Sample Label,age_model_depth (m),age_model (y BP),age_model_sigma_plus(y BP),age_model_sigma_minus(y BP),upper_97.5_percent(y BP),lower_97.5_percent(y BP),age_flag,age_model_note,age_model_collection,quality control
EW9209_3JPC,,0.03,7311.96826171875,,,8636.4453125,7588.4453125,3,Age model from Repschlaeger et al. (2021),BACON.IntCal13,1
EW9209_3JPC,,0.04,7404.62353515625,,,8650.4033203125,7664.4033203125,3,Age model from Repschlaeger et al. (2021),BACON.IntCal13,1
EW9209_3JPC,,0.05,7497.2587890625,,,8668.361328125,7738.361328125,3,Age model from Repschlaeger et al. (2021),BACON.IntCal13,1
EW9209_3JPC,,0.06,7589.908203125,,,8683.3193359375,7811.3193359375,3,Age model from Repschlaeger et al. (2021),BACON.IntCal13,1
EW9209_3JPC,,0.07,7682.5478515625,,,8699.27734375,7885.27734375,3,Age model from Repschlaeger et al. (2021),BACON.IntCal13,1
EW9209_3JPC,,0.08,7775.21044921875,,,8721.998046875,7956.998046875,3,Age model from Repschlaeger et al. (2021),BACON.IntCal13,1
EW9209_3JPC,,0.09,7867.84423828125,,,8745.525390625,8033.525390625,3,Age model from Repschlaeger et al. (2021),BACON.IntCal13,1
EW9209_3JPC,,0.1,7960.50634765625,,,8773.1240234375,8105.1240234375,3,Age model from Repschlaeger et al. (2021),BACON.IntCal13,1
EW9209_3JPC,,0.11,8053.13818359375,,,8792.5029296875,8181.5029296875,3,Age model from Repschlaeger et al. (2021),BACON.IntCal13,1
EW9209_3JPC,,0.12,8145.79345703125,,,8824.8818359375,8254.8818359375,3,Age model from Repschlaeger et al. (2021),BACON.IntCal13,1
EW9209_3JPC,,0.13,8238.4345703125,,,8851.2607421875,8331.2607421875,3,Age model from Repschlaeger et al. (2021),BACON.IntCal13,1
EW9209_3JPC,,0.14,8331.0732421875,,,8884.6396484375,8401.6396484375,3,Age model from Repschlaeger et al. (2021),BACON.IntCal13,1
EW9209_3JPC,,0.15,8423.73828125,,,8923.01953125,8476.01953125,3,Age model from Repschlaeger et al. (2021),BACON.IntCal13,1
EW9209_3JPC,,0.16,8516.3837890625,,,8968.3984375,8549.3984375,3,Age model from Repschlaeger et al. (2021),BACON.IntCal13,1
EW9209_3JPC,,0.17,8609.0302734375,,,9019.224609375,8622.224609375,3,Age model from Repschlaeger et al. (2021),BACON.IntCal13,1
EW9209_3JPC,,0.18,8701.6865234375,,,9093.296875,8695.296875,3,Age model from Repschlaeger et al. (2021),BACON.IntCal13,1
EW9209_3JPC,,0.19,8794.341796875,,,9175.3671875,8782.3671875,3,Age model from Repschlaeger et al. (2021),BACON.IntCal13,1
EW9209_3JPC,,0.2,8886.9853515625,,,9259.439453125,8873.439453125,3,Age model from Repschlaeger et al. (2021),BACON.IntCal13,1
EW9209_3JPC,,0.21,8979.6259765625,,,9395.509765625,8958.509765625,3,Age model from Repschlaeger et al. (2021),BACON.IntCal13,1
EW9209_3JPC,,0.22,9072.2724609375,,,9618.58203125,9035.58203125,3,Age model from Repschlaeger et al. (2021),BACON.IntCal13,1
EW9209_3JPC,,0.23,9164.9150390625,,,9862.0302734375,9112.0302734375,3,Age model from Repschlaeger et al. (2021),BACON.IntCal13,1
EW9209_3JPC,,0.24,9257.5712890625,,,10119.7919921875,9185.7919921875,3,Age model from Repschlaeger et al. (2021),BACON.IntCal13,1
EW9209_3JPC,,0.25,9350.2119140625,,,10373.5537109375,9260.5537109375,3,Age model from Repschlaeger et al. (2021),BACON.IntCal13,1
EW9209_3JPC,,0.26,9442.87109375,,,10614.3154296875,9334.3154296875,3,Age model from Repschlaeger et al. (2021),BACON.IntCal13,1
EW9209_3JPC,,0.27,9535.5087890625,,,10873.0771484375,9412.0771484375,3,Age model from Repschlaeger et al. (2021),BACON.IntCal13,1
