Site,Sample Label,age_model_depth (m),age_model (y BP),age_model_sigma_plus(y BP),age_model_sigma_minus(y BP),upper_95_percent(y BP),lower_95_percent(y BP),age_flag,age_model_note,age_model_collection,quality control
EW9209_3JPC,,0.03,6606.8754882813,,,6788.0698242188,6427.0698242188,3,Age model from Jonkers et al. (2020),,1
EW9209_3JPC,,0.04,6743.1142578125,,,6918.2788085938,6585.2788085938,3,Age model from Jonkers et al. (2020),,1
EW9209_3JPC,,0.05,6879.35546875,,,7046.4877929688,6720.4877929688,3,Age model from Jonkers et al. (2020),,1
EW9209_3JPC,,0.06,7015.6069335938,,,7165.6967773438,6859.6967773438,3,Age model from Jonkers et al. (2020),,1
EW9209_3JPC,,0.07,7151.830078125,,,7303.8500976563,7017.8500976563,3,Age model from Jonkers et al. (2020),,1
EW9209_3JPC,,0.08,7288.0659179688,,,7434.544921875,7152.544921875,3,Age model from Jonkers et al. (2020),,1
EW9209_3JPC,,0.09,7424.2978515625,,,7568.240234375,7285.240234375,3,Age model from Jonkers et al. (2020),,1
EW9209_3JPC,,0.1,7560.5390625,,,7718.4272460938,7412.4272460938,3,Age model from Jonkers et al. (2020),,1
EW9209_3JPC,,0.11,7696.7890625,,,7849.1772460938,7560.1772460938,3,Age model from Jonkers et al. (2020),,1
EW9209_3JPC,,0.12,7833.0043945313,,,8004.9267578125,7687.9267578125,3,Age model from Jonkers et al. (2020),,1
EW9209_3JPC,,0.13,7969.2705078125,,,8138.6762695313,7826.6762695313,3,Age model from Jonkers et al. (2020),,1
EW9209_3JPC,,0.14,8105.4946289063,,,8290.42578125,7954.42578125,3,Age model from Jonkers et al. (2020),,1
EW9209_3JPC,,0.15,8241.744140625,,,8448.17578125,8092.17578125,3,Age model from Jonkers et al. (2020),,1
EW9209_3JPC,,0.16,8377.99609375,,,8589.92578125,8211.92578125,3,Age model from Jonkers et al. (2020),,1
EW9209_3JPC,,0.17,8514.2275390625,,,8740.6748046875,8356.6748046875,3,Age model from Jonkers et al. (2020),,1
EW9209_3JPC,,0.18,8650.455078125,,,8900.423828125,8463.423828125,3,Age model from Jonkers et al. (2020),,1
EW9209_3JPC,,0.19,8786.7021484375,,,9051.173828125,8610.173828125,3,Age model from Jonkers et al. (2020),,1
EW9209_3JPC,,0.2,8886.9853515625,,,9164.439453125,8668.439453125,3,Age model from Jonkers et al. (2020),,1
EW9209_3JPC,,0.21,8979.6259765625,,,9323.509765625,8723.509765625,3,Age model from Jonkers et al. (2020),,1
EW9209_3JPC,,0.22,9072.2724609375,,,9518.58203125,8753.58203125,3,Age model from Jonkers et al. (2020),,1
EW9209_3JPC,,0.23,9164.9150390625,,,9731.0302734375,8792.0302734375,3,Age model from Jonkers et al. (2020),,1
EW9209_3JPC,,0.24,9257.5712890625,,,9951.7919921875,8825.7919921875,3,Age model from Jonkers et al. (2020),,1
EW9209_3JPC,,0.25,9350.2119140625,,,10168.5537109375,8849.5537109375,3,Age model from Jonkers et al. (2020),,1
EW9209_3JPC,,0.26,9442.87109375,,,10383.3154296875,8873.3154296875,3,Age model from Jonkers et al. (2020),,1
EW9209_3JPC,,0.27,9535.5087890625,,,10611.0771484375,8897.0771484375,3,Age model from Jonkers et al. (2020),,1
EW9209_3JPC,,0.28,9628.15625,,,10834.03125,8920.03125,3,Age model from Jonkers et al. (2020),,1
EW9209_3JPC,,0.29,9720.7841796875,,,11060.6943359375,8941.6943359375,3,Age model from Jonkers et al. (2020),,1
EW9209_3JPC,,0.3,9813.4638671875,,,11279.357421875,8961.357421875,3,Age model from Jonkers et al. (2020),,1
EW9209_3JPC,,0.31,9906.103515625,,,11510.0205078125,8984.0205078125,3,Age model from Jonkers et al. (2020),,1
EW9209_3JPC,,0.32,9998.7451171875,,,11752.68359375,9007.68359375,3,Age model from Jonkers et al. (2020),,1
EW9209_3JPC,,0.33,10091.3955078125,,,11988.345703125,9030.345703125,3,Age model from Jonkers et al. (2020),,1
EW9209_3JPC,,0.34,10184.0244140625,,,12216.0087890625,9051.0087890625,3,Age model from Jonkers et al. (2020),,1
