Site,Sample Label,age_model_depth (m),age_model (y BP),age_model_sigma_plus(y BP),age_model_sigma_minus(y BP),upper_97.5_percent(y BP),lower_97.5_percent(y BP),age_flag,age_model_note,age_model_collection,quality control
EW9302-24GGC,,0.0,128.98780822753906,,,603.7949829101562,126.79498291015624,"3,4",Age model from Repschlaeger et al. (2021),BACON.IntCal13,1
EW9302-24GGC,,0.01,166.1970672607422,,,626.178955078125,158.178955078125,"3,4",Age model from Repschlaeger et al. (2021),BACON.IntCal13,1
EW9302-24GGC,,0.02,203.4058074951172,,,642.412353515625,188.412353515625,"3,4",Age model from Repschlaeger et al. (2021),BACON.IntCal13,1
EW9302-24GGC,,0.03,240.61517333984372,,,670.4153442382812,221.41534423828125,"3,4",Age model from Repschlaeger et al. (2021),BACON.IntCal13,1
EW9302-24GGC,,0.04,277.8236694335937,,,699.4183349609375,255.4183349609375,"3,4",Age model from Repschlaeger et al. (2021),BACON.IntCal13,1
EW9302-24GGC,,0.05,315.0335693359375,,,725.2971801757812,291.29718017578125,"3,4",Age model from Repschlaeger et al. (2021),BACON.IntCal13,1
EW9302-24GGC,,0.06,352.2421875,,,768.0010986328125,331.0010681152344,"3,4",Age model from Repschlaeger et al. (2021),BACON.IntCal13,1
EW9302-24GGC,,0.07,389.4515075683594,,,804.4254760742188,368.4254760742188,"3,4",Age model from Repschlaeger et al. (2021),BACON.IntCal13,1
EW9302-24GGC,,0.08,426.6604614257813,,,860.5748901367188,402.5748901367188,"3,4",Age model from Repschlaeger et al. (2021),BACON.IntCal13,1
EW9302-24GGC,,0.09,463.869140625,,,921.7243041992188,439.7243041992188,"3,4",Age model from Repschlaeger et al. (2021),BACON.IntCal13,1
EW9302-24GGC,,0.1,501.077392578125,,,998.8736572265624,474.8736877441406,"3,4",Age model from Repschlaeger et al. (2021),BACON.IntCal13,1
EW9302-24GGC,,0.11,538.3958740234375,,,1042.3858642578125,510.3858642578125,"3,4",Age model from Repschlaeger et al. (2021),BACON.IntCal13,1
EW9302-24GGC,,0.12,575.7184448242188,,,1087.207763671875,550.207763671875,"3,4",Age model from Repschlaeger et al. (2021),BACON.IntCal13,1
EW9302-24GGC,,0.13,613.0408325195312,,,1136.0296630859375,588.0296630859375,"3,4",Age model from Repschlaeger et al. (2021),BACON.IntCal13,1
EW9302-24GGC,,0.14,650.3639526367188,,,1196.8515625,624.8515625,"3,4",Age model from Repschlaeger et al. (2021),BACON.IntCal13,1
EW9302-24GGC,,0.15,687.6868896484375,,,1264.6734619140625,660.6734619140625,"3,4",Age model from Repschlaeger et al. (2021),BACON.IntCal13,1
EW9302-24GGC,,0.16,725.394775390625,,,1310.7071533203125,698.7071533203125,"3,4",Age model from Repschlaeger et al. (2021),BACON.IntCal13,1
EW9302-24GGC,,0.17,763.1228637695312,,,1347.701171875,737.701171875,"3,4",Age model from Repschlaeger et al. (2021),BACON.IntCal13,1
EW9302-24GGC,,0.18,800.85107421875,,,1392.41357421875,774.41357421875,"3,4",Age model from Repschlaeger et al. (2021),BACON.IntCal13,1
