Site,Sample Label,archival_depth (m),d13C (VPDB),d18O (VPDB),d13C_corrected (PDB),d18O_corrected (PDB),Number of shells,Minimum mesh size (um),Maximum mesh size (um),Taxon,Taxon_flag,Taxon_note1,Taxon_note2,Taxon_note3,Additional_note,Publication source,Original Reference,File Name,Data source,quality control
EW9302-24GGC,,0.005,1.154,2.797,1.154,2.797,,,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Oppo, D.W., W.B. Curry, and J.F. McManus. 2015. What do benthic d13C and d18O data tell us about Atlantic circulation during Heinrich Stadial 1?. Paleoceanography, 30. doi: 10.1002/2014PA002667",,NOAA,1
EW9302-24GGC,,0.085,1.286,2.816,1.286,2.816,,,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Oppo, D.W., W.B. Curry, and J.F. McManus. 2015. What do benthic d13C and d18O data tell us about Atlantic circulation during Heinrich Stadial 1?. Paleoceanography, 30. doi: 10.1002/2014PA002667",,NOAA,1
EW9302-24GGC,,0.165,1.278,2.889,1.278,2.889,,,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Oppo, D.W., W.B. Curry, and J.F. McManus. 2015. What do benthic d13C and d18O data tell us about Atlantic circulation during Heinrich Stadial 1?. Paleoceanography, 30. doi: 10.1002/2014PA002667",,NOAA,1
EW9302-24GGC,,0.245,1.257,2.719,1.257,2.719,,,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Oppo, D.W., W.B. Curry, and J.F. McManus. 2015. What do benthic d13C and d18O data tell us about Atlantic circulation during Heinrich Stadial 1?. Paleoceanography, 30. doi: 10.1002/2014PA002667",,NOAA,1
EW9302-24GGC,,0.325,0.871,2.698,0.871,2.698,,,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Oppo, D.W., W.B. Curry, and J.F. McManus. 2015. What do benthic d13C and d18O data tell us about Atlantic circulation during Heinrich Stadial 1?. Paleoceanography, 30. doi: 10.1002/2014PA002667",,NOAA,1
EW9302-24GGC,,0.405,0.944,2.73,0.944,2.73,,,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Oppo, D.W., W.B. Curry, and J.F. McManus. 2015. What do benthic d13C and d18O data tell us about Atlantic circulation during Heinrich Stadial 1?. Paleoceanography, 30. doi: 10.1002/2014PA002667",,NOAA,1
EW9302-24GGC,,0.485,1.435,2.671,1.435,2.671,,,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Oppo, D.W., W.B. Curry, and J.F. McManus. 2015. What do benthic d13C and d18O data tell us about Atlantic circulation during Heinrich Stadial 1?. Paleoceanography, 30. doi: 10.1002/2014PA002667",,NOAA,1
EW9302-24GGC,,0.725,0.994,2.902,0.994,2.902,,,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Oppo, D.W., W.B. Curry, and J.F. McManus. 2015. What do benthic d13C and d18O data tell us about Atlantic circulation during Heinrich Stadial 1?. Paleoceanography, 30. doi: 10.1002/2014PA002667",,NOAA,1
EW9302-24GGC,,0.805,1.264,2.887,1.264,2.887,,,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Oppo, D.W., W.B. Curry, and J.F. McManus. 2015. What do benthic d13C and d18O data tell us about Atlantic circulation during Heinrich Stadial 1?. Paleoceanography, 30. doi: 10.1002/2014PA002667",,NOAA,1
EW9302-24GGC,,0.885,1.29,2.644,1.29,2.644,,,,Cibicidoides wuellerstorfi,1,,,,,Repschlaeger et al. 2021 compilation,"Oppo, D.W., W.B. Curry, and J.F. McManus. 2015. What do benthic d13C and d18O data tell us about Atlantic circulation during Heinrich Stadial 1?. Paleoceanography, 30. doi: 10.1002/2014PA002667",,NOAA,1
