Site,Sample Label,archival_depth (m),d13C (VPDB),d18O (VPDB),d13C_corrected (PDB),d18O_corrected (PDB),Number of shells,Minimum mesh size (um),Maximum mesh size (um),Taxon,Taxon_flag,Taxon_note1,Taxon_note2,Taxon_note3,Additional_note,Publication source,Original Reference,File Name,Data source,quality control
EW9302-25GGC,,0.015,1.46049,2.68652,1.46049,2.68652,,,,Cibicidoides wuellerstorfi,1,,,,,From Mulitza et al. 2022 ESSD compilation,"Oppo, D. W., Curry, W. B., and McManus, J. F.: What do benthic d13C and d18O data tell us about Atlantic circulation during Heinrich Stadial 1?, Paleoceanography, 30, 353-368, doi:10.1002/2014PA002667, 2015.",,"NOAA, ftp://ftp.ncdc.noaa.gov/pub/data/paleo/paleocean/by_contributor/oppo2015/",1
EW9302-25GGC,,0.105,1.26357,2.68092,1.26357,2.68092,,,,Cibicidoides wuellerstorfi,1,,,,,From Mulitza et al. 2022 ESSD compilation,"Oppo, D. W., Curry, W. B., and McManus, J. F.: What do benthic d13C and d18O data tell us about Atlantic circulation during Heinrich Stadial 1?, Paleoceanography, 30, 353-368, doi:10.1002/2014PA002667, 2015.",,"NOAA, ftp://ftp.ncdc.noaa.gov/pub/data/paleo/paleocean/by_contributor/oppo2015/",1
EW9302-25GGC,,0.305,1.41857,2.72192,1.41857,2.72192,,,,Cibicidoides wuellerstorfi,1,,,,,From Mulitza et al. 2022 ESSD compilation,"Oppo, D. W., Curry, W. B., and McManus, J. F.: What do benthic d13C and d18O data tell us about Atlantic circulation during Heinrich Stadial 1?, Paleoceanography, 30, 353-368, doi:10.1002/2014PA002667, 2015.",,"NOAA, ftp://ftp.ncdc.noaa.gov/pub/data/paleo/paleocean/by_contributor/oppo2015/",1
EW9302-25GGC,,0.405,1.36149,2.69652,1.36149,2.69652,,,,Cibicidoides wuellerstorfi,1,,,,,From Mulitza et al. 2022 ESSD compilation,"Oppo, D. W., Curry, W. B., and McManus, J. F.: What do benthic d13C and d18O data tell us about Atlantic circulation during Heinrich Stadial 1?, Paleoceanography, 30, 353-368, doi:10.1002/2014PA002667, 2015.",,"NOAA, ftp://ftp.ncdc.noaa.gov/pub/data/paleo/paleocean/by_contributor/oppo2015/",1
EW9302-25GGC,,0.605,1.30557,2.86392,1.30557,2.86392,,,,Cibicidoides wuellerstorfi,1,,,,,From Mulitza et al. 2022 ESSD compilation,"Oppo, D. W., Curry, W. B., and McManus, J. F.: What do benthic d13C and d18O data tell us about Atlantic circulation during Heinrich Stadial 1?, Paleoceanography, 30, 353-368, doi:10.1002/2014PA002667, 2015.",,"NOAA, ftp://ftp.ncdc.noaa.gov/pub/data/paleo/paleocean/by_contributor/oppo2015/",1
EW9302-25GGC,,0.705,1.36549,2.79052,1.36549,2.79052,,,,Cibicidoides wuellerstorfi,1,,,,,From Mulitza et al. 2022 ESSD compilation,"Oppo, D. W., Curry, W. B., and McManus, J. F.: What do benthic d13C and d18O data tell us about Atlantic circulation during Heinrich Stadial 1?, Paleoceanography, 30, 353-368, doi:10.1002/2014PA002667, 2015.",,"NOAA, ftp://ftp.ncdc.noaa.gov/pub/data/paleo/paleocean/by_contributor/oppo2015/",1
EW9302-25GGC,,1.005,0.735493,3.03952,0.735493,3.03952,,,,Cibicidoides wuellerstorfi,1,,,,,From Mulitza et al. 2022 ESSD compilation,"Oppo, D. W., Curry, W. B., and McManus, J. F.: What do benthic d13C and d18O data tell us about Atlantic circulation during Heinrich Stadial 1?, Paleoceanography, 30, 353-368, doi:10.1002/2014PA002667, 2015.",,"NOAA, ftp://ftp.ncdc.noaa.gov/pub/data/paleo/paleocean/by_contributor/oppo2015/",1
EW9302-25GGC,,1.055,0.699428,2.97368,0.699428,2.97368,,,,Cibicidoides wuellerstorfi,1,,,,,From Mulitza et al. 2022 ESSD compilation,"Oppo, D. W., Curry, W. B., and McManus, J. F.: What do benthic d13C and d18O data tell us about Atlantic circulation during Heinrich Stadial 1?, Paleoceanography, 30, 353-368, doi:10.1002/2014PA002667, 2015.",,"NOAA, ftp://ftp.ncdc.noaa.gov/pub/data/paleo/paleocean/by_contributor/oppo2015/",1
EW9302-25GGC,,1.075,0.816428,3.14768,0.816428,3.14768,,,,Cibicidoides wuellerstorfi,1,,,,,From Mulitza et al. 2022 ESSD compilation,"Oppo, D. W., Curry, W. B., and McManus, J. F.: What do benthic d13C and d18O data tell us about Atlantic circulation during Heinrich Stadial 1?, Paleoceanography, 30, 353-368, doi:10.1002/2014PA002667, 2015.",,"NOAA, ftp://ftp.ncdc.noaa.gov/pub/data/paleo/paleocean/by_contributor/oppo2015/",1
EW9302-25GGC,,1.105,0.827566,3.05092,0.827566,3.05092,,,,Cibicidoides wuellerstorfi,1,,,,,From Mulitza et al. 2022 ESSD compilation,"Oppo, D. W., Curry, W. B., and McManus, J. F.: What do benthic d13C and d18O data tell us about Atlantic circulation during Heinrich Stadial 1?, Paleoceanography, 30, 353-368, doi:10.1002/2014PA002667, 2015.",,"NOAA, ftp://ftp.ncdc.noaa.gov/pub/data/paleo/paleocean/by_contributor/oppo2015/",1
EW9302-25GGC,,1.135,0.670997,3.04742,0.670997,3.04742,,,,Cibicidoides wuellerstorfi,1,,,,,From Mulitza et al. 2022 ESSD compilation,"Oppo, D. W., Curry, W. B., and McManus, J. F.: What do benthic d13C and d18O data tell us about Atlantic circulation during Heinrich Stadial 1?, Paleoceanography, 30, 353-368, doi:10.1002/2014PA002667, 2015.",,"NOAA, ftp://ftp.ncdc.noaa.gov/pub/data/paleo/paleocean/by_contributor/oppo2015/",1
EW9302-25GGC,,1.155,0.507997,3.13042,0.507997,3.13042,,,,Cibicidoides wuellerstorfi,1,,,,,From Mulitza et al. 2022 ESSD compilation,"Oppo, D. W., Curry, W. B., and McManus, J. F.: What do benthic d13C and d18O data tell us about Atlantic circulation during Heinrich Stadial 1?, Paleoceanography, 30, 353-368, doi:10.1002/2014PA002667, 2015.",,"NOAA, ftp://ftp.ncdc.noaa.gov/pub/data/paleo/paleocean/by_contributor/oppo2015/",1
EW9302-25GGC,,1.185,0.787428,3.05568,0.787428,3.05568,,,,Cibicidoides wuellerstorfi,1,,,,,From Mulitza et al. 2022 ESSD compilation,"Oppo, D. W., Curry, W. B., and McManus, J. F.: What do benthic d13C and d18O data tell us about Atlantic circulation during Heinrich Stadial 1?, Paleoceanography, 30, 353-368, doi:10.1002/2014PA002667, 2015.",,"NOAA, ftp://ftp.ncdc.noaa.gov/pub/data/paleo/paleocean/by_contributor/oppo2015/",1
EW9302-25GGC,,1.235,1.15643,3.69468,1.15643,3.69468,,,,Cibicidoides wuellerstorfi,1,,,,,From Mulitza et al. 2022 ESSD compilation,"Oppo, D. W., Curry, W. B., and McManus, J. F.: What do benthic d13C and d18O data tell us about Atlantic circulation during Heinrich Stadial 1?, Paleoceanography, 30, 353-368, doi:10.1002/2014PA002667, 2015.",,"NOAA, ftp://ftp.ncdc.noaa.gov/pub/data/paleo/paleocean/by_contributor/oppo2015/",1
EW9302-25GGC,,1.305,0.502493,3.41352,0.502493,3.41352,,,,Cibicidoides wuellerstorfi,1,,,,,From Mulitza et al. 2022 ESSD compilation,"Oppo, D. W., Curry, W. B., and McManus, J. F.: What do benthic d13C and d18O data tell us about Atlantic circulation during Heinrich Stadial 1?, Paleoceanography, 30, 353-368, doi:10.1002/2014PA002667, 2015.",,"NOAA, ftp://ftp.ncdc.noaa.gov/pub/data/paleo/paleocean/by_contributor/oppo2015/",1
EW9302-25GGC,,1.375,0.644997,3.24542,0.644997,3.24542,,,,Cibicidoides wuellerstorfi,1,,,,,From Mulitza et al. 2022 ESSD compilation,"Oppo, D. W., Curry, W. B., and McManus, J. F.: What do benthic d13C and d18O data tell us about Atlantic circulation during Heinrich Stadial 1?, Paleoceanography, 30, 353-368, doi:10.1002/2014PA002667, 2015.",,"NOAA, ftp://ftp.ncdc.noaa.gov/pub/data/paleo/paleocean/by_contributor/oppo2015/",1
EW9302-25GGC,,1.405,0.406493,3.39352,0.406493,3.39352,,,,Cibicidoides wuellerstorfi,1,,,,,From Mulitza et al. 2022 ESSD compilation,"Oppo, D. W., Curry, W. B., and McManus, J. F.: What do benthic d13C and d18O data tell us about Atlantic circulation during Heinrich Stadial 1?, Paleoceanography, 30, 353-368, doi:10.1002/2014PA002667, 2015.",,"NOAA, ftp://ftp.ncdc.noaa.gov/pub/data/paleo/paleocean/by_contributor/oppo2015/",1
EW9302-25GGC,,1.435,0.223997,3.40042,0.223997,3.40042,,,,Cibicidoides wuellerstorfi,1,,,,,From Mulitza et al. 2022 ESSD compilation,"Oppo, D. W., Curry, W. B., and McManus, J. F.: What do benthic d13C and d18O data tell us about Atlantic circulation during Heinrich Stadial 1?, Paleoceanography, 30, 353-368, doi:10.1002/2014PA002667, 2015.",,"NOAA, ftp://ftp.ncdc.noaa.gov/pub/data/paleo/paleocean/by_contributor/oppo2015/",1
EW9302-25GGC,,1.475,0.439428,3.37168,0.439428,3.37168,,,,Cibicidoides wuellerstorfi,1,,,,,From Mulitza et al. 2022 ESSD compilation,"Oppo, D. W., Curry, W. B., and McManus, J. F.: What do benthic d13C and d18O data tell us about Atlantic circulation during Heinrich Stadial 1?, Paleoceanography, 30, 353-368, doi:10.1002/2014PA002667, 2015.",,"NOAA, ftp://ftp.ncdc.noaa.gov/pub/data/paleo/paleocean/by_contributor/oppo2015/",1
