Site,Sample Label,age_model_depth (m),age_model (y BP),age_model_sigma_plus(y BP),age_model_sigma_minus(y BP),upper_97.5_percent(y BP),lower_97.5_percent(y BP),age_flag,age_model_note,age_model_collection,quality control
EW9302-26GGC,,0.005,150.7924346923828,,,297.12298583984375,-79.87699890136719,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
EW9302-26GGC,,0.015,253.8777618408203,,,512.5946655273438,-14.405349731445312,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
EW9302-26GGC,,0.025,356.9627685546875,,,802.7662963867188,32.76629638671875,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
EW9302-26GGC,,0.035,460.0480041503906,,,1090.93798828125,51.937957763671875,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
EW9302-26GGC,,0.045,563.1334838867188,,,1393.109619140625,70.10960388183594,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
EW9302-26GGC,,0.055,666.2186279296875,,,1701.28125,89.28125,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
EW9302-26GGC,,0.065,774.06201171875,,,1829.2122802734375,158.21231079101562,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
EW9302-26GGC,,0.075,881.90478515625,,,2004.39306640625,192.3931427001953,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
EW9302-26GGC,,0.085,989.7486572265625,,,2224.573974609375,229.57395935058594,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
EW9302-26GGC,,0.095,1097.592529296875,,,2490.7548828125,260.7547607421875,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
EW9302-26GGC,,0.105,1205.4356689453125,,,2786.935546875,280.93560791015625,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
EW9302-26GGC,,0.115,1318.6390380859375,,,2795.431640625,390.43170166015625,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
EW9302-26GGC,,0.125,1431.8438720703125,,,2877.927734375,488.92779541015625,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
EW9302-26GGC,,0.135,1545.0478515625,,,3006.423828125,529.4238891601562,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
EW9302-26GGC,,0.145,1658.25244140625,,,3149.919921875,578.9200439453125,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
EW9302-26GGC,,0.155,1771.4573974609375,,,3317.416015625,626.4161376953125,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
EW9302-26GGC,,0.165,1870.4725341796875,,,3415.751953125,763.7518310546875,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
EW9302-26GGC,,0.17500000000000002,1969.4886474609375,,,3498.023681640625,823.0236206054688,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
EW9302-26GGC,,0.185,2068.503662109375,,,3612.29541015625,889.29541015625,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
EW9302-26GGC,,0.195,2167.521484375,,,3737.567138671875,924.567138671875,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
EW9302-26GGC,,0.20500000000000002,2266.537109375,,,3864.8388671875,966.8389282226562,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
EW9302-26GGC,,0.215,2360.248291015625,,,3909.0986328125,1071.0986328125,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
EW9302-26GGC,,0.225,2453.962890625,,,3957.3583984375,1164.3583984375,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
EW9302-26GGC,,0.23500000000000001,2547.67333984375,,,3992.6181640625,1234.6180419921875,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
EW9302-26GGC,,0.245,2641.38720703125,,,4063.877685546875,1311.877685546875,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
EW9302-26GGC,,0.255,2735.09716796875,,,4140.65380859375,1346.65380859375,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
EW9302-26GGC,,0.265,2827.309814453125,,,4192.720703125,1440.7205810546875,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
EW9302-26GGC,,0.275,2919.524169921875,,,4259.671875,1521.672119140625,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
EW9302-26GGC,,0.28500000000000003,3011.739013671875,,,4342.73583984375,1600.7357177734375,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
EW9302-26GGC,,0.295,3103.949462890625,,,4405.54248046875,1709.5423583984375,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
EW9302-26GGC,,0.305,3196.1611328125,,,4479.3486328125,1770.348876953125,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
EW9302-26GGC,,0.315,3303.406982421875,,,4531.5146484375,1935.514892578125,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
EW9302-26GGC,,0.325,3410.65380859375,,,4626.455078125,2119.455078125,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
EW9302-26GGC,,0.335,3517.90234375,,,4714.5576171875,2301.557861328125,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
EW9302-26GGC,,0.34500000000000003,3625.1455078125,,,4834.6611328125,2410.660888671875,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
EW9302-26GGC,,0.355,3732.39013671875,,,4952.763671875,2517.763916015625,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
EW9302-26GGC,,0.365,3837.854736328125,,,5012.81591796875,2672.81591796875,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
