Site,Sample_label,hole_label,section_label,published_archival_depth (m),current_depth_model (m),current_depth_model_note,ODP SAMPLE Inventory:: DEPTH(mid) (m),ODP SAMPLE Inventory:: MBSF(mid) (m),ODP SAMPLE Inventory:: MCD(mid) (m),ODP SAMPLE Inventory:: CCSF(mid) (m),depth_model_1 (m),depth_model_note_1,older_depth_model_2 (m)
EW9302-26GGC,,,,0.005,0.005,,,,,,0.005,,
EW9302-26GGC,,,,0.105,0.105,,,,,,0.105,,
EW9302-26GGC,,,,0.205,0.205,,,,,,0.205,,
EW9302-26GGC,,,,0.305,0.305,,,,,,0.305,,
EW9302-26GGC,,,,0.405,0.405,,,,,,0.405,,
EW9302-26GGC,,,,0.505,0.505,,,,,,0.505,,
EW9302-26GGC,,,,0.605,0.605,,,,,,0.605,,
EW9302-26GGC,,,,0.905,0.905,,,,,,0.905,,
EW9302-26GGC,,,,1.105,1.105,,,,,,1.105,,
EW9302-26GGC,,,,1.135,1.135,,,,,,1.135,,
EW9302-26GGC,,,,1.205,1.205,,,,,,1.205,,
EW9302-26GGC,,,,1.235,1.235,,,,,,1.235,,
EW9302-26GGC,,,,1.285,1.285,,,,,,1.285,,
EW9302-26GGC,,,,1.305,1.305,,,,,,1.305,,
EW9302-26GGC,,,,1.325,1.325,,,,,,1.325,,
EW9302-26GGC,,,,1.415,1.415,,,,,,1.415,,
EW9302-26GGC,,,,1.445,1.445,,,,,,1.445,,
EW9302-26GGC,,,,1.465,1.465,,,,,,1.465,,
EW9302-26GGC,,,,1.505,1.505,,,,,,1.505,,
EW9302-26GGC,,,,1.655,1.655,,,,,,1.655,,
EW9302-26GGC,,,,1.705,1.705,,,,,,1.705,,
EW9302-26GGC,,,,1.755,1.755,,,,,,1.755,,
EW9302-26GGC,,,,1.805,1.805,,,,,,1.805,,
EW9302-26GGC,,,,1.855,1.855,,,,,,1.855,,
EW9302-26GGC,,,,1.905,1.905,,,,,,1.905,,
EW9302-26GGC,,,,1.955,1.955,,,,,,1.955,,
EW9302-26GGC,,,,2.005,2.005,,,,,,2.005,,
EW9302-26GGC,,,,2.055,2.055,,,,,,2.055,,
EW9302-26GGC,,,,2.105,2.105,,,,,,2.105,,
EW9302-26GGC,,,,2.205,2.205,,,,,,2.205,,
EW9302-26GGC,,,,2.355,2.355,,,,,,2.355,,
EW9302-26GGC,,,,2.405,2.405,,,,,,2.405,,
EW9302-26GGC,,,,2.505,2.505,,,,,,2.505,,
EW9302-26GGC,,,,2.605,2.605,,,,,,2.605,,
EW9302-26GGC,,,,2.655,2.655,,,,,,2.655,,
EW9302-26GGC,,,,2.805,2.805,,,,,,2.805,,
EW9302-26GGC,,,,2.855,2.855,,,,,,2.855,,
EW9302-26GGC,,,,2.905,2.905,,,,,,2.905,,
EW9302-26GGC,,,,2.955,2.955,,,,,,2.955,,
EW9302-26GGC,,,,3.005,3.005,,,,,,3.005,,
EW9302-26GGC,,,,3.105,3.105,,,,,,3.105,,
EW9302-26GGC,,,,3.305,3.305,,,,,,3.305,,
EW9302-26GGC,,,,3.505,3.505,,,,,,3.505,,
