Site,Sample Label,archival_depth (m),d13C (VPDB),d18O (VPDB),d13C_corrected (PDB),d18O_corrected (PDB),Number of shells,Minimum mesh size (um),Maximum mesh size (um),Taxon,Taxon_flag,Taxon_note1,Taxon_note2,Taxon_note3,Additional_note,Publication source,Original Reference,File Name,Data source,quality control
EW9504-13PC,,0.11,-1.06,4.41,,,,,,Uvigerina,5,,,,,Mix et al. 1999,,,,1
EW9504-13PC,,0.21,-0.91,4.67,,,,,,Uvigerina,5,,,,,Mix et al. 1999,,,,1
EW9504-13PC,,0.24,-0.95,4.63,,,,,,Uvigerina,5,,,,,Mix et al. 1999,,,,1
EW9504-13PC,,0.27,-0.9,4.77,,,,,,Uvigerina,5,,,,,Mix et al. 1999,,,,1
EW9504-13PC,,0.3,-1.07,4.77,,,,,,Uvigerina,5,,,,,Mix et al. 1999,,,,1
EW9504-13PC,,0.34,-1.01,4.77,,,,,,Uvigerina,5,,,,,Mix et al. 1999,,,,1
EW9504-13PC,,0.37,-0.97,4.9,,,,,,Uvigerina,5,,,,,Mix et al. 1999,,,,1
EW9504-13PC,,0.43,-0.88,4.86,,,,,,Uvigerina,5,,,,,Mix et al. 1999,,,,1
EW9504-13PC,,0.44,-0.99,4.88,,,,,,Uvigerina,5,,,,,Mix et al. 1999,,,,1
EW9504-13PC,,0.46,-0.98,5.02,,,,,,Uvigerina,5,,,,,Mix et al. 1999,,,,1
EW9504-13PC,,0.54,-0.95,5.03,,,,,,Uvigerina,5,,,,,Mix et al. 1999,,,,1
EW9504-13PC,,0.5700000000000001,-0.86,5.11,,,,,,Uvigerina,5,,,,,Mix et al. 1999,,,,1
EW9504-13PC,,0.64,-1.09,5.07,,,,,,Uvigerina,5,,,,,Mix et al. 1999,,,,1
EW9504-13PC,,0.67,-1.06,5.14,,,,,,Uvigerina,5,,,,,Mix et al. 1999,,,,1
EW9504-13PC,,0.6900000000000001,-1.03,5.09,,,,,,Uvigerina,5,,,,,Mix et al. 1999,,,,1
EW9504-13PC,,0.71,-1.04,5.06,,,,,,Uvigerina,5,,,,,Mix et al. 1999,,,,1
EW9504-13PC,,0.8,-1.1,5.04,,,,,,Uvigerina,5,,,,,Mix et al. 1999,,,,1
EW9504-13PC,,0.93,-1.05,5.12,,,,,,Uvigerina,5,,,,,Mix et al. 1999,,,,1
EW9504-13PC,,0.93,-1.04,4.95,,,,,,Uvigerina,5,,,,,Mix et al. 1999,,,,1
EW9504-13PC,,0.97,-0.98,5.12,,,,,,Uvigerina,5,,,,,Mix et al. 1999,,,,1
EW9504-13PC,,1.01,-1.15,5.17,,,,,,Uvigerina,5,,,,,Mix et al. 1999,,,,1
EW9504-13PC,,1.04,-1.07,5.15,,,,,,Uvigerina,5,,,,,Mix et al. 1999,,,,1
EW9504-13PC,,1.07,-1.09,5.07,,,,,,Uvigerina,5,,,,,Mix et al. 1999,,,,1
EW9504-13PC,,1.1,-1.08,5.05,,,,,,Uvigerina,5,,,,,Mix et al. 1999,,,,1
EW9504-13PC,,1.1400000000000001,-1.18,5.02,,,,,,Uvigerina,5,,,,,Mix et al. 1999,,,,1
EW9504-13PC,,1.17,-1.2,5.04,,,,,,Uvigerina,5,,,,,Mix et al. 1999,,,,1
EW9504-13PC,,1.21,-1.07,5.08,,,,,,Uvigerina,5,,,,,Mix et al. 1999,,,,1
EW9504-13PC,,1.21,-1.19,5.09,,,,,,Uvigerina,5,,,,,Mix et al. 1999,,,,1
EW9504-13PC,,1.24,-1.06,5.02,,,,,,Uvigerina,5,,,,,Mix et al. 1999,,,,1
EW9504-13PC,,1.27,-1.12,4.94,,,,,,Uvigerina,5,,,,,Mix et al. 1999,,,,1
EW9504-13PC,,1.31,-1.2,5.08,,,,,,Uvigerina,5,,,,,Mix et al. 1999,,,,1
EW9504-13PC,,1.34,-1.11,4.93,,,,,,Uvigerina,5,,,,,Mix et al. 1999,,,,1
EW9504-13PC,,1.37,-1.13,5.07,,,,,,Uvigerina,5,,,,,Mix et al. 1999,,,,1
EW9504-13PC,,1.3900000000000001,-1.08,5.1,,,,,,Uvigerina,5,,,,,Mix et al. 1999,,,,1
EW9504-13PC,,1.44,-1.18,5.07,,,,,,Uvigerina,5,,,,,Mix et al. 1999,,,,1
EW9504-13PC,,1.47,-1.1,5.04,,,,,,Uvigerina,5,,,,,Mix et al. 1999,,,,1
EW9504-13PC,,1.54,-1.15,4.92,,,,,,Uvigerina,5,,,,,Mix et al. 1999,,,,1
EW9504-13PC,,1.54,-1.09,5.09,,,,,,Uvigerina,5,,,,,Mix et al. 1999,,,,1
EW9504-13PC,,1.57,-1.18,5.05,,,,,,Uvigerina,5,,,,,Mix et al. 1999,,,,1
EW9504-13PC,,1.61,-1.2,5.01,,,,,,Uvigerina,5,,,,,Mix et al. 1999,,,,1
EW9504-13PC,,1.6400000000000001,-1.04,5.0,,,,,,Uvigerina,5,,,,,Mix et al. 1999,,,,1
EW9504-13PC,,1.74,-0.82,4.9,,,,,,Uvigerina,5,,,,,Mix et al. 1999,,,,1
EW9504-13PC,,1.76,-1.11,5.03,,,,,,Uvigerina,5,,,,,Mix et al. 1999,,,,1
EW9504-13PC,,1.76,-1.13,4.99,,,,,,Uvigerina,5,,,,,Mix et al. 1999,,,,1
EW9504-13PC,,1.77,-1.04,4.96,,,,,,Uvigerina,5,,,,,Mix et al. 1999,,,,1
EW9504-13PC,,1.84,-1.07,5.07,,,,,,Uvigerina,5,,,,,Mix et al. 1999,,,,1
EW9504-13PC,,1.87,-1.11,5.07,,,,,,Uvigerina,5,,,,,Mix et al. 1999,,,,1
EW9504-13PC,,1.9100000000000001,-1.16,4.91,,,,,,Uvigerina,5,,,,,Mix et al. 1999,,,,1
EW9504-13PC,,1.9100000000000001,-1.11,5.06,,,,,,Uvigerina,5,,,,,Mix et al. 1999,,,,1
EW9504-13PC,,1.94,-0.98,5.08,,,,,,Uvigerina,5,,,,,Mix et al. 1999,,,,1
EW9504-13PC,,1.97,-0.93,5.26,,,,,,Uvigerina,5,,,,,Mix et al. 1999,,,,1
EW9504-13PC,,2.0100000000000002,-1.08,4.97,,,,,,Uvigerina,5,,,,,Mix et al. 1999,,,,1
