Site,Sample_label,hole_label,section_label,published_archival_depth (m),current_depth_model (m),current_depth_model_note,ODP SAMPLE Inventory:: DEPTH(mid) (m),ODP SAMPLE Inventory:: MBSF(mid) (m),ODP SAMPLE Inventory:: MCD(mid) (m),ODP SAMPLE Inventory:: CCSF(mid) (m),depth_model_1 (m),depth_model_note_1,older_depth_model_2 (m)
EW9504-13TC,,,,0.04,0.04,,,,,,0.04,depth model associated with Uvigerina data,
EW9504-13TC,,,,0.07,0.07,,,,,,0.07,depth model associated with Uvigerina data,
EW9504-13TC,,,,0.14,0.14,,,,,,0.14,depth model associated with Uvigerina data,
EW9504-13TC,,,,0.17,0.17,,,,,,0.17,depth model associated with Uvigerina data,
EW9504-13TC,,,,0.24,0.24,,,,,,0.24,depth model associated with Uvigerina data,
EW9504-13TC,,,,0.27,0.27,,,,,,0.27,depth model associated with Uvigerina data,
EW9504-13TC,,,,0.34,0.34,,,,,,0.34,depth model associated with Uvigerina data,
EW9504-13TC,,,,0.37,0.37,,,,,,0.37,depth model associated with Uvigerina data,
EW9504-13TC,,,,0.44,0.44,,,,,,0.44,depth model associated with Uvigerina data,
EW9504-13TC,,,,0.47000000000000003,0.47000000000000003,,,,,,0.47000000000000003,depth model associated with Uvigerina data,
EW9504-13TC,,,,0.51,0.51,,,,,,0.51,depth model associated with Uvigerina data,
EW9504-13TC,,,,0.54,0.54,,,,,,0.54,depth model associated with Uvigerina data,
EW9504-13TC,,,,0.5700000000000001,0.5700000000000001,,,,,,0.5700000000000001,depth model associated with Uvigerina data,
EW9504-13TC,,,,0.61,0.61,,,,,,0.61,depth model associated with Uvigerina data,
EW9504-13TC,,,,0.64,0.64,,,,,,0.64,depth model associated with Uvigerina data,
EW9504-13TC,,,,0.67,0.67,,,,,,0.67,depth model associated with Uvigerina data,
EW9504-13TC,,,,0.71,0.71,,,,,,0.71,depth model associated with Uvigerina data,
EW9504-13TC,,,,0.74,0.74,,,,,,0.74,depth model associated with Uvigerina data,
EW9504-13TC,,,,0.77,0.77,,,,,,0.77,depth model associated with Uvigerina data,
EW9504-13TC,,,,0.81,0.81,,,,,,0.81,depth model associated with Uvigerina data,
EW9504-13TC,,,,0.84,0.84,,,,,,0.84,depth model associated with Uvigerina data,
EW9504-13TC,,,,0.87,0.87,,,,,,0.87,depth model associated with Uvigerina data,
EW9504-13TC,,,,0.9400000000000001,0.9400000000000001,,,,,,0.9400000000000001,depth model associated with Uvigerina data,
EW9504-13TC,,,,0.97,0.97,,,,,,0.97,depth model associated with Uvigerina data,
EW9504-13TC,,,,1.01,1.01,,,,,,1.01,depth model associated with Uvigerina data,
EW9504-13TC,,,,1.04,1.04,,,,,,1.04,depth model associated with Uvigerina data,
EW9504-13TC,,,,1.07,1.07,,,,,,1.07,depth model associated with Uvigerina data,
EW9504-13TC,,,,1.1500000000000001,1.1500000000000001,,,,,,1.1500000000000001,depth model associated with Uvigerina data,
EW9504-13TC,,,,1.24,1.24,,,,,,1.24,depth model associated with Uvigerina data,
EW9504-13TC,,,,1.27,1.27,,,,,,1.27,depth model associated with Uvigerina data,
EW9504-13TC,,,,1.31,1.31,,,,,,1.31,depth model associated with Uvigerina data,
EW9504-13TC,,,,1.34,1.34,,,,,,1.34,depth model associated with Uvigerina data,
EW9504-13TC,,,,1.37,1.37,,,,,,1.37,depth model associated with Uvigerina data,
EW9504-13TC,,,,1.41,1.41,,,,,,1.41,depth model associated with Uvigerina data,
EW9504-13TC,,,,1.44,1.44,,,,,,1.44,depth model associated with Uvigerina data,
EW9504-13TC,,,,1.47,1.47,,,,,,1.47,depth model associated with Uvigerina data,
EW9504-13TC,,,,1.51,1.51,,,,,,1.51,depth model associated with Uvigerina data,
EW9504-13TC,,,,1.54,1.54,,,,,,1.54,depth model associated with Uvigerina data,
EW9504-13TC,,,,1.61,1.61,,,,,,1.61,depth model associated with Uvigerina data,
EW9504-13TC,,,,1.6400000000000001,1.6400000000000001,,,,,,1.6400000000000001,depth model associated with Uvigerina data,
EW9504-13TC,,,,1.67,1.67,,,,,,1.67,depth model associated with Uvigerina data,
EW9504-13TC,,,,1.71,1.71,,,,,,1.71,depth model associated with Uvigerina data,
EW9504-13TC,,,,1.74,1.74,,,,,,1.74,depth model associated with Uvigerina data,
