Site,Sample Label,age_model_depth (m),age_model (y BP),age_model_sigma_plus(y BP),age_model_sigma_minus(y BP),upper_95_percent(y BP),lower_95_percent(y BP),age_flag,age_model_note,age_model_collection,quality control
EW9504-14PC,,0.044653465347,3747.2527473,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW9504-14PC,,0.055544554455,4956.043956,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW9504-14PC,,0.077326732673,7373.6263736,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW9504-14PC,,0.08821782178200001,8582.4175824,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW9504-14PC,,0.099108910891,9791.2087912,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW9504-14PC,,0.11,11000.0,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW9504-14PC,,0.11800000000000001,12000.0,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW9504-14PC,,0.122,12500.0,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW9504-14PC,,0.126,13000.0,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW9504-14PC,,0.138,14500.0,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW9504-14PC,,0.142,15000.0,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW9504-14PC,,0.146,15500.0,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW9504-14PC,,0.15,16000.0,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW9504-14PC,,0.158,17000.0,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW9504-14PC,,0.162,17500.0,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW9504-14PC,,0.166,18000.0,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW9504-14PC,,0.17,18500.0,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW9504-14PC,,0.17800000000000002,19500.0,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW9504-14PC,,0.182,20000.0,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW9504-14PC,,0.18600000000000003,20500.0,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW9504-14PC,,0.19,21000.0,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW9504-14PC,,0.196,21750.0,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW9504-14PC,,0.2,22250.0,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW9504-14PC,,0.204,22750.0,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW9504-14PC,,0.20600000000000002,23000.0,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW9504-14PC,,0.21,23500.0,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW9504-14PC,,0.218,24500.0,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW9504-14PC,,0.222,25000.0,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW9504-14PC,,0.22719999999999999,25650.0,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW9504-14PC,,0.23,26000.0,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW9504-14PC,,0.23800000000000002,27000.0,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW9504-14PC,,0.242,27500.0,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW9504-14PC,,0.24600000000000002,28000.0,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW9504-14PC,,0.3104,36050.0,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW9504-14PC,,0.318,37000.0,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW9504-14PC,,0.322,37500.0,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW9504-14PC,,0.326,38000.0,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW9504-14PC,,0.33,38500.0,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW9504-14PC,,0.33799999999999997,39500.0,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
