Site,Sample_label,hole_label,section_label,published_archival_depth (m),current_depth_model (m),current_depth_model_note,ODP SAMPLE Inventory:: DEPTH(mid) (m),ODP SAMPLE Inventory:: MBSF(mid) (m),ODP SAMPLE Inventory:: MCD(mid) (m),ODP SAMPLE Inventory:: CCSF(mid) (m),depth_model_1 (m),depth_model_note_1,older_depth_model_2 (m)
EW9504-14PC,,,,0.31,0.31,,,,,,0.31,depth model associated with Cibicidoides data,
EW9504-14PC,,,,0.41000000000000003,0.41000000000000003,,,,,,0.41000000000000003,depth model associated with Cibicidoides data,
EW9504-14PC,,,,0.61,0.61,,,,,,0.61,depth model associated with Cibicidoides data,
EW9504-14PC,,,,0.71,0.71,,,,,,0.71,depth model associated with Cibicidoides data,
EW9504-14PC,,,,0.81,0.81,,,,,,0.81,depth model associated with Cibicidoides data,
EW9504-14PC,,,,0.91,0.91,,,,,,0.91,depth model associated with Cibicidoides data,
EW9504-14PC,,,,1.11,1.11,,,,,,1.11,depth model associated with Cibicidoides data,
EW9504-14PC,,,,1.31,1.31,,,,,,1.31,depth model associated with Cibicidoides data,
EW9504-14PC,,,,1.41,1.41,,,,,,1.41,depth model associated with Cibicidoides data,
EW9504-14PC,,,,1.61,1.61,,,,,,1.61,depth model associated with Cibicidoides data,
EW9504-14PC,,,,1.71,1.71,,,,,,1.71,depth model associated with Cibicidoides data,
EW9504-14PC,,,,1.81,1.81,,,,,,1.81,depth model associated with Cibicidoides data,
EW9504-14PC,,,,1.9100000000000001,1.9100000000000001,,,,,,1.9100000000000001,depth model associated with Cibicidoides data,
EW9504-14PC,,,,2.21,2.21,,,,,,2.21,depth model associated with Cibicidoides data,
EW9504-14PC,,,,2.91,2.91,,,,,,2.91,depth model associated with Cibicidoides data,
EW9504-14PC,,,,3.16,3.16,,,,,,3.16,depth model associated with Cibicidoides data,
EW9504-14PC,,,,3.41,3.41,,,,,,3.41,depth model associated with Cibicidoides data,
EW9504-14PC,,,,3.71,3.71,,,,,,3.71,depth model associated with Cibicidoides data,
EW9504-14PC,,,,3.84,3.84,,,,,,3.84,depth model associated with Cibicidoides data,
EW9504-14PC,,,,4.11,4.11,,,,,,4.11,depth model associated with Cibicidoides data,
EW9504-14PC,,,,4.21,4.21,,,,,,4.21,depth model associated with Cibicidoides data,
