Site,Sample_label,hole_label,section_label,published_archival_depth (m),current_depth_model (m),current_depth_model_note,ODP SAMPLE Inventory:: DEPTH(mid) (m),ODP SAMPLE Inventory:: MBSF(mid) (m),ODP SAMPLE Inventory:: MCD(mid) (m),ODP SAMPLE Inventory:: CCSF(mid) (m),depth_model_1 (m),depth_model_note_1,older_depth_model_2 (m)
EW9504-14PC,,,,0.044653465347,0.044653465347,,,,,,0.044653465347,depth model associated with Uvigerina data,
EW9504-14PC,,,,0.055544554455,0.055544554455,,,,,,0.055544554455,depth model associated with Uvigerina data,
EW9504-14PC,,,,0.077326732673,0.077326732673,,,,,,0.077326732673,depth model associated with Uvigerina data,
EW9504-14PC,,,,0.08821782178200001,0.08821782178200001,,,,,,0.08821782178200001,depth model associated with Uvigerina data,
EW9504-14PC,,,,0.099108910891,0.099108910891,,,,,,0.099108910891,depth model associated with Uvigerina data,
EW9504-14PC,,,,0.11,0.11,,,,,,0.11,depth model associated with Uvigerina data,
EW9504-14PC,,,,0.11800000000000001,0.11800000000000001,,,,,,0.11800000000000001,depth model associated with Uvigerina data,
EW9504-14PC,,,,0.122,0.122,,,,,,0.122,depth model associated with Uvigerina data,
EW9504-14PC,,,,0.126,0.126,,,,,,0.126,depth model associated with Uvigerina data,
EW9504-14PC,,,,0.138,0.138,,,,,,0.138,depth model associated with Uvigerina data,
EW9504-14PC,,,,0.142,0.142,,,,,,0.142,depth model associated with Uvigerina data,
EW9504-14PC,,,,0.146,0.146,,,,,,0.146,depth model associated with Uvigerina data,
EW9504-14PC,,,,0.15,0.15,,,,,,0.15,depth model associated with Uvigerina data,
EW9504-14PC,,,,0.158,0.158,,,,,,0.158,depth model associated with Uvigerina data,
EW9504-14PC,,,,0.162,0.162,,,,,,0.162,depth model associated with Uvigerina data,
EW9504-14PC,,,,0.166,0.166,,,,,,0.166,depth model associated with Uvigerina data,
EW9504-14PC,,,,0.17,0.17,,,,,,0.17,depth model associated with Uvigerina data,
EW9504-14PC,,,,0.17800000000000002,0.17800000000000002,,,,,,0.17800000000000002,depth model associated with Uvigerina data,
EW9504-14PC,,,,0.182,0.182,,,,,,0.182,depth model associated with Uvigerina data,
EW9504-14PC,,,,0.18600000000000003,0.18600000000000003,,,,,,0.18600000000000003,depth model associated with Uvigerina data,
EW9504-14PC,,,,0.19,0.19,,,,,,0.19,depth model associated with Uvigerina data,
EW9504-14PC,,,,0.196,0.196,,,,,,0.196,depth model associated with Uvigerina data,
EW9504-14PC,,,,0.2,0.2,,,,,,0.2,depth model associated with Uvigerina data,
EW9504-14PC,,,,0.204,0.204,,,,,,0.204,depth model associated with Uvigerina data,
EW9504-14PC,,,,0.20600000000000002,0.20600000000000002,,,,,,0.20600000000000002,depth model associated with Uvigerina data,
EW9504-14PC,,,,0.21,0.21,,,,,,0.21,depth model associated with Uvigerina data,
EW9504-14PC,,,,0.218,0.218,,,,,,0.218,depth model associated with Uvigerina data,
EW9504-14PC,,,,0.222,0.222,,,,,,0.222,depth model associated with Uvigerina data,
EW9504-14PC,,,,0.22719999999999999,0.22719999999999999,,,,,,0.22719999999999999,depth model associated with Uvigerina data,
EW9504-14PC,,,,0.23,0.23,,,,,,0.23,depth model associated with Uvigerina data,
EW9504-14PC,,,,0.23800000000000002,0.23800000000000002,,,,,,0.23800000000000002,depth model associated with Uvigerina data,
EW9504-14PC,,,,0.242,0.242,,,,,,0.242,depth model associated with Uvigerina data,
EW9504-14PC,,,,0.24600000000000002,0.24600000000000002,,,,,,0.24600000000000002,depth model associated with Uvigerina data,
EW9504-14PC,,,,0.3104,0.3104,,,,,,0.3104,depth model associated with Uvigerina data,
EW9504-14PC,,,,0.318,0.318,,,,,,0.318,depth model associated with Uvigerina data,
EW9504-14PC,,,,0.322,0.322,,,,,,0.322,depth model associated with Uvigerina data,
EW9504-14PC,,,,0.326,0.326,,,,,,0.326,depth model associated with Uvigerina data,
EW9504-14PC,,,,0.33,0.33,,,,,,0.33,depth model associated with Uvigerina data,
EW9504-14PC,,,,0.33799999999999997,0.33799999999999997,,,,,,0.33799999999999997,depth model associated with Uvigerina data,
