Site,Sample Label,age_model_depth (m),age_model (y BP),age_model_sigma_plus(y BP),age_model_sigma_minus(y BP),upper_95_percent(y BP),lower_95_percent(y BP),age_flag,age_model_note,age_model_collection,quality control
EW9504-17PC,,0.61,2904.7619048000006,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW9504-17PC,,0.96,4571.428571400001,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW9504-17PC,,1.21,5761.9047619,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW9504-17PC,,1.56,7428.571428599999,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW9504-17PC,,1.86,8857.142857100001,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW9504-17PC,,1.9100000000000001,9095.238095199998,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW9504-17PC,,1.96,9333.333333300001,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW9504-17PC,,2.0300000000000002,9666.666666699999,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW9504-17PC,,2.06,9809.5238095,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW9504-17PC,,2.08,9904.761904800002,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW9504-17PC,,2.13,10142.857142899999,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW9504-17PC,,2.16,10285.714285700002,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW9504-17PC,,2.18,10380.952381000001,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW9504-17PC,,2.21,10523.8095238,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW9504-17PC,,2.23,10619.047618999999,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW9504-17PC,,2.2600000000000002,10761.904761900001,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW9504-17PC,,2.2800000000000002,10857.142857100001,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW9504-17PC,,2.31,11000.0,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW9504-17PC,,2.33,11160.0,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW9504-17PC,,2.39,11640.0,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW9504-17PC,,2.41,11800.0,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW9504-17PC,,2.44,12040.0,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW9504-17PC,,2.48,12360.0,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW9504-17PC,,2.5100000000000002,12600.0,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW9504-17PC,,2.5300000000000002,12760.0,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW9504-17PC,,2.56,13000.0,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW9504-17PC,,2.58,13160.0,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW9504-17PC,,2.58,13160.0,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW9504-17PC,,2.61,13400.0,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW9504-17PC,,2.63,13560.0,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW9504-17PC,,2.66,13800.0,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW9504-17PC,,2.68,13960.0,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW9504-17PC,,2.71,14200.0,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW9504-17PC,,2.73,14360.0,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW9504-17PC,,2.7800000000000002,14760.0,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW9504-17PC,,2.81,15000.0,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW9504-17PC,,2.83,15160.0,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW9504-17PC,,2.86,15400.0,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW9504-17PC,,2.88,15560.0,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW9504-17PC,,2.91,15800.0,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW9504-17PC,,2.93,15960.0,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW9504-17PC,,2.96,16200.0,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW9504-17PC,,2.99,16440.0,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW9504-17PC,,3.0100000000000002,16600.0,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW9504-17PC,,3.02,16680.0,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW9504-17PC,,3.08,17160.0,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW9504-17PC,,3.08,17160.0,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW9504-17PC,,3.16,17800.0,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW9504-17PC,,3.2600000000000002,18600.0,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW9504-17PC,,3.2600000000000002,18600.0,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW9504-17PC,,3.31,19000.0,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW9504-17PC,,3.36,19400.0,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW9504-17PC,,3.41,19800.0,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW9504-17PC,,3.56,21000.0,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW9504-17PC,,3.61,21400.0,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW9504-17PC,,3.66,21800.0,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW9504-17PC,,3.71,22200.0,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW9504-17PC,,3.7600000000000002,22600.0,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW9504-17PC,,3.81,23000.0,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW9504-17PC,,3.86,23400.0,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW9504-17PC,,3.91,23800.0,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW9504-17PC,,3.96,24200.0,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW9504-17PC,,4.01,24600.0,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW9504-17PC,,4.03,24760.0,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW9504-17PC,,4.0600000000000005,25000.0,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
EW9504-17PC,,4.11,25400.0,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
