Site,Sample_label,hole_label,section_label,published_archival_depth (m),current_depth_model (m),current_depth_model_note,ODP SAMPLE Inventory:: DEPTH(mid) (m),ODP SAMPLE Inventory:: MBSF(mid) (m),ODP SAMPLE Inventory:: MCD(mid) (m),ODP SAMPLE Inventory:: CCSF(mid) (m),depth_model_1 (m),depth_model_note_1,older_depth_model_2 (m)
EW9504-17PC,,,,0.61,0.61,,,,,,0.61,depth model associated with Cibicidoides data,
EW9504-17PC,,,,0.96,0.96,,,,,,0.96,depth model associated with Cibicidoides data,
EW9504-17PC,,,,1.21,1.21,,,,,,1.21,depth model associated with Cibicidoides data,
EW9504-17PC,,,,1.56,1.56,,,,,,1.56,depth model associated with Cibicidoides data,
EW9504-17PC,,,,1.86,1.86,,,,,,1.86,depth model associated with Cibicidoides data,
EW9504-17PC,,,,1.9100000000000001,1.9100000000000001,,,,,,1.9100000000000001,depth model associated with Cibicidoides data,
EW9504-17PC,,,,1.96,1.96,,,,,,1.96,depth model associated with Cibicidoides data,
EW9504-17PC,,,,2.0300000000000002,2.0300000000000002,,,,,,2.0300000000000002,depth model associated with Cibicidoides data,
EW9504-17PC,,,,2.06,2.06,,,,,,2.06,depth model associated with Cibicidoides data,
EW9504-17PC,,,,2.08,2.08,,,,,,2.08,depth model associated with Cibicidoides data,
EW9504-17PC,,,,2.13,2.13,,,,,,2.13,depth model associated with Cibicidoides data,
EW9504-17PC,,,,2.16,2.16,,,,,,2.16,depth model associated with Cibicidoides data,
EW9504-17PC,,,,2.18,2.18,,,,,,2.18,depth model associated with Cibicidoides data,
EW9504-17PC,,,,2.21,2.21,,,,,,2.21,depth model associated with Cibicidoides data,
EW9504-17PC,,,,2.23,2.23,,,,,,2.23,depth model associated with Cibicidoides data,
EW9504-17PC,,,,2.2600000000000002,2.2600000000000002,,,,,,2.2600000000000002,depth model associated with Cibicidoides data,
EW9504-17PC,,,,2.2800000000000002,2.2800000000000002,,,,,,2.2800000000000002,depth model associated with Cibicidoides data,
EW9504-17PC,,,,2.31,2.31,,,,,,2.31,depth model associated with Cibicidoides data,
EW9504-17PC,,,,2.33,2.33,,,,,,2.33,depth model associated with Cibicidoides data,
EW9504-17PC,,,,2.39,2.39,,,,,,2.39,depth model associated with Cibicidoides data,
EW9504-17PC,,,,2.41,2.41,,,,,,2.41,depth model associated with Cibicidoides data,
EW9504-17PC,,,,2.44,2.44,,,,,,2.44,depth model associated with Cibicidoides data,
EW9504-17PC,,,,2.48,2.48,,,,,,2.48,depth model associated with Cibicidoides data,
EW9504-17PC,,,,2.5100000000000002,2.5100000000000002,,,,,,2.5100000000000002,depth model associated with Cibicidoides data,
EW9504-17PC,,,,2.5300000000000002,2.5300000000000002,,,,,,2.5300000000000002,depth model associated with Cibicidoides data,
EW9504-17PC,,,,2.56,2.56,,,,,,2.56,depth model associated with Cibicidoides data,
EW9504-17PC,,,,2.58,2.58,,,,,,2.58,depth model associated with Cibicidoides data,
EW9504-17PC,,,,2.58,2.58,,,,,,2.58,depth model associated with Cibicidoides data,
EW9504-17PC,,,,2.61,2.61,,,,,,2.61,depth model associated with Cibicidoides data,
EW9504-17PC,,,,2.63,2.63,,,,,,2.63,depth model associated with Cibicidoides data,
EW9504-17PC,,,,2.66,2.66,,,,,,2.66,depth model associated with Cibicidoides data,
EW9504-17PC,,,,2.68,2.68,,,,,,2.68,depth model associated with Cibicidoides data,
EW9504-17PC,,,,2.71,2.71,,,,,,2.71,depth model associated with Cibicidoides data,
EW9504-17PC,,,,2.73,2.73,,,,,,2.73,depth model associated with Cibicidoides data,
EW9504-17PC,,,,2.7800000000000002,2.7800000000000002,,,,,,2.7800000000000002,depth model associated with Cibicidoides data,
EW9504-17PC,,,,2.81,2.81,,,,,,2.81,depth model associated with Cibicidoides data,
EW9504-17PC,,,,2.83,2.83,,,,,,2.83,depth model associated with Cibicidoides data,
EW9504-17PC,,,,2.86,2.86,,,,,,2.86,depth model associated with Cibicidoides data,
EW9504-17PC,,,,2.88,2.88,,,,,,2.88,depth model associated with Cibicidoides data,
EW9504-17PC,,,,2.91,2.91,,,,,,2.91,depth model associated with Cibicidoides data,
EW9504-17PC,,,,2.93,2.93,,,,,,2.93,depth model associated with Cibicidoides data,
EW9504-17PC,,,,2.96,2.96,,,,,,2.96,depth model associated with Cibicidoides data,
EW9504-17PC,,,,2.99,2.99,,,,,,2.99,depth model associated with Cibicidoides data,
