Site,Sample Label,archival_depth (m),d13C (VPDB),d18O (VPDB),d13C_corrected (PDB),d18O_corrected (PDB),Number of shells,Minimum mesh size (um),Maximum mesh size (um),Taxon,Taxon_flag,Taxon_note1,Taxon_note2,Taxon_note3,Additional_note,Publication source,Original Reference,File Name,Data source,quality control
EW9504-17PC,,0.86,-0.81,3.4,,,,,,Uvigerina,5,,,,,Provided by Alan Mix for OC3,,,,1
EW9504-17PC,,1.26,-0.85,3.43,,,,,,Uvigerina,5,,,,,Provided by Alan Mix for OC3,,,,1
EW9504-17PC,,1.31,-0.94,3.48,,,,,,Uvigerina,5,,,,,Provided by Alan Mix for OC3,,,,1
EW9504-17PC,,1.36,-0.94,3.5,,,,,,Uvigerina,5,,,,,Provided by Alan Mix for OC3,,,,1
EW9504-17PC,,1.56,-0.97,3.57,,,,,,Uvigerina,5,,,,,Provided by Alan Mix for OC3,,,,1
EW9504-17PC,,1.61,-0.89,3.79,,,,,,Uvigerina,5,,,,,Provided by Alan Mix for OC3,,,,1
EW9504-17PC,,1.6600000000000001,-1.01,3.68,,,,,,Uvigerina,5,,,,,Provided by Alan Mix for OC3,,,,1
EW9504-17PC,,1.71,-1.22,3.77,,,,,,Uvigerina,5,,,,,Provided by Alan Mix for OC3,,,,1
EW9504-17PC,,1.76,-0.97,3.56,,,,,,Uvigerina,5,,,,,Provided by Alan Mix for OC3,,,,1
EW9504-17PC,,1.81,-1.0,3.57,,,,,,Uvigerina,5,,,,,Provided by Alan Mix for OC3,,,,1
EW9504-17PC,,1.86,-0.91,3.67,,,,,,Uvigerina,5,,,,,Provided by Alan Mix for OC3,,,,1
EW9504-17PC,,1.9100000000000001,-0.98,3.63,,,,,,Uvigerina,5,,,,,Provided by Alan Mix for OC3,,,,1
EW9504-17PC,,1.96,-0.85,3.76,,,,,,Uvigerina,5,,,,,Provided by Alan Mix for OC3,,,,1
EW9504-17PC,,2.0100000000000002,-0.89,3.81,,,,,,Uvigerina,5,,,,,Provided by Alan Mix for OC3,,,,1
EW9504-17PC,,2.0300000000000002,-0.99,3.84,,,,,,Uvigerina,5,,,,,Provided by Alan Mix for OC3,,,,1
EW9504-17PC,,2.06,-1.19,3.78,,,,,,Uvigerina,5,,,,,Provided by Alan Mix for OC3,,,,1
EW9504-17PC,,2.08,-0.85,3.8,,,,,,Uvigerina,5,,,,,Provided by Alan Mix for OC3,,,,1
EW9504-17PC,,2.11,-0.97,3.91,,,,,,Uvigerina,5,,,,,Provided by Alan Mix for OC3,,,,1
EW9504-17PC,,2.13,-0.92,3.92,,,,,,Uvigerina,5,,,,,Provided by Alan Mix for OC3,,,,1
EW9504-17PC,,2.16,-0.83,4.0,,,,,,Uvigerina,5,,,,,Provided by Alan Mix for OC3,,,,1
EW9504-17PC,,2.18,-0.76,3.96,,,,,,Uvigerina,5,,,,,Provided by Alan Mix for OC3,,,,1
EW9504-17PC,,2.21,-0.84,4.05,,,,,,Uvigerina,5,,,,,Provided by Alan Mix for OC3,,,,1
EW9504-17PC,,2.23,-0.95,4.0,,,,,,Uvigerina,5,,,,,Provided by Alan Mix for OC3,,,,1
EW9504-17PC,,2.2600000000000002,-1.08,4.04,,,,,,Uvigerina,5,,,,,Provided by Alan Mix for OC3,,,,1
EW9504-17PC,,2.2800000000000002,-1.03,4.03,,,,,,Uvigerina,5,,,,,Provided by Alan Mix for OC3,,,,1
EW9504-17PC,,2.31,-1.05,4.05,,,,,,Uvigerina,5,,,,,Provided by Alan Mix for OC3,,,,1
EW9504-17PC,,2.33,-1.18,4.04,,,,,,Uvigerina,5,,,,,Provided by Alan Mix for OC3,,,,1
EW9504-17PC,,2.36,-1.0,4.24,,,,,,Uvigerina,5,,,,,Provided by Alan Mix for OC3,,,,1
EW9504-17PC,,2.41,-1.02,4.4,,,,,,Uvigerina,5,,,,,Provided by Alan Mix for OC3,,,,1
EW9504-17PC,,2.46,-1.1,4.18,,,,,,Uvigerina,5,,,,,Provided by Alan Mix for OC3,,,,1
EW9504-17PC,,2.48,-1.06,3.99,,,,,,Uvigerina,5,,,,,Provided by Alan Mix for OC3,,,,1
EW9504-17PC,,2.5300000000000002,-1.07,4.13,,,,,,Uvigerina,5,,,,,Provided by Alan Mix for OC3,,,,1
EW9504-17PC,,2.56,-1.15,4.44,,,,,,Uvigerina,5,,,,,Provided by Alan Mix for OC3,,,,1
EW9504-17PC,,2.58,-1.02,4.4,,,,,,Uvigerina,5,,,,,Provided by Alan Mix for OC3,,,,1
EW9504-17PC,,2.59,-1.24,4.32,,,,,,Uvigerina,5,,,,,Provided by Alan Mix for OC3,,,,1
EW9504-17PC,,2.61,-0.9,4.37,,,,,,Uvigerina,5,,,,,Provided by Alan Mix for OC3,,,,1
EW9504-17PC,,2.63,-0.82,4.32,,,,,,Uvigerina,5,,,,,Provided by Alan Mix for OC3,,,,1
EW9504-17PC,,2.66,-1.01,4.47,,,,,,Uvigerina,5,,,,,Provided by Alan Mix for OC3,,,,1
EW9504-17PC,,2.68,-1.01,4.34,,,,,,Uvigerina,5,,,,,Provided by Alan Mix for OC3,,,,1
EW9504-17PC,,2.73,-0.81,4.52,,,,,,Uvigerina,5,,,,,Provided by Alan Mix for OC3,,,,1
EW9504-17PC,,2.7600000000000002,-1.08,4.64,,,,,,Uvigerina,5,,,,,Provided by Alan Mix for OC3,,,,1
EW9504-17PC,,2.7800000000000002,-1.14,4.52,,,,,,Uvigerina,5,,,,,Provided by Alan Mix for OC3,,,,1
EW9504-17PC,,2.81,-1.01,4.69,,,,,,Uvigerina,5,,,,,Provided by Alan Mix for OC3,,,,1
EW9504-17PC,,2.83,-0.94,4.7,,,,,,Uvigerina,5,,,,,Provided by Alan Mix for OC3,,,,1
EW9504-17PC,,2.86,-1.13,4.74,,,,,,Uvigerina,5,,,,,Provided by Alan Mix for OC3,,,,1
EW9504-17PC,,2.88,-1.03,4.68,,,,,,Uvigerina,5,,,,,Provided by Alan Mix for OC3,,,,1
EW9504-17PC,,2.91,-1.08,4.71,,,,,,Uvigerina,5,,,,,Provided by Alan Mix for OC3,,,,1
EW9504-17PC,,2.96,-1.11,4.81,,,,,,Uvigerina,5,,,,,Provided by Alan Mix for OC3,,,,1
EW9504-17PC,,2.98,-1.05,4.72,,,,,,Uvigerina,5,,,,,Provided by Alan Mix for OC3,,,,1
EW9504-17PC,,2.99,-1.09,4.88,,,,,,Uvigerina,5,,,,,Provided by Alan Mix for OC3,,,,1
EW9504-17PC,,3.02,-0.93,4.84,,,,,,Uvigerina,5,,,,,Provided by Alan Mix for OC3,,,,1
EW9504-17PC,,3.06,-1.09,4.87,,,,,,Uvigerina,5,,,,,Provided by Alan Mix for OC3,,,,1
EW9504-17PC,,3.08,-1.09,4.9,,,,,,Uvigerina,5,,,,,Provided by Alan Mix for OC3,,,,1
EW9504-17PC,,3.31,-1.28,5.04,,,,,,Uvigerina,5,,,,,Provided by Alan Mix for OC3,,,,1
EW9504-17PC,,3.41,-1.22,5.16,,,,,,Uvigerina,5,,,,,Provided by Alan Mix for OC3,,,,1
EW9504-17PC,,3.46,-1.29,4.99,,,,,,Uvigerina,5,,,,,Provided by Alan Mix for OC3,,,,1
