Site,Sample_label,hole_label,section_label,published_archival_depth (m),current_depth_model (m),current_depth_model_note,ODP SAMPLE Inventory:: DEPTH(mid) (m),ODP SAMPLE Inventory:: MBSF(mid) (m),ODP SAMPLE Inventory:: MCD(mid) (m),ODP SAMPLE Inventory:: CCSF(mid) (m),depth_model_1 (m),depth_model_note_1,older_depth_model_2 (m)
EW9504_02PC,,,,0.1,0.1,,,,,,0.1,depth model from Jonkers et al. 2020,
EW9504_02PC,,,,0.2,0.2,,,,,,0.2,depth model from Jonkers et al. 2020,
EW9504_02PC,,,,0.3,0.3,,,,,,0.3,depth model from Jonkers et al. 2020,
EW9504_02PC,,,,0.31,0.31,,,,,,0.31,depth model from Jonkers et al. 2020,
EW9504_02PC,,,,0.4,0.4,,,,,,0.4,depth model from Jonkers et al. 2020,
EW9504_02PC,,,,0.45,0.45,,,,,,0.45,depth model from Jonkers et al. 2020,
EW9504_02PC,,,,0.55,0.55,,,,,,0.55,depth model from Jonkers et al. 2020,
EW9504_02PC,,,,0.6,0.6,,,,,,0.6,depth model from Jonkers et al. 2020,
EW9504_02PC,,,,0.7,0.7,,,,,,0.7,depth model from Jonkers et al. 2020,
EW9504_02PC,,,,0.78,0.78,,,,,,0.78,depth model from Jonkers et al. 2020,
EW9504_02PC,,,,0.8,0.8,,,,,,0.8,depth model from Jonkers et al. 2020,
EW9504_02PC,,,,0.88,0.88,,,,,,0.88,depth model from Jonkers et al. 2020,
EW9504_02PC,,,,0.9,0.9,,,,,,0.9,depth model from Jonkers et al. 2020,
EW9504_02PC,,,,1.0,1.0,,,,,,1.0,depth model from Jonkers et al. 2020,
EW9504_02PC,,,,1.05,1.05,,,,,,1.05,depth model from Jonkers et al. 2020,
EW9504_02PC,,,,1.1,1.1,,,,,,1.1,depth model from Jonkers et al. 2020,
EW9504_02PC,,,,1.2,1.2,,,,,,1.2,depth model from Jonkers et al. 2020,
EW9504_02PC,,,,1.28,1.28,,,,,,1.28,depth model from Jonkers et al. 2020,
EW9504_02PC,,,,1.45,1.45,,,,,,1.45,depth model from Jonkers et al. 2020,
EW9504_02PC,,,,1.55,1.55,,,,,,1.55,depth model from Jonkers et al. 2020,
EW9504_02PC,,,,1.65,1.65,,,,,,1.65,depth model from Jonkers et al. 2020,
EW9504_02PC,,,,1.75,1.75,,,,,,1.75,depth model from Jonkers et al. 2020,
EW9504_02PC,,,,1.82,1.82,,,,,,1.82,depth model from Jonkers et al. 2020,
EW9504_02PC,,,,1.9,1.9,,,,,,1.9,depth model from Jonkers et al. 2020,
EW9504_02PC,,,,2.0,2.0,,,,,,2.0,depth model from Jonkers et al. 2020,
EW9504_02PC,,,,2.1,2.1,,,,,,2.1,depth model from Jonkers et al. 2020,
EW9504_02PC,,,,2.15,2.15,,,,,,2.15,depth model from Jonkers et al. 2020,
EW9504_02PC,,,,2.22,2.22,,,,,,2.22,depth model from Jonkers et al. 2020,
EW9504_02PC,,,,2.37,2.37,,,,,,2.37,depth model from Jonkers et al. 2020,
EW9504_02PC,,,,2.47,2.47,,,,,,2.47,depth model from Jonkers et al. 2020,
EW9504_02PC,,,,2.67,2.67,,,,,,2.67,depth model from Jonkers et al. 2020,
EW9504_02PC,,,,2.77,2.77,,,,,,2.77,depth model from Jonkers et al. 2020,
EW9504_02PC,,,,2.87,2.87,,,,,,2.87,depth model from Jonkers et al. 2020,
EW9504_02PC,,,,3.09,3.09,,,,,,3.09,depth model from Jonkers et al. 2020,
EW9504_02PC,,,,3.19,3.19,,,,,,3.19,depth model from Jonkers et al. 2020,
EW9504_02PC,,,,3.4,3.4,,,,,,3.4,depth model from Jonkers et al. 2020,
EW9504_02PC,,,,3.55,3.55,,,,,,3.55,depth model from Jonkers et al. 2020,
EW9504_02PC,,,,3.75,3.75,,,,,,3.75,depth model from Jonkers et al. 2020,
EW9504_02PC,,,,3.82,3.82,,,,,,3.82,depth model from Jonkers et al. 2020,
EW9504_02PC,,,,3.98,3.98,,,,,,3.98,depth model from Jonkers et al. 2020,
EW9504_02PC,,,,4.08,4.08,,,,,,4.08,depth model from Jonkers et al. 2020,
EW9504_02PC,,,,4.18,4.18,,,,,,4.18,depth model from Jonkers et al. 2020,
EW9504_02PC,,,,4.28,4.28,,,,,,4.28,depth model from Jonkers et al. 2020,
