Site,Sample Label,archival_depth (m),d13C (VPDB),d18O (VPDB),d13C_corrected (PDB),d18O_corrected (PDB),Number of shells,Minimum mesh size (um),Maximum mesh size (um),Taxon,Taxon_flag,Taxon_note1,Taxon_note2,Taxon_note3,Additional_note,Publication source,Original Reference,File Name,Data source,quality control
EW9504_02PC,,0.1,-0.26,2.67,-0.26,2.67,,,,Cibicidoides mckannai,6,,,,,Jonkers et al. 2020 compilation,"Stott, L. D., Neumann, M. and Hammond, D.: Intermediate water ventilation on the Northeastern Pacific Margin during the Late Pleistocene inferred from benthic foraminiferal δ13C, Paleoceanography, 15(2), 161–169, doi:10.1029/1999pa000375, 2000.",,https://doi.pangaea.de/10.1594/PANGAEA.855357,1
EW9504_02PC,,0.2,-0.14,2.65,-0.14,2.65,,,,Cibicidoides mckannai,6,,,,,Jonkers et al. 2020 compilation,"Stott, L. D., Neumann, M. and Hammond, D.: Intermediate water ventilation on the Northeastern Pacific Margin during the Late Pleistocene inferred from benthic foraminiferal δ13C, Paleoceanography, 15(2), 161–169, doi:10.1029/1999pa000375, 2000.",,https://doi.pangaea.de/10.1594/PANGAEA.855357,1
EW9504_02PC,,0.3,-0.31,2.76,-0.31,2.76,,,,Cibicidoides mckannai,6,,,,,Jonkers et al. 2020 compilation,"Stott, L. D., Neumann, M. and Hammond, D.: Intermediate water ventilation on the Northeastern Pacific Margin during the Late Pleistocene inferred from benthic foraminiferal δ13C, Paleoceanography, 15(2), 161–169, doi:10.1029/1999pa000375, 2000.",,https://doi.pangaea.de/10.1594/PANGAEA.855357,1
EW9504_02PC,,0.31,-0.46,2.64,-0.46,2.64,,,,Cibicidoides mckannai,6,,,,,Jonkers et al. 2020 compilation,"Stott, L. D., Neumann, M. and Hammond, D.: Intermediate water ventilation on the Northeastern Pacific Margin during the Late Pleistocene inferred from benthic foraminiferal δ13C, Paleoceanography, 15(2), 161–169, doi:10.1029/1999pa000375, 2000.",,https://doi.pangaea.de/10.1594/PANGAEA.855357,1
EW9504_02PC,,0.4,-0.55,3.07,-0.55,3.07,,,,Cibicidoides mckannai,6,,,,,Jonkers et al. 2020 compilation,"Stott, L. D., Neumann, M. and Hammond, D.: Intermediate water ventilation on the Northeastern Pacific Margin during the Late Pleistocene inferred from benthic foraminiferal δ13C, Paleoceanography, 15(2), 161–169, doi:10.1029/1999pa000375, 2000.",,https://doi.pangaea.de/10.1594/PANGAEA.855357,1
EW9504_02PC,,0.45,-0.68,4.24,-0.68,4.24,,,,Cibicidoides mckannai,6,,,,,Jonkers et al. 2020 compilation,"Stott, L. D., Neumann, M. and Hammond, D.: Intermediate water ventilation on the Northeastern Pacific Margin during the Late Pleistocene inferred from benthic foraminiferal δ13C, Paleoceanography, 15(2), 161–169, doi:10.1029/1999pa000375, 2000.",,https://doi.pangaea.de/10.1594/PANGAEA.855357,1
EW9504_02PC,,0.55,-0.81,4.15,-0.81,4.15,,,,Cibicidoides mckannai,6,,,,,Jonkers et al. 2020 compilation,"Stott, L. D., Neumann, M. and Hammond, D.: Intermediate water ventilation on the Northeastern Pacific Margin during the Late Pleistocene inferred from benthic foraminiferal δ13C, Paleoceanography, 15(2), 161–169, doi:10.1029/1999pa000375, 2000.",,https://doi.pangaea.de/10.1594/PANGAEA.855357,1
EW9504_02PC,,0.6,-0.675,3.95,-0.675,3.95,,,,Cibicidoides mckannai,6,,,,,Jonkers et al. 2020 compilation,"Stott, L. D., Neumann, M. and Hammond, D.: Intermediate water ventilation on the Northeastern Pacific Margin during the Late Pleistocene inferred from benthic foraminiferal δ13C, Paleoceanography, 15(2), 161–169, doi:10.1029/1999pa000375, 2000.",,https://doi.pangaea.de/10.1594/PANGAEA.855357,1
EW9504_02PC,,0.7,-0.73,4.13,-0.73,4.13,,,,Cibicidoides mckannai,6,,,,,Jonkers et al. 2020 compilation,"Stott, L. D., Neumann, M. and Hammond, D.: Intermediate water ventilation on the Northeastern Pacific Margin during the Late Pleistocene inferred from benthic foraminiferal δ13C, Paleoceanography, 15(2), 161–169, doi:10.1029/1999pa000375, 2000.",,https://doi.pangaea.de/10.1594/PANGAEA.855357,1
EW9504_02PC,,0.78,-0.64,4.0,-0.64,4.0,,,,Cibicidoides mckannai,6,,,,,Jonkers et al. 2020 compilation,"Stott, L. D., Neumann, M. and Hammond, D.: Intermediate water ventilation on the Northeastern Pacific Margin during the Late Pleistocene inferred from benthic foraminiferal δ13C, Paleoceanography, 15(2), 161–169, doi:10.1029/1999pa000375, 2000.",,https://doi.pangaea.de/10.1594/PANGAEA.855357,1
EW9504_02PC,,0.8,-0.67,4.17,-0.67,4.17,,,,Cibicidoides mckannai,6,,,,,Jonkers et al. 2020 compilation,"Stott, L. D., Neumann, M. and Hammond, D.: Intermediate water ventilation on the Northeastern Pacific Margin during the Late Pleistocene inferred from benthic foraminiferal δ13C, Paleoceanography, 15(2), 161–169, doi:10.1029/1999pa000375, 2000.",,https://doi.pangaea.de/10.1594/PANGAEA.855357,1
