Site,Sample label,sample_depth,technique,lab. code,species/material,radiocarbon_age (y),radiocarbon_age_error_plus (y),radiocarbon_age_error_minus (y),reservoir_age (y),reservoir_age_error_plus (y),reservoir_age_error_minus (y),calendar_age (yBP),calendar_age_error_plus (yBP),calendar_age_error_minus (yBP),calibration curve,alignment target,alignment proxy,note1,note2,original reference,data doi
EW9504_08PC,CAMS 37683,0.39,,,,7000,50,50,488.2,51.3,51.3,7418,145,138,IntCal13,,,From Jonkers et al. 2020 compilation paper,,,http://onlinelibrary.wiley.com/doi/10.1029/1999PA000375/epdf
EW9504_08PC,CAMS 25678,0.76,,,,10680,70,70,522.5,55.1,55.1,11788,347,425,IntCal13,,,From Jonkers et al. 2020 compilation paper,,,http://onlinelibrary.wiley.com/doi/10.1029/1999PA000375/epdf
EW9504_08PC,CAMS 37684,1.22,,,,13090,160,160,564.9,37.3,37.3,14710,560,587,IntCal13,,,From Jonkers et al. 2020 compilation paper,,,http://onlinelibrary.wiley.com/doi/10.1029/1999PA000375/epdf
EW9504_08PC,CAMS 37685,1.52,,,,19960,120,120,770.6,42.2,42.2,23135,365,356,IntCal13,,,From Jonkers et al. 2020 compilation paper,,,http://onlinelibrary.wiley.com/doi/10.1029/1999PA000375/epdf
EW9504_08PC,CAMS 25679,2.41,,,,31890,690,690,686.1,53.7,53.7,35216,1411,1263,IntCal13,,,From Jonkers et al. 2020 compilation paper,,,http://onlinelibrary.wiley.com/doi/10.1029/1999PA000375/epdf
EW9504_08PC,CAMS 25680,3.36,,,,45000,2700,2700,699.2,68.5,68.5,47592,2407,2744,IntCal13,,,From Jonkers et al. 2020 compilation paper,,,http://onlinelibrary.wiley.com/doi/10.1029/1999PA000375/epdf
EW9504_08PC,,3.7799999714,,,,,,,,,,70500,2820,2820,IntCal13,,,From Jonkers et al. 2020 compilation paper,,,
EW9504_08PC,,4.3499999046,,,,,,,,,,88500,2580,2580,IntCal13,,,From Jonkers et al. 2020 compilation paper,,,
EW9504_08PC,,4.75,,,,,,,,,,108000,2600,2600,IntCal13,,,From Jonkers et al. 2020 compilation paper,,,
EW9504_08PC,,5.1700000763,,,,,,,,,,132500,4300,4300,IntCal13,,,From Jonkers et al. 2020 compilation paper,,,
