Site,Sample Label,age_model_depth (m),age_model (y BP),age_model_sigma_plus(y BP),age_model_sigma_minus(y BP),upper_95_percent(y BP),lower_95_percent(y BP),age_flag,age_model_note,age_model_collection,quality control
FR1-97-GC12,,0.05,1134.0000000000002,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
FR1-97-GC12,,0.1,2268.5,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
FR1-97-GC12,,0.15,3401.9999999999995,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
FR1-97-GC12,,0.2,4537.0,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
FR1-97-GC12,,0.3,6458.5,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
FR1-97-GC12,,0.4,8380.0,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
FR1-97-GC12,,0.5,9389.0,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
FR1-97-GC12,,0.6,10398.0,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
FR1-97-GC12,,0.7000000000000001,11407.0,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
FR1-97-GC12,,0.8,12400.0,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
FR1-97-GC12,,0.9,13425.0,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
FR1-97-GC12,,1.0,13909.0,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
FR1-97-GC12,,1.1,14392.999999999998,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
FR1-97-GC12,,1.2,14877.0,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
FR1-97-GC12,,1.3,15360.999999999998,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
FR1-97-GC12,,1.4000000000000001,15845.0,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
FR1-97-GC12,,1.5,16329.999999999998,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
FR1-97-GC12,,1.6,17065.0,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
FR1-97-GC12,,1.7,17800.0,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
FR1-97-GC12,,1.8,18535.0,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
FR1-97-GC12,,1.9000000000000001,19270.0,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
FR1-97-GC12,,2.0,20258.0,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
FR1-97-GC12,,2.1,21246.0,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
FR1-97-GC12,,2.2,22234.0,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
FR1-97-GC12,,2.3000000000000003,23221.999999999996,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
FR1-97-GC12,,2.4,24210.0,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
FR1-97-GC12,,2.5,25200.0,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
FR1-97-GC12,,2.6,25676.0,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
FR1-97-GC12,,2.7,26151.999999999996,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
FR1-97-GC12,,2.8000000000000003,26628.0,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
FR1-97-GC12,,2.9,27104.0,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
FR1-97-GC12,,3.1,29038.0,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
FR1-97-GC12,,3.3000000000000003,31954.0,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
FR1-97-GC12,,3.5,34870.0,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
FR1-97-GC12,,3.6,36156.0,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
FR1-97-GC12,,3.7,37532.0,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
FR1-97-GC12,,3.8000000000000003,39000.0,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
FR1-97-GC12,,3.9,45000.0,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
FR1-97-GC12,,4.0,47000.0,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
FR1-97-GC12,,4.1,49000.0,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
FR1-97-GC12,,4.2,53000.0,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
FR1-97-GC12,,4.3,55000.0,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
FR1-97-GC12,,4.4,57500.0,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
FR1-97-GC12,,4.5,62000.0,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
FR1-97-GC12,,4.6000000000000005,63666.00000000001,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
FR1-97-GC12,,4.7,67000.0,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
FR1-97-GC12,,4.8,69000.0,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
FR1-97-GC12,,4.9,74664.0,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
FR1-97-GC12,,5.0,78330.0,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
FR1-97-GC12,,5.1000000000000005,81000.0,,,,,4,Age model calculated by Alan Mix,d18O aligment,1
