Site,Sample Label,age_model_depth (m),age_model (y BP),age_model_sigma_plus(y BP),age_model_sigma_minus(y BP),upper_95_percent(y BP),lower_95_percent(y BP),age_flag,age_model_note,age_model_collection,quality control
FR01-97-GC12,,0.2,4846.935546875,,,5672.7900390625,4185.7900390625,3,Age model from Jonkers et al. (2020),,1
FR01-97-GC12,,0.21,5009.9521484375,,,5804.330078125,4342.330078125,3,Age model from Jonkers et al. (2020),,1
FR01-97-GC12,,0.22,5172.966796875,,,6007.5732421875,4455.5732421875,3,Age model from Jonkers et al. (2020),,1
FR01-97-GC12,,0.23,5335.9658203125,,,6251.1284179688,4544.1284179688,3,Age model from Jonkers et al. (2020),,1
FR01-97-GC12,,0.24,5498.9829101563,,,6533.1147460938,4627.1147460938,3,Age model from Jonkers et al. (2020),,1
FR01-97-GC12,,0.25,5661.9809570313,,,6844.1005859375,4687.1005859375,3,Age model from Jonkers et al. (2020),,1
FR01-97-GC12,,0.26,5829.572265625,,,6938.6987304688,4888.6987304688,3,Age model from Jonkers et al. (2020),,1
FR01-97-GC12,,0.27,5997.1411132813,,,7052.296875,5028.296875,3,Age model from Jonkers et al. (2020),,1
FR01-97-GC12,,0.28,6164.7221679688,,,7196.89453125,5143.89453125,3,Age model from Jonkers et al. (2020),,1
FR01-97-GC12,,0.29,6332.2817382813,,,7389.4931640625,5241.4931640625,3,Age model from Jonkers et al. (2020),,1
FR01-97-GC12,,0.3,6499.8676757813,,,7638.0908203125,5328.0908203125,3,Age model from Jonkers et al. (2020),,1
FR01-97-GC12,,0.31,6664.8901367188,,,7707.0009765625,5564.0009765625,3,Age model from Jonkers et al. (2020),,1
FR01-97-GC12,,0.32,6829.9233398438,,,7796.7119140625,5757.7119140625,3,Age model from Jonkers et al. (2020),,1
FR01-97-GC12,,0.33,6994.9453125,,,7901.3271484375,5919.3271484375,3,Age model from Jonkers et al. (2020),,1
FR01-97-GC12,,0.34,7159.9609375,,,8030.9428710938,6049.9428710938,3,Age model from Jonkers et al. (2020),,1
FR01-97-GC12,,0.35,7324.9672851563,,,8209.55859375,6159.5581054688,3,Age model from Jonkers et al. (2020),,1
FR01-97-GC12,,0.36,7493.5087890625,,,8254.3525390625,6529.3525390625,3,Age model from Jonkers et al. (2020),,1
FR01-97-GC12,,0.37,7662.1088867188,,,8316.6796875,6879.6791992188,3,Age model from Jonkers et al. (2020),,1
FR01-97-GC12,,0.38,7830.67578125,,,8388.005859375,7206.0063476563,3,Age model from Jonkers et al. (2020),,1
FR01-97-GC12,,0.39,7999.2592773438,,,8487.42578125,7477.4262695313,3,Age model from Jonkers et al. (2020),,1
FR01-97-GC12,,0.4,8167.8403320313,,,8639.8505859375,7668.8505859375,3,Age model from Jonkers et al. (2020),,1
FR01-97-GC12,,0.41,8260.228515625,,,8729.103515625,7756.1040039063,3,Age model from Jonkers et al. (2020),,1
FR01-97-GC12,,0.42,8352.6416015625,,,8867.357421875,7821.3579101563,3,Age model from Jonkers et al. (2020),,1
FR01-97-GC12,,0.43,8445.048828125,,,9029.611328125,7874.611328125,3,Age model from Jonkers et al. (2020),,1
