Site,Sample_label,hole_label,section_label,published_archival_depth (m),current_depth_model (m),current_depth_model_note,ODP SAMPLE Inventory:: DEPTH(mid) (m),ODP SAMPLE Inventory:: MBSF(mid) (m),ODP SAMPLE Inventory:: MCD(mid) (m),ODP SAMPLE Inventory:: CCSF(mid) (m),depth_model_1 (m),depth_model_note_1,older_depth_model_2 (m)
FR1-97-GC12,,,,0.05,0.05,,,,,,0.05,depth model associated with Cibicidoides data,
FR1-97-GC12,,,,0.1,0.1,,,,,,0.1,depth model associated with Cibicidoides data,
FR1-97-GC12,,,,0.15,0.15,,,,,,0.15,depth model associated with Cibicidoides data,
FR1-97-GC12,,,,0.2,0.2,,,,,,0.2,depth model associated with Cibicidoides data,
FR1-97-GC12,,,,0.3,0.3,,,,,,0.3,depth model associated with Cibicidoides data,
FR1-97-GC12,,,,0.4,0.4,,,,,,0.4,depth model associated with Cibicidoides data,
FR1-97-GC12,,,,0.5,0.5,,,,,,0.5,depth model associated with Cibicidoides data,
FR1-97-GC12,,,,0.6,0.6,,,,,,0.6,depth model associated with Cibicidoides data,
FR1-97-GC12,,,,0.7000000000000001,0.7000000000000001,,,,,,0.7000000000000001,depth model associated with Cibicidoides data,
FR1-97-GC12,,,,0.8,0.8,,,,,,0.8,depth model associated with Cibicidoides data,
FR1-97-GC12,,,,0.9,0.9,,,,,,0.9,depth model associated with Cibicidoides data,
FR1-97-GC12,,,,1.0,1.0,,,,,,1.0,depth model associated with Cibicidoides data,
FR1-97-GC12,,,,1.1,1.1,,,,,,1.1,depth model associated with Cibicidoides data,
FR1-97-GC12,,,,1.2,1.2,,,,,,1.2,depth model associated with Cibicidoides data,
FR1-97-GC12,,,,1.3,1.3,,,,,,1.3,depth model associated with Cibicidoides data,
FR1-97-GC12,,,,1.4000000000000001,1.4000000000000001,,,,,,1.4000000000000001,depth model associated with Cibicidoides data,
FR1-97-GC12,,,,1.5,1.5,,,,,,1.5,depth model associated with Cibicidoides data,
FR1-97-GC12,,,,1.6,1.6,,,,,,1.6,depth model associated with Cibicidoides data,
FR1-97-GC12,,,,1.7,1.7,,,,,,1.7,depth model associated with Cibicidoides data,
FR1-97-GC12,,,,1.8,1.8,,,,,,1.8,depth model associated with Cibicidoides data,
FR1-97-GC12,,,,1.9000000000000001,1.9000000000000001,,,,,,1.9000000000000001,depth model associated with Cibicidoides data,
FR1-97-GC12,,,,2.0,2.0,,,,,,2.0,depth model associated with Cibicidoides data,
FR1-97-GC12,,,,2.1,2.1,,,,,,2.1,depth model associated with Cibicidoides data,
FR1-97-GC12,,,,2.2,2.2,,,,,,2.2,depth model associated with Cibicidoides data,
FR1-97-GC12,,,,2.3000000000000003,2.3000000000000003,,,,,,2.3000000000000003,depth model associated with Cibicidoides data,
FR1-97-GC12,,,,2.4,2.4,,,,,,2.4,depth model associated with Cibicidoides data,
FR1-97-GC12,,,,2.5,2.5,,,,,,2.5,depth model associated with Cibicidoides data,
FR1-97-GC12,,,,2.6,2.6,,,,,,2.6,depth model associated with Cibicidoides data,
FR1-97-GC12,,,,2.7,2.7,,,,,,2.7,depth model associated with Cibicidoides data,
FR1-97-GC12,,,,2.8000000000000003,2.8000000000000003,,,,,,2.8000000000000003,depth model associated with Cibicidoides data,
FR1-97-GC12,,,,2.9,2.9,,,,,,2.9,depth model associated with Cibicidoides data,
FR1-97-GC12,,,,3.1,3.1,,,,,,3.1,depth model associated with Cibicidoides data,
FR1-97-GC12,,,,3.3000000000000003,3.3000000000000003,,,,,,3.3000000000000003,depth model associated with Cibicidoides data,
FR1-97-GC12,,,,3.5,3.5,,,,,,3.5,depth model associated with Cibicidoides data,
FR1-97-GC12,,,,3.6,3.6,,,,,,3.6,depth model associated with Cibicidoides data,
FR1-97-GC12,,,,3.7,3.7,,,,,,3.7,depth model associated with Cibicidoides data,
FR1-97-GC12,,,,3.8000000000000003,3.8000000000000003,,,,,,3.8000000000000003,depth model associated with Cibicidoides data,
FR1-97-GC12,,,,3.9,3.9,,,,,,3.9,depth model associated with Cibicidoides data,
FR1-97-GC12,,,,4.0,4.0,,,,,,4.0,depth model associated with Cibicidoides data,
FR1-97-GC12,,,,4.1,4.1,,,,,,4.1,depth model associated with Cibicidoides data,
FR1-97-GC12,,,,4.2,4.2,,,,,,4.2,depth model associated with Cibicidoides data,
FR1-97-GC12,,,,4.3,4.3,,,,,,4.3,depth model associated with Cibicidoides data,
FR1-97-GC12,,,,4.4,4.4,,,,,,4.4,depth model associated with Cibicidoides data,
FR1-97-GC12,,,,4.5,4.5,,,,,,4.5,depth model associated with Cibicidoides data,
FR1-97-GC12,,,,4.6000000000000005,4.6000000000000005,,,,,,4.6000000000000005,depth model associated with Cibicidoides data,
FR1-97-GC12,,,,4.7,4.7,,,,,,4.7,depth model associated with Cibicidoides data,
FR1-97-GC12,,,,4.8,4.8,,,,,,4.8,depth model associated with Cibicidoides data,
FR1-97-GC12,,,,4.9,4.9,,,,,,4.9,depth model associated with Cibicidoides data,
FR1-97-GC12,,,,5.0,5.0,,,,,,5.0,depth model associated with Cibicidoides data,
FR1-97-GC12,,,,5.1000000000000005,5.1000000000000005,,,,,,5.1000000000000005,depth model associated with Cibicidoides data,
