Site,Sample label,sample_depth,technique,lab. code,species/material,radiocarbon_age (y),radiocarbon_age_error_plus (y),radiocarbon_age_error_minus (y),reservoir_age (y),reservoir_age_error_plus (y),reservoir_age_error_minus (y),calendar_age (yBP),calendar_age_error_plus (yBP),calendar_age_error_minus (yBP),calibration curve,alignment target,alignment proxy,note1,note2,original reference,data doi
GEOFAR_KF13,,0.2199999988079071,,,,6989.999771118164,79.99999821186066,79.99999821186066,484.0,51.6,51.6,7411.0,163.0,228.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,
GEOFAR_KF13,,0.30000001192092896,,,,8210.000038146973,79.99999821186066,79.99999821186066,368.0,52.6,52.6,8693.0,291.0,246.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,
GEOFAR_KF13,,0.4000000059604645,,,,9010.000228881836,90.00000357627869,90.00000357627869,341.0,56.7,56.7,9712.0,410.0,231.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,
GEOFAR_KF13,,0.7300000190734863,,,,12229.999542236328,129.99999523162842,129.99999523162842,588.0,61.1,61.1,13513.0,281.0,322.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,
GEOFAR_KF13,,1.0,,,,13029.999732971191,140.00000059604645,140.00000059604645,601.0,54.9,54.9,14590.0,531.0,512.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,
GEOFAR_KF13,,1.100000023841858,,,,13520.000457763672,159.9999964237213,159.9999964237213,621.0,61.6,61.6,15433.0,531.0,490.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,
GEOFAR_KF13,,1.2999999523162842,,,,14159.99984741211,159.9999964237213,159.9999964237213,674.0,64.3,64.3,16268.999999999998,562.0000000000018,505.9999999999982,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,
GEOFAR_KF13,,1.5,,,,,,,,,,18000.0,400.0,400.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,
GEOFAR_KF13,,1.7000000476837158,,,,16159.99984741211,209.99999344348907,209.99999344348907,840.0,64.8,64.8,18583.0,430.0,364.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,
GEOFAR_KF13,,2.0,,,,18690.000534057617,289.99999165534973,289.99999165534973,855.0,72.1,72.1,21621.0,708.0,720.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,
GEOFAR_KF13,,2.200000047683716,,,,20200.000762939453,340.0000035762787,340.0000035762787,788.0,74.80000000000001,74.80000000000001,23406.0,760.0,789.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,
GEOFAR_KF13,,2.4000000953674316,,,,21729.999542236328,430.0000071525574,430.0000071525574,916.0,83.9,83.9,25037.0,892.0,982.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,
