Site,Sample Label,age_model_depth (m),age_model (y BP),age_model_sigma_plus(y BP),age_model_sigma_minus(y BP),upper_95_percent(y BP),lower_95_percent(y BP),age_flag,age_model_note,age_model_collection,quality control
GEOFAR_KF13,,0.22,7482.8159179688,,,7707.2202148438,7289.2202148438,3,Age model from Jonkers et al. (2020),,1
GEOFAR_KF13,,0.23,7638.361328125,,,7855.6274414063,7428.6274414063,3,Age model from Jonkers et al. (2020),,1
GEOFAR_KF13,,0.24,7793.8891601563,,,8042.8002929688,7531.8002929688,3,Age model from Jonkers et al. (2020),,1
GEOFAR_KF13,,0.25,7949.451171875,,,8252.140625,7600.140625,3,Age model from Jonkers et al. (2020),,1
GEOFAR_KF13,,0.26,8104.9921875,,,8486.48046875,7671.48046875,3,Age model from Jonkers et al. (2020),,1
GEOFAR_KF13,,0.27,8260.5419921875,,,8730.8203125,7734.8208007813,3,Age model from Jonkers et al. (2020),,1
GEOFAR_KF13,,0.28,8406.3212890625,,,8803.68359375,7996.68359375,3,Age model from Jonkers et al. (2020),,1
GEOFAR_KF13,,0.29,8551.369140625,,,8871.7109375,8255.7109375,3,Age model from Jonkers et al. (2020),,1
GEOFAR_KF13,,0.3,8696.4052734375,,,8975.73828125,8447.73828125,3,Age model from Jonkers et al. (2020),,1
GEOFAR_KF13,,0.31,8841.4521484375,,,9134.7646484375,8554.7646484375,3,Age model from Jonkers et al. (2020),,1
GEOFAR_KF13,,0.32,8986.5087890625,,,9383.7919921875,8631.7919921875,3,Age model from Jonkers et al. (2020),,1
GEOFAR_KF13,,0.33,9082.0859375,,,9461.119140625,8727.119140625,3,Age model from Jonkers et al. (2020),,1
GEOFAR_KF13,,0.34,9169.6513671875,,,9521.7099609375,8831.7099609375,3,Age model from Jonkers et al. (2020),,1
GEOFAR_KF13,,0.35,9257.203125,,,9611.3017578125,8897.3017578125,3,Age model from Jonkers et al. (2020),,1
GEOFAR_KF13,,0.36,9344.7607421875,,,9712.892578125,8957.892578125,3,Age model from Jonkers et al. (2020),,1
