Site,Sample_label,hole_label,section_label,published_archival_depth (m),current_depth_model (m),current_depth_model_note,ODP SAMPLE Inventory:: DEPTH(mid) (m),ODP SAMPLE Inventory:: MBSF(mid) (m),ODP SAMPLE Inventory:: MCD(mid) (m),ODP SAMPLE Inventory:: CCSF(mid) (m),depth_model_1 (m),depth_model_note_1,older_depth_model_2 (m)
GEOFAR_KF13,,,,0.05,0.05,,,,,,0.05,depth model from Jonkers et al. 2020,
GEOFAR_KF13,,,,0.1,0.1,,,,,,0.1,depth model from Jonkers et al. 2020,
GEOFAR_KF13,,,,0.15,0.15,,,,,,0.15,depth model from Jonkers et al. 2020,
GEOFAR_KF13,,,,0.22,0.22,,,,,,0.22,depth model from Jonkers et al. 2020,
GEOFAR_KF13,,,,0.26,0.26,,,,,,0.26,depth model from Jonkers et al. 2020,
GEOFAR_KF13,,,,0.3,0.3,,,,,,0.3,depth model from Jonkers et al. 2020,
GEOFAR_KF13,,,,0.35,0.35,,,,,,0.35,depth model from Jonkers et al. 2020,
GEOFAR_KF13,,,,0.4,0.4,,,,,,0.4,depth model from Jonkers et al. 2020,
GEOFAR_KF13,,,,0.5,0.5,,,,,,0.5,depth model from Jonkers et al. 2020,
GEOFAR_KF13,,,,0.65,0.65,,,,,,0.65,depth model from Jonkers et al. 2020,
GEOFAR_KF13,,,,0.73,0.73,,,,,,0.73,depth model from Jonkers et al. 2020,
GEOFAR_KF13,,,,0.82,0.82,,,,,,0.82,depth model from Jonkers et al. 2020,
GEOFAR_KF13,,,,1.0,1.0,,,,,,1.0,depth model from Jonkers et al. 2020,
GEOFAR_KF13,,,,1.3,1.3,,,,,,1.3,depth model from Jonkers et al. 2020,
GEOFAR_KF13,,,,1.5,1.5,,,,,,1.5,depth model from Jonkers et al. 2020,
GEOFAR_KF13,,,,1.7,1.7,,,,,,1.7,depth model from Jonkers et al. 2020,
GEOFAR_KF13,,,,2.6,2.6,,,,,,2.6,depth model from Jonkers et al. 2020,
GEOFAR_KF13,,,,2.9,2.9,,,,,,2.9,depth model from Jonkers et al. 2020,
GEOFAR_KF13,,,,3.2,3.2,,,,,,3.2,depth model from Jonkers et al. 2020,
GEOFAR_KF13,,,,3.7,3.7,,,,,,3.7,depth model from Jonkers et al. 2020,
GEOFAR_KF13,,,,3.9,3.9,,,,,,3.9,depth model from Jonkers et al. 2020,
GEOFAR_KF13,,,,4.01,4.01,,,,,,4.01,depth model from Jonkers et al. 2020,
GEOFAR_KF13,,,,4.2,4.2,,,,,,4.2,depth model from Jonkers et al. 2020,
GEOFAR_KF13,,,,4.3,4.3,,,,,,4.3,depth model from Jonkers et al. 2020,
GEOFAR_KF13,,,,4.4,4.4,,,,,,4.4,depth model from Jonkers et al. 2020,
GEOFAR_KF13,,,,4.5,4.5,,,,,,4.5,depth model from Jonkers et al. 2020,
GEOFAR_KF13,,,,4.7,4.7,,,,,,4.7,depth model from Jonkers et al. 2020,
GEOFAR_KF13,,,,5.1,5.1,,,,,,5.1,depth model from Jonkers et al. 2020,
GEOFAR_KF13,,,,5.2,5.2,,,,,,5.2,depth model from Jonkers et al. 2020,
GEOFAR_KF13,,,,5.4,5.4,,,,,,5.4,depth model from Jonkers et al. 2020,
