Site,Sample Label,age_model_depth (m),age_model (y BP),age_model_sigma_plus(y BP),age_model_sigma_minus(y BP),upper_95_percent(y BP),lower_95_percent(y BP),age_flag,age_model_note,age_model_collection,quality control
GIK12379-3,,0.05,1206.9,,,,,4,Age model from Peterson and Lisiecki (2018),,1
GIK12379-3,,0.08,2237.5,,,,,4,Age model from Peterson and Lisiecki (2018),,1
GIK12379-3,,0.09,2586.6,,,,,4,Age model from Peterson and Lisiecki (2018),,1
GIK12379-3,,0.1,2946.1,,,,,4,Age model from Peterson and Lisiecki (2018),,1
GIK12379-3,,0.11,3309.8,,,,,4,Age model from Peterson and Lisiecki (2018),,1
GIK12379-3,,0.13,4010.9000000000005,,,,,4,Age model from Peterson and Lisiecki (2018),,1
GIK12379-3,,0.15,4512.7,,,,,4,Age model from Peterson and Lisiecki (2018),,1
GIK12379-3,,0.16,4728.2,,,,,4,Age model from Peterson and Lisiecki (2018),,1
GIK12379-3,,0.18,5143.3,,,,,4,Age model from Peterson and Lisiecki (2018),,1
GIK12379-3,,0.2,5560.3,,,,,4,Age model from Peterson and Lisiecki (2018),,1
GIK12379-3,,0.25,6687.599999999999,,,,,4,Age model from Peterson and Lisiecki (2018),,1
GIK12379-3,,0.28,7480.8,,,,,4,Age model from Peterson and Lisiecki (2018),,1
GIK12379-3,,0.3,7912.4,,,,,4,Age model from Peterson and Lisiecki (2018),,1
GIK12379-3,,0.35,8933.9,,,,,4,Age model from Peterson and Lisiecki (2018),,1
GIK12379-3,,0.38,9467.2,,,,,4,Age model from Peterson and Lisiecki (2018),,1
GIK12379-3,,0.4,9792.8,,,,,4,Age model from Peterson and Lisiecki (2018),,1
GIK12379-3,,0.45,10522.0,,,,,4,Age model from Peterson and Lisiecki (2018),,1
GIK12379-3,,0.47,10799.000000000002,,,,,4,Age model from Peterson and Lisiecki (2018),,1
GIK12379-3,,0.5,11235.0,,,,,4,Age model from Peterson and Lisiecki (2018),,1
GIK12379-3,,0.55,11942.0,,,,,4,Age model from Peterson and Lisiecki (2018),,1
GIK12379-3,,0.57,12164.000000000002,,,,,4,Age model from Peterson and Lisiecki (2018),,1
GIK12379-3,,0.6,12529.000000000002,,,,,4,Age model from Peterson and Lisiecki (2018),,1
GIK12379-3,,0.65,13149.0,,,,,4,Age model from Peterson and Lisiecki (2018),,1
