Site,Sample label,sample_depth,technique,lab. code,species/material,radiocarbon_age (y),radiocarbon_age_error_plus (y),radiocarbon_age_error_minus (y),reservoir_age (y),reservoir_age_error_plus (y),reservoir_age_error_minus (y),calendar_age (yBP),calendar_age_error_plus (yBP),calendar_age_error_minus (yBP),calibration curve,alignment target,alignment proxy,note1,note2,original reference,data doi
GIK15612_2,,0.007499999832361937,,,,2630.000114440918,29.999999329447746,29.999999329447746,465.0,50.8,50.8,2169.0,151.0,168.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,
GIK15612_2,,0.08500000089406967,,,,4469.99979019165,29.999999329447746,29.999999329447746,418.0,52.3,52.3,4570.0,246.0,157.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,
GIK15612_2,,0.3474999964237213,,,,12489.999771118164,59.99999865889549,59.99999865889549,691.0,124.7,124.7,13685.0,340.0,267.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,
GIK15612_2,,0.36250001192092896,,,,12720.000267028809,50.00000074505806,50.00000074505806,673.0,112.9,112.9,13926.0,365.0,325.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,
GIK15612_2,,0.44749999046325684,,,,15350.000381469727,59.99999865889549,59.99999865889549,907.0,130.0,130.0,17650.0,483.0,488.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,
GIK15612_2,,0.5249999761581421,,,,16870.0008392334,109.99999940395355,109.99999940395355,922.0,125.3,125.3,19247.0,342.0,365.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,
GIK15612_2,,0.6850000023841858,,,,19450.000762939453,109.99999940395355,109.99999940395355,1002.9999999999999,136.9,136.9,22395.0,468.0,343.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,
GIK15612_2,,0.7250000238418579,,,,18790.000915527344,109.99999940395355,109.99999940395355,1004.0,135.4,135.4,21576.0,480.0,555.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,
GIK15612_2,,0.7450000047683716,,,,20920.000076293945,180.00000715255737,180.00000715255737,965.0,137.9,137.9,24025.0,604.0,649.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,
GIK15612_2,,0.8224999904632568,,,,21649.999618530273,109.99999940395355,109.99999940395355,1077.0,137.4,137.4,24753.0,444.0,496.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,
GIK15612_2,,0.8675000071525574,,,,22579.999923706055,100.00000149011612,100.00000149011612,1157.0,151.79999999999998,151.79999999999998,25715.0,281.0,421.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,
GIK15612_2,,0.9850000143051147,,,,24799.999237060547,140.00000059604645,140.00000059604645,946.0,134.0,134.0,28063.0,494.0,356.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,
GIK15612_2,,0.9850000143051147,,,,24340.00015258789,219.9999988079071,219.9999988079071,1063.0,133.1,133.1,27515.0,365.0,356.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,
GIK15612_2,,1.0700000524520874,,,,27040.000915527344,289.99999165534973,289.99999165534973,1048.0,156.6,156.6,30361.0,680.0,681.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,
GIK15612_2,,1.1399999856948853,,,,28909.99984741211,360.00001430511475,360.00001430511475,858.0,151.29999999999998,151.29999999999998,32210.0,1029.0,971.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,
GIK15612_2,,1.3424999713897705,,,,32430.00030517578,239.99999463558197,239.99999463558197,989.0,124.0,124.0,35800.0,487.0,501.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,
GIK15612_2,,1.3424999713897705,,,,31200.000762939453,270.00001072883606,270.00001072883606,973.0,128.8,128.8,34713.0,567.0,490.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,
GIK15612_2,,1.3949999809265137,,,,31920.000076293945,460.00000834465027,460.00000834465027,957.0,135.4,135.4,35359.0,878.0,847.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,
GIK15612_2,,1.399999976158142,,,,34169.99816894531,990.0000095367432,990.0000095367432,822.0,216.20000000000002,216.20000000000002,38217.0,2330.0,2065.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,
GIK15612_2,,1.4850000143051147,,,,35830.00183105469,469.9999988079071,469.9999988079071,1152.0,159.1,159.1,39928.0,1085.0,976.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,
GIK15612_2,,1.5049999952316284,,,,35209.999084472656,500.0,500.0,1144.0,165.5,165.5,39010.0,1385.0,1455.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,
GIK15612_2,,1.5399999618530273,,,,34360.00061035156,319.9999928474426,319.9999928474426,933.0,140.6,140.6,38261.0,994.0,1075.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,
GIK15612_2,,1.5575000047683716,,,,35659.99984741211,740.0000095367432,740.0000095367432,1151.0,177.5,177.5,39574.0,1561.0,1944.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,
GIK15612_2,,1.6024999618530273,,,,36639.99938964844,1220.0000286102295,1220.0000286102295,1300.0,189.0,189.0,40373.0,1896.0,2510.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,
GIK15612_2,,1.662500023841858,,,,37790.000915527344,990.0000095367432,990.0000095367432,1347.0,191.70000000000002,191.70000000000002,41292.0,1159.0,1451.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,
GIK15612_2,,1.7450000047683716,,,,38250.0,1389.9999856948853,1389.9999856948853,1513.0,216.9,216.9,41409.0,1874.0,2032.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,
