Site,Sample Label,age_model_depth (m),age_model (y BP),age_model_sigma_plus(y BP),age_model_sigma_minus(y BP),upper_97.5_percent(y BP),lower_97.5_percent(y BP),age_flag,age_model_note,age_model_collection,quality control
GIK15612_2,,0.0075,2172.514404296875,,,2370.68994140625,1990.68994140625,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
GIK15612_2,,0.0175,2492.102294921875,,,2731.43798828125,2197.43798828125,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
GIK15612_2,,0.0275,2811.6875,,,3149.098388671875,2358.098388671875,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
GIK15612_2,,0.0375,3131.278076171875,,,3598.69287109375,2462.69287109375,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
GIK15612_2,,0.0475,3450.867431640625,,,4031.287109375,2579.287109375,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
GIK15612_2,,0.0575,3770.457275390625,,,4483.46435546875,2695.46435546875,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
GIK15612_2,,0.0675,4064.829833984375,,,4595.251953125,3302.251708984375,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
GIK15612_2,,0.0775,4356.08447265625,,,4700.01953125,3970.019287109375,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
GIK15612_2,,0.08750000000000001,4647.33447265625,,,4947.189453125,4417.189453125,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
GIK15612_2,,0.0975,4938.587890625,,,5603.2431640625,4507.2431640625,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
GIK15612_2,,0.1075,5229.83544921875,,,6283.33203125,4554.33203125,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
GIK15612_2,,0.11750000000000001,5555.82080078125,,,6750.88525390625,4694.88525390625,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
GIK15612_2,,0.1275,5891.64306640625,,,7141.42724609375,4773.42724609375,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
GIK15612_2,,0.1375,6227.451171875,,,7621.96923828125,4854.96923828125,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
GIK15612_2,,0.1475,6563.275390625,,,8310.51171875,4914.51123046875,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
GIK15612_2,,0.1575,6899.09130859375,,,9173.052734375,4966.05322265625,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
GIK15612_2,,0.1675,7273.224609375,,,9567.3466796875,5275.3466796875,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
GIK15612_2,,0.1775,7666.3125,,,9675.7470703125,5657.7470703125,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
GIK15612_2,,0.1875,8059.4013671875,,,9841.1484375,6000.14794921875,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
GIK15612_2,,0.1975,8452.4833984375,,,10364.548828125,6230.54833984375,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
GIK15612_2,,0.20750000000000002,8845.56640625,,,11303.94921875,6387.94873046875,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
GIK15612_2,,0.2175,9174.6005859375,,,11747.12109375,6670.12158203125,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
GIK15612_2,,0.2275,9453.0419921875,,,11864.53515625,7023.53564453125,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
GIK15612_2,,0.23750000000000002,9731.5068359375,,,12003.94921875,7226.94921875,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
GIK15612_2,,0.2475,10009.9521484375,,,12163.7197265625,7359.7197265625,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
GIK15612_2,,0.2575,10288.4189453125,,,12372.798828125,7554.798828125,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
GIK15612_2,,0.2675,10652.650390625,,,12508.83984375,8206.83984375,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
GIK15612_2,,0.2775,11122.326171875,,,12666.1796875,9323.1796875,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
GIK15612_2,,0.28750000000000003,11592.001953125,,,12821.51953125,10273.51953125,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
GIK15612_2,,0.2975,12061.6923828125,,,13018.68359375,11100.68359375,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
GIK15612_2,,0.3075,12531.365234375,,,13314.5390625,11603.5390625,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
GIK15612_2,,0.3175,12921.8447265625,,,13664.6103515625,12010.6103515625,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
GIK15612_2,,0.3275,13157.3681640625,,,13732.33203125,12478.33203125,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
GIK15612_2,,0.3375,13392.8876953125,,,13809.4189453125,12912.4189453125,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
GIK15612_2,,0.34750000000000003,13628.4130859375,,,13941.7490234375,13307.7490234375,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
GIK15612_2,,0.3575,13863.9208984375,,,14186.2109375,13599.2109375,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
GIK15612_2,,0.3675,14163.0263671875,,,14580.337890625,13850.337890625,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
GIK15612_2,,0.3775,14677.515625,,,15142.958984375,14212.958984375,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
GIK15612_2,,0.3875,15192.0224609375,,,15726.0458984375,14426.0458984375,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
