Site,Sample_label,hole_label,section_label,published_archival_depth (m),current_depth_model (m),current_depth_model_note,ODP SAMPLE Inventory:: DEPTH(mid) (m),ODP SAMPLE Inventory:: MBSF(mid) (m),ODP SAMPLE Inventory:: MCD(mid) (m),ODP SAMPLE Inventory:: CCSF(mid) (m),depth_model_1 (m),depth_model_note_1,older_depth_model_2 (m)
GIK15612_2,,,,0.005,0.005,,,,,,0.005,depth model from Jonkers et al. 2020,
GIK15612_2,,,,0.055,0.055,,,,,,0.055,depth model from Jonkers et al. 2020,
GIK15612_2,,,,0.105,0.105,,,,,,0.105,depth model from Jonkers et al. 2020,
GIK15612_2,,,,0.16,0.16,,,,,,0.16,depth model from Jonkers et al. 2020,
GIK15612_2,,,,0.205,0.205,,,,,,0.205,depth model from Jonkers et al. 2020,
GIK15612_2,,,,0.23,0.23,,,,,,0.23,depth model from Jonkers et al. 2020,
GIK15612_2,,,,0.2325,0.2325,,,,,,0.2325,depth model from Jonkers et al. 2020,
GIK15612_2,,,,0.25,0.25,,,,,,0.25,depth model from Jonkers et al. 2020,
GIK15612_2,,,,0.27,0.27,,,,,,0.27,depth model from Jonkers et al. 2020,
GIK15612_2,,,,0.2825,0.2825,,,,,,0.2825,depth model from Jonkers et al. 2020,
GIK15612_2,,,,0.29,0.29,,,,,,0.29,depth model from Jonkers et al. 2020,
GIK15612_2,,,,0.3175,0.3175,,,,,,0.3175,depth model from Jonkers et al. 2020,
GIK15612_2,,,,0.33,0.33,,,,,,0.33,depth model from Jonkers et al. 2020,
GIK15612_2,,,,0.35,0.35,,,,,,0.35,depth model from Jonkers et al. 2020,
GIK15612_2,,,,0.37,0.37,,,,,,0.37,depth model from Jonkers et al. 2020,
GIK15612_2,,,,0.39,0.39,,,,,,0.39,depth model from Jonkers et al. 2020,
GIK15612_2,,,,0.43,0.43,,,,,,0.43,depth model from Jonkers et al. 2020,
GIK15612_2,,,,0.45,0.45,,,,,,0.45,depth model from Jonkers et al. 2020,
GIK15612_2,,,,0.47,0.47,,,,,,0.47,depth model from Jonkers et al. 2020,
GIK15612_2,,,,0.49,0.49,,,,,,0.49,depth model from Jonkers et al. 2020,
GIK15612_2,,,,0.51,0.51,,,,,,0.51,depth model from Jonkers et al. 2020,
GIK15612_2,,,,0.53,0.53,,,,,,0.53,depth model from Jonkers et al. 2020,
GIK15612_2,,,,0.55,0.55,,,,,,0.55,depth model from Jonkers et al. 2020,
GIK15612_2,,,,0.57,0.57,,,,,,0.57,depth model from Jonkers et al. 2020,
GIK15612_2,,,,0.59,0.59,,,,,,0.59,depth model from Jonkers et al. 2020,
GIK15612_2,,,,0.605,0.605,,,,,,0.605,depth model from Jonkers et al. 2020,
GIK15612_2,,,,0.63,0.63,,,,,,0.63,depth model from Jonkers et al. 2020,
GIK15612_2,,,,0.67,0.67,,,,,,0.67,depth model from Jonkers et al. 2020,
GIK15612_2,,,,0.73,0.73,,,,,,0.73,depth model from Jonkers et al. 2020,
GIK15612_2,,,,0.75,0.75,,,,,,0.75,depth model from Jonkers et al. 2020,
GIK15612_2,,,,0.77,0.77,,,,,,0.77,depth model from Jonkers et al. 2020,
GIK15612_2,,,,0.83,0.83,,,,,,0.83,depth model from Jonkers et al. 2020,
GIK15612_2,,,,0.87,0.87,,,,,,0.87,depth model from Jonkers et al. 2020,
GIK15612_2,,,,0.89,0.89,,,,,,0.89,depth model from Jonkers et al. 2020,
GIK15612_2,,,,0.908,0.908,,,,,,0.908,depth model from Jonkers et al. 2020,
GIK15612_2,,,,0.95,0.95,,,,,,0.95,depth model from Jonkers et al. 2020,
GIK15612_2,,,,0.97,0.97,,,,,,0.97,depth model from Jonkers et al. 2020,
GIK15612_2,,,,0.985,0.985,,,,,,0.985,depth model from Jonkers et al. 2020,
GIK15612_2,,,,1.005,1.005,,,,,,1.005,depth model from Jonkers et al. 2020,
GIK15612_2,,,,1.04,1.04,,,,,,1.04,depth model from Jonkers et al. 2020,
GIK15612_2,,,,1.07,1.07,,,,,,1.07,depth model from Jonkers et al. 2020,
GIK15612_2,,,,1.105,1.105,,,,,,1.105,depth model from Jonkers et al. 2020,
GIK15612_2,,,,1.14,1.14,,,,,,1.14,depth model from Jonkers et al. 2020,
GIK15612_2,,,,1.17,1.17,,,,,,1.17,depth model from Jonkers et al. 2020,
GIK15612_2,,,,1.205,1.205,,,,,,1.205,depth model from Jonkers et al. 2020,
GIK15612_2,,,,1.24,1.24,,,,,,1.24,depth model from Jonkers et al. 2020,
GIK15612_2,,,,1.27,1.27,,,,,,1.27,depth model from Jonkers et al. 2020,
GIK15612_2,,,,1.305,1.305,,,,,,1.305,depth model from Jonkers et al. 2020,
GIK15612_2,,,,1.34,1.34,,,,,,1.34,depth model from Jonkers et al. 2020,
GIK15612_2,,,,1.3575,1.3575,,,,,,1.3575,depth model from Jonkers et al. 2020,
GIK15612_2,,,,1.37,1.37,,,,,,1.37,depth model from Jonkers et al. 2020,
GIK15612_2,,,,1.375,1.375,,,,,,1.375,depth model from Jonkers et al. 2020,
GIK15612_2,,,,1.395,1.395,,,,,,1.395,depth model from Jonkers et al. 2020,
GIK15612_2,,,,1.405,1.405,,,,,,1.405,depth model from Jonkers et al. 2020,
GIK15612_2,,,,1.475,1.475,,,,,,1.475,depth model from Jonkers et al. 2020,
GIK15612_2,,,,1.485,1.485,,,,,,1.485,depth model from Jonkers et al. 2020,
