Site,Sample Label,archival_depth (m),d13C (VPDB),d18O (VPDB),d13C_corrected (PDB),d18O_corrected (PDB),Number of shells,Minimum mesh size (um),Maximum mesh size (um),Taxon,Taxon_flag,Taxon_note1,Taxon_note2,Taxon_note3,Additional_note,Publication source,Original Reference,File Name,Data source,quality control,
GIK15612_2,,0.005,1.21,2.41,1.21,2.41,5-7,315,400,Cibicidoides wuellerstorfi,1,,,,,Jonkers et al. 2020 compilation,"Sarnthein, M., Winn, K., Jung, S. J. A., Duplessy, J.-C., Labeyrie, L., Erlenkeuser, H. and Ganssen, G.: Changes in East Atlantic Deepwater Circulation over the last 30,000 years: Eight time slice reconstructions, Paleoceanography, 9(2), 209–267, doi:10.1029/93pa03301, 1994. AND Cannot get citation for doi: 10.2312/reports-gpi.1998.90, probably a report.",,https://doi.pangaea.de/10.1594/PANGAEA.54369, https://doi.pangaea.de/10.1594/PANGAEA.55942,1
GIK15612_2,,0.055,0.98,2.51,0.98,2.51,5-7,315,400,Cibicidoides wuellerstorfi,1,,,,,Jonkers et al. 2020 compilation,"Sarnthein, M., Winn, K., Jung, S. J. A., Duplessy, J.-C., Labeyrie, L., Erlenkeuser, H. and Ganssen, G.: Changes in East Atlantic Deepwater Circulation over the last 30,000 years: Eight time slice reconstructions, Paleoceanography, 9(2), 209–267, doi:10.1029/93pa03301, 1994. AND Cannot get citation for doi: 10.2312/reports-gpi.1998.90, probably a report.",,https://doi.pangaea.de/10.1594/PANGAEA.54369, https://doi.pangaea.de/10.1594/PANGAEA.55942,1
GIK15612_2,,0.105,1.25,2.46,1.25,2.46,5-7,315,400,Cibicidoides wuellerstorfi,1,,,,,Jonkers et al. 2020 compilation,"Sarnthein, M., Winn, K., Jung, S. J. A., Duplessy, J.-C., Labeyrie, L., Erlenkeuser, H. and Ganssen, G.: Changes in East Atlantic Deepwater Circulation over the last 30,000 years: Eight time slice reconstructions, Paleoceanography, 9(2), 209–267, doi:10.1029/93pa03301, 1994. AND Cannot get citation for doi: 10.2312/reports-gpi.1998.90, probably a report.",,https://doi.pangaea.de/10.1594/PANGAEA.54369, https://doi.pangaea.de/10.1594/PANGAEA.55942,1
GIK15612_2,,0.16,1.2,2.66,1.2,2.66,5-7,315,400,Cibicidoides wuellerstorfi,1,,,,,Jonkers et al. 2020 compilation,"Sarnthein, M., Winn, K., Jung, S. J. A., Duplessy, J.-C., Labeyrie, L., Erlenkeuser, H. and Ganssen, G.: Changes in East Atlantic Deepwater Circulation over the last 30,000 years: Eight time slice reconstructions, Paleoceanography, 9(2), 209–267, doi:10.1029/93pa03301, 1994. AND Cannot get citation for doi: 10.2312/reports-gpi.1998.90, probably a report.",,https://doi.pangaea.de/10.1594/PANGAEA.54369, https://doi.pangaea.de/10.1594/PANGAEA.55942,1
GIK15612_2,,0.205,0.91,2.67,0.91,2.67,5-7,315,400,Cibicidoides wuellerstorfi,1,,,,,Jonkers et al. 2020 compilation,"Sarnthein, M., Winn, K., Jung, S. J. A., Duplessy, J.-C., Labeyrie, L., Erlenkeuser, H. and Ganssen, G.: Changes in East Atlantic Deepwater Circulation over the last 30,000 years: Eight time slice reconstructions, Paleoceanography, 9(2), 209–267, doi:10.1029/93pa03301, 1994. AND Cannot get citation for doi: 10.2312/reports-gpi.1998.90, probably a report.",,https://doi.pangaea.de/10.1594/PANGAEA.54369, https://doi.pangaea.de/10.1594/PANGAEA.55942,1
GIK15612_2,,0.23,0.99,2.71,0.99,2.71,5-7,315,400,Cibicidoides wuellerstorfi,1,,,,,Jonkers et al. 2020 compilation,"Sarnthein, M., Winn, K., Jung, S. J. A., Duplessy, J.-C., Labeyrie, L., Erlenkeuser, H. and Ganssen, G.: Changes in East Atlantic Deepwater Circulation over the last 30,000 years: Eight time slice reconstructions, Paleoceanography, 9(2), 209–267, doi:10.1029/93pa03301, 1994. AND Cannot get citation for doi: 10.2312/reports-gpi.1998.90, probably a report.",,https://doi.pangaea.de/10.1594/PANGAEA.54369, https://doi.pangaea.de/10.1594/PANGAEA.55942,1
GIK15612_2,,0.2325,1.06,2.79,1.06,2.79,5-7,315,400,Cibicidoides wuellerstorfi,1,,,,,Jonkers et al. 2020 compilation,"Sarnthein, M., Winn, K., Jung, S. J. A., Duplessy, J.-C., Labeyrie, L., Erlenkeuser, H. and Ganssen, G.: Changes in East Atlantic Deepwater Circulation over the last 30,000 years: Eight time slice reconstructions, Paleoceanography, 9(2), 209–267, doi:10.1029/93pa03301, 1994. AND Cannot get citation for doi: 10.2312/reports-gpi.1998.90, probably a report.",,https://doi.pangaea.de/10.1594/PANGAEA.54369, https://doi.pangaea.de/10.1594/PANGAEA.55942,1
GIK15612_2,,0.25,0.87,2.97,0.87,2.97,5-7,315,400,Cibicidoides wuellerstorfi,1,,,,,Jonkers et al. 2020 compilation,"Sarnthein, M., Winn, K., Jung, S. J. A., Duplessy, J.-C., Labeyrie, L., Erlenkeuser, H. and Ganssen, G.: Changes in East Atlantic Deepwater Circulation over the last 30,000 years: Eight time slice reconstructions, Paleoceanography, 9(2), 209–267, doi:10.1029/93pa03301, 1994. AND Cannot get citation for doi: 10.2312/reports-gpi.1998.90, probably a report.",,https://doi.pangaea.de/10.1594/PANGAEA.54369, https://doi.pangaea.de/10.1594/PANGAEA.55942,1
GIK15612_2,,0.27,0.88,3.1,0.88,3.1,5-7,315,400,Cibicidoides wuellerstorfi,1,,,,,Jonkers et al. 2020 compilation,"Sarnthein, M., Winn, K., Jung, S. J. A., Duplessy, J.-C., Labeyrie, L., Erlenkeuser, H. and Ganssen, G.: Changes in East Atlantic Deepwater Circulation over the last 30,000 years: Eight time slice reconstructions, Paleoceanography, 9(2), 209–267, doi:10.1029/93pa03301, 1994. AND Cannot get citation for doi: 10.2312/reports-gpi.1998.90, probably a report.",,https://doi.pangaea.de/10.1594/PANGAEA.54369, https://doi.pangaea.de/10.1594/PANGAEA.55942,1
GIK15612_2,,0.2825,1.13,3.37,1.13,3.37,5-7,315,400,Cibicidoides wuellerstorfi,1,,,,,Jonkers et al. 2020 compilation,"Sarnthein, M., Winn, K., Jung, S. J. A., Duplessy, J.-C., Labeyrie, L., Erlenkeuser, H. and Ganssen, G.: Changes in East Atlantic Deepwater Circulation over the last 30,000 years: Eight time slice reconstructions, Paleoceanography, 9(2), 209–267, doi:10.1029/93pa03301, 1994. AND Cannot get citation for doi: 10.2312/reports-gpi.1998.90, probably a report.",,https://doi.pangaea.de/10.1594/PANGAEA.54369, https://doi.pangaea.de/10.1594/PANGAEA.55942,1
