Site,Sample Label,age_model_depth (m),age_model (y BP),age_model_sigma_plus(y BP),age_model_sigma_minus(y BP),upper_95_percent(y BP),lower_95_percent(y BP),age_flag,age_model_note,age_model_collection,quality control
GIK15637_1,,0.0075,5488.5083007813,,,5647.2900390625,5292.2900390625,3,Age model from Jonkers et al. (2020),,1
GIK15637_1,,0.0175,5652.0083007813,,,5795.79296875,5494.79296875,3,Age model from Jonkers et al. (2020),,1
GIK15637_1,,0.0275,5815.5014648438,,,5934.8979492188,5662.8979492188,3,Age model from Jonkers et al. (2020),,1
GIK15637_1,,0.0375,5978.9916992188,,,6112.0317382813,5824.0317382813,3,Age model from Jonkers et al. (2020),,1
GIK15637_1,,0.0475,6142.4975585938,,,6309.0263671875,5950.0263671875,3,Age model from Jonkers et al. (2020),,1
GIK15637_1,,0.0575,6305.9951171875,,,6516.3051757813,6074.3051757813,3,Age model from Jonkers et al. (2020),,1
GIK15637_1,,0.0675,6396.0673828125,,,6566.0400390625,6198.0400390625,3,Age model from Jonkers et al. (2020),,1
GIK15637_1,,0.0775,6480.0009765625,,,6646.431640625,6305.431640625,3,Age model from Jonkers et al. (2020),,1
GIK15637_1,,0.0875,6563.9340820313,,,6712.8237304688,6406.8237304688,3,Age model from Jonkers et al. (2020),,1
GIK15637_1,,0.0975,6647.8686523438,,,6846.9672851563,6446.9672851563,3,Age model from Jonkers et al. (2020),,1
GIK15637_1,,0.1075,6731.7768554688,,,6975.7983398438,6498.7983398438,3,Age model from Jonkers et al. (2020),,1
GIK15637_1,,0.1175,6902.958984375,,,7121.7885742188,6714.7885742188,3,Age model from Jonkers et al. (2020),,1
GIK15637_1,,0.1275,7090.125,,,7386.7265625,6837.7265625,3,Age model from Jonkers et al. (2020),,1
GIK15637_1,,0.1375,7277.28515625,,,7698.9155273438,6903.9155273438,3,Age model from Jonkers et al. (2020),,1
GIK15637_1,,0.1475,7464.4536132813,,,8033.7202148438,6947.7202148438,3,Age model from Jonkers et al. (2020),,1
GIK15637_1,,0.1575,7651.6215820313,,,8390.26953125,6990.2690429688,3,Age model from Jonkers et al. (2020),,1
GIK15637_1,,0.1675,8017.3920898438,,,8681.7958984375,7432.7958984375,3,Age model from Jonkers et al. (2020),,1
GIK15637_1,,0.1775,8437.1708984375,,,8960.0771484375,7986.0771484375,3,Age model from Jonkers et al. (2020),,1
GIK15637_1,,0.1875,8856.9453125,,,9252.732421875,8510.732421875,3,Age model from Jonkers et al. (2020),,1
GIK15637_1,,0.1975,9276.74609375,,,9573.6025390625,8988.6025390625,3,Age model from Jonkers et al. (2020),,1
GIK15637_1,,0.2075,9696.5400390625,,,9962.4736328125,9417.4736328125,3,Age model from Jonkers et al. (2020),,1
GIK15637_1,,0.2175,9927.7763671875,,,10189.8466796875,9649.8466796875,3,Age model from Jonkers et al. (2020),,1
GIK15637_1,,0.2275,10074.5673828125,,,10353.146484375,9764.146484375,3,Age model from Jonkers et al. (2020),,1
GIK15637_1,,0.2375,10221.3115234375,,,10586.4072265625,9829.4072265625,3,Age model from Jonkers et al. (2020),,1
GIK15637_1,,0.2475,10368.056640625,,,10841.6669921875,9887.6669921875,3,Age model from Jonkers et al. (2020),,1
GIK15637_1,,0.2575,10514.830078125,,,11109.9267578125,9932.9267578125,3,Age model from Jonkers et al. (2020),,1
GIK15637_1,,0.2675,10667.251953125,,,11258.2978515625,10119.2978515625,3,Age model from Jonkers et al. (2020),,1
GIK15637_1,,0.2775,10823.2265625,,,11335.9794921875,10376.9794921875,3,Age model from Jonkers et al. (2020),,1
GIK15637_1,,0.2875,10979.2255859375,,,11422.279296875,10597.279296875,3,Age model from Jonkers et al. (2020),,1
GIK15637_1,,0.2975,11135.2353515625,,,11535.8076171875,10793.8076171875,3,Age model from Jonkers et al. (2020),,1
