Site,Sample_label,hole_label,section_label,published_archival_depth (m),current_depth_model (m),current_depth_model_note,ODP SAMPLE Inventory:: DEPTH(mid) (m),ODP SAMPLE Inventory:: MBSF(mid) (m),ODP SAMPLE Inventory:: MCD(mid) (m),ODP SAMPLE Inventory:: CCSF(mid) (m),depth_model_1 (m),depth_model_note_1,older_depth_model_2 (m)
GIK15669-1,,,,0.0,0.0,,,,,,0.0,,
GIK15669-1,,,,0.1,0.1,,,,,,0.1,,
GIK15669-1,,,,0.15,0.15,,,,,,0.15,,
GIK15669-1,,,,0.2,0.2,,,,,,0.2,,
GIK15669-1,,,,0.25,0.25,,,,,,0.25,,
GIK15669-1,,,,0.3,0.3,,,,,,0.3,,
GIK15669-1,,,,0.35,0.35,,,,,,0.35,,
GIK15669-1,,,,0.4,0.4,,,,,,0.4,,
GIK15669-1,,,,0.45,0.45,,,,,,0.45,,
GIK15669-1,,,,0.5,0.5,,,,,,0.5,,
GIK15669-1,,,,0.55,0.55,,,,,,0.55,,
GIK15669-1,,,,0.6,0.6,,,,,,0.6,,
GIK15669-1,,,,0.65,0.65,,,,,,0.65,,
GIK15669-1,,,,0.65,0.65,,,,,,0.65,,
GIK15669-1,,,,0.65,0.65,,,,,,0.65,,
GIK15669-1,,,,0.65,0.65,,,,,,0.65,,
GIK15669-1,,,,0.65,0.65,,,,,,0.65,,
GIK15669-1,,,,0.7,0.7,,,,,,0.7,,
GIK15669-1,,,,0.7,0.7,,,,,,0.7,,
GIK15669-1,,,,0.7,0.7,,,,,,0.7,,
GIK15669-1,,,,0.7,0.7,,,,,,0.7,,
GIK15669-1,,,,0.75,0.75,,,,,,0.75,,
GIK15669-1,,,,0.75,0.75,,,,,,0.75,,
GIK15669-1,,,,0.75,0.75,,,,,,0.75,,
GIK15669-1,,,,0.75,0.75,,,,,,0.75,,
GIK15669-1,,,,0.8,0.8,,,,,,0.8,,
GIK15669-1,,,,0.8,0.8,,,,,,0.8,,
GIK15669-1,,,,0.8,0.8,,,,,,0.8,,
GIK15669-1,,,,0.8,0.8,,,,,,0.8,,
GIK15669-1,,,,0.85,0.85,,,,,,0.85,,
GIK15669-1,,,,0.85,0.85,,,,,,0.85,,
GIK15669-1,,,,0.85,0.85,,,,,,0.85,,
GIK15669-1,,,,0.85,0.85,,,,,,0.85,,
GIK15669-1,,,,0.9,0.9,,,,,,0.9,,
GIK15669-1,,,,0.9,0.9,,,,,,0.9,,
GIK15669-1,,,,0.9,0.9,,,,,,0.9,,
GIK15669-1,,,,0.9,0.9,,,,,,0.9,,
GIK15669-1,,,,0.95,0.95,,,,,,0.95,,
GIK15669-1,,,,0.98,0.98,,,,,,0.98,,
GIK15669-1,,,,1.05,1.05,,,,,,1.05,,
GIK15669-1,,,,1.1,1.1,,,,,,1.1,,
GIK15669-1,,,,1.15,1.15,,,,,,1.15,,
GIK15669-1,,,,1.2,1.2,,,,,,1.2,,
GIK15669-1,,,,1.25,1.25,,,,,,1.25,,
