Site,Sample_label,hole_label,section_label,published_archival_depth (m),current_depth_model (m),current_depth_model_note,ODP SAMPLE Inventory:: DEPTH(mid) (m),ODP SAMPLE Inventory:: MBSF(mid) (m),ODP SAMPLE Inventory:: MCD(mid) (m),ODP SAMPLE Inventory:: CCSF(mid) (m),depth_model_1 (m),depth_model_note_1,older_depth_model_2 (m)
GIK16004,,,,0.005,0.005,,,,,,0.005,depth model from Repschlaeger et al. 2021,
GIK16004,,,,0.045,0.045,,,,,,0.045,depth model from Repschlaeger et al. 2021,
GIK16004,,,,0.155,0.155,,,,,,0.155,depth model from Repschlaeger et al. 2021,
GIK16004,,,,0.255,0.255,,,,,,0.255,depth model from Repschlaeger et al. 2021,
GIK16004,,,,0.305,0.305,,,,,,0.305,depth model from Repschlaeger et al. 2021,
GIK16004,,,,0.355,0.355,,,,,,0.355,depth model from Repschlaeger et al. 2021,
GIK16004,,,,0.37,0.37,,,,,,0.37,depth model from Repschlaeger et al. 2021,
GIK16004,,,,0.39,0.39,,,,,,0.39,depth model from Repschlaeger et al. 2021,
GIK16004,,,,0.41,0.41,,,,,,0.41,depth model from Repschlaeger et al. 2021,
GIK16004,,,,0.425,0.425,,,,,,0.425,depth model from Repschlaeger et al. 2021,
GIK16004,,,,0.555,0.555,,,,,,0.555,depth model from Repschlaeger et al. 2021,
GIK16004,,,,0.56,0.56,,,,,,0.56,depth model from Repschlaeger et al. 2021,
GIK16004,,,,0.58,0.58,,,,,,0.58,depth model from Repschlaeger et al. 2021,
GIK16004,,,,0.6,0.6,,,,,,0.6,depth model from Repschlaeger et al. 2021,
GIK16004,,,,0.605,0.605,,,,,,0.605,depth model from Repschlaeger et al. 2021,
GIK16004,,,,0.655,0.655,,,,,,0.655,depth model from Repschlaeger et al. 2021,
GIK16004,,,,0.715,0.715,,,,,,0.715,depth model from Repschlaeger et al. 2021,
GIK16004,,,,0.755,0.755,,,,,,0.755,depth model from Repschlaeger et al. 2021,
GIK16004,,,,0.855,0.855,,,,,,0.855,depth model from Repschlaeger et al. 2021,
GIK16004,,,,0.905,0.905,,,,,,0.905,depth model from Repschlaeger et al. 2021,
GIK16004,,,,0.955,0.955,,,,,,0.955,depth model from Repschlaeger et al. 2021,
GIK16004,,,,1.005,1.005,,,,,,1.005,depth model from Repschlaeger et al. 2021,
GIK16004,,,,1.005,1.005,,,,,,1.005,depth model from Repschlaeger et al. 2021,
GIK16004,,,,1.005,1.005,,,,,,1.005,depth model from Repschlaeger et al. 2021,
GIK16004,,,,1.055,1.055,,,,,,1.055,depth model from Repschlaeger et al. 2021,
GIK16004,,,,1.105,1.105,,,,,,1.105,depth model from Repschlaeger et al. 2021,
GIK16004,,,,1.205,1.205,,,,,,1.205,depth model from Repschlaeger et al. 2021,
GIK16004,,,,1.305,1.305,,,,,,1.305,depth model from Repschlaeger et al. 2021,
GIK16004,,,,1.405,1.405,,,,,,1.405,depth model from Repschlaeger et al. 2021,
GIK16004,,,,1.505,1.505,,,,,,1.505,depth model from Repschlaeger et al. 2021,
GIK16004,,,,1.605,1.605,,,,,,1.605,depth model from Repschlaeger et al. 2021,
GIK16004,,,,1.695,1.695,,,,,,1.695,depth model from Repschlaeger et al. 2021,
GIK16004,,,,1.805,1.805,,,,,,1.805,depth model from Repschlaeger et al. 2021,
GIK16004,,,,1.905,1.905,,,,,,1.905,depth model from Repschlaeger et al. 2021,
GIK16004,,,,2.005,2.005,,,,,,2.005,depth model from Repschlaeger et al. 2021,
GIK16004,,,,2.105,2.105,,,,,,2.105,depth model from Repschlaeger et al. 2021,
GIK16004,,,,2.205,2.205,,,,,,2.205,depth model from Repschlaeger et al. 2021,
GIK16004,,,,2.305,2.305,,,,,,2.305,depth model from Repschlaeger et al. 2021,
GIK16004,,,,2.405,2.405,,,,,,2.405,depth model from Repschlaeger et al. 2021,
GIK16004,,,,2.505,2.505,,,,,,2.505,depth model from Repschlaeger et al. 2021,
GIK16004,,,,2.605,2.605,,,,,,2.605,depth model from Repschlaeger et al. 2021,
GIK16004,,,,2.705,2.705,,,,,,2.705,depth model from Repschlaeger et al. 2021,
GIK16004,,,,2.805,2.805,,,,,,2.805,depth model from Repschlaeger et al. 2021,
GIK16004,,,,2.905,2.905,,,,,,2.905,depth model from Repschlaeger et al. 2021,
GIK16004,,,,3.005,3.005,,,,,,3.005,depth model from Repschlaeger et al. 2021,
GIK16004,,,,3.105,3.105,,,,,,3.105,depth model from Repschlaeger et al. 2021,
GIK16004,,,,3.195,3.195,,,,,,3.195,depth model from Repschlaeger et al. 2021,
GIK16004,,,,3.305,3.305,,,,,,3.305,depth model from Repschlaeger et al. 2021,
GIK16004,,,,3.405,3.405,,,,,,3.405,depth model from Repschlaeger et al. 2021,
GIK16004,,,,3.505,3.505,,,,,,3.505,depth model from Repschlaeger et al. 2021,
GIK16004,,,,3.605,3.605,,,,,,3.605,depth model from Repschlaeger et al. 2021,
GIK16004,,,,3.705,3.705,,,,,,3.705,depth model from Repschlaeger et al. 2021,
GIK16004,,,,3.805,3.805,,,,,,3.805,depth model from Repschlaeger et al. 2021,
GIK16004,,,,3.905,3.905,,,,,,3.905,depth model from Repschlaeger et al. 2021,
GIK16004,,,,3.955,3.955,,,,,,3.955,depth model from Repschlaeger et al. 2021,
GIK16004,,,,4.005,4.005,,,,,,4.005,depth model from Repschlaeger et al. 2021,
GIK16004,,,,4.055,4.055,,,,,,4.055,depth model from Repschlaeger et al. 2021,
GIK16004,,,,4.095,4.095,,,,,,4.095,depth model from Repschlaeger et al. 2021,
GIK16004,,,,4.095,4.095,,,,,,4.095,depth model from Repschlaeger et al. 2021,
GIK16004,,,,4.095,4.095,,,,,,4.095,depth model from Repschlaeger et al. 2021,
GIK16004,,,,4.155,4.155,,,,,,4.155,depth model from Repschlaeger et al. 2021,
GIK16004,,,,4.205,4.205,,,,,,4.205,depth model from Repschlaeger et al. 2021,
GIK16004,,,,4.255,4.255,,,,,,4.255,depth model from Repschlaeger et al. 2021,
GIK16004,,,,4.285,4.285,,,,,,4.285,depth model from Repschlaeger et al. 2021,
GIK16004,,,,4.355,4.355,,,,,,4.355,depth model from Repschlaeger et al. 2021,
GIK16004,,,,4.405,4.405,,,,,,4.405,depth model from Repschlaeger et al. 2021,
