Site,Sample Label,age_model_depth (m),age_model (y BP),age_model_sigma_plus(y BP),age_model_sigma_minus(y BP),upper_97.5_percent(y BP),lower_97.5_percent(y BP),age_flag,age_model_note,age_model_collection,quality control
GIK16006-1,,0.005,504.84527587890625,,,756.10888671875,246.10890197753906,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
GIK16006-1,,0.015,677.3912963867188,,,988.7492065429688,357.74920654296875,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
GIK16006-1,,0.025,849.9378051757812,,,1340.66748046875,434.66741943359375,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
GIK16006-1,,0.035,1022.485107421875,,,1713.585693359375,489.58563232421875,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
GIK16006-1,,0.045,1195.0316162109375,,,2113.50390625,549.5037841796875,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
GIK16006-1,,0.055,1367.577392578125,,,2520.421875,586.4219970703125,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
GIK16006-1,,0.065,1555.4407958984375,,,2708.90234375,730.9024658203125,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
GIK16006-1,,0.075,1743.6622314453125,,,2917.40771484375,841.4075927734375,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
GIK16006-1,,0.085,1931.8785400390625,,,3123.91259765625,939.9126586914062,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
GIK16006-1,,0.095,2120.1005859375,,,3474.417724609375,1002.4177856445312,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
