Site,Sample Label,archival_depth (m),d13C (VPDB),d18O (VPDB),d13C_corrected (PDB),d18O_corrected (PDB),Number of shells,Minimum mesh size (um),Maximum mesh size (um),Taxon,Taxon_flag,Taxon_note1,Taxon_note2,Taxon_note3,Additional_note,Publication source,Original Reference,File Name,Data source,quality control
GIK16006-1,,0.005,1.17,1.67,,,,,,Cibicidoides wuellerstorfi,1,,,,,Peterson and Lisiecki (2018) compilation, Sarnthein et al. (1994),,https://doi.org/10.1594/PANGAEA.54372,1
GIK16006-1,,0.605,1.21,2.69,,,,,,Cibicidoides wuellerstorfi,1,,,,,Peterson and Lisiecki (2018) compilation, Sarnthein et al. (1994),,https://doi.org/10.1594/PANGAEA.54372,1
GIK16006-1,,0.64,1.09,3.21,,,,,,Cibicidoides wuellerstorfi,1,,,,,Peterson and Lisiecki (2018) compilation, Sarnthein et al. (1994),,https://doi.org/10.1594/PANGAEA.54372,1
GIK16006-1,,0.66,1.13,3.05,,,,,,Cibicidoides wuellerstorfi,1,,,,,Peterson and Lisiecki (2018) compilation, Sarnthein et al. (1994),,https://doi.org/10.1594/PANGAEA.54372,1
GIK16006-1,,0.68,1,3.02,,,,,,Cibicidoides wuellerstorfi,1,,,,,Peterson and Lisiecki (2018) compilation, Sarnthein et al. (1994),,https://doi.org/10.1594/PANGAEA.54372,1
GIK16006-1,,0.75,1.03,2.63,,,,,,Cibicidoides wuellerstorfi,1,,,,,Peterson and Lisiecki (2018) compilation, Sarnthein et al. (1994),,https://doi.org/10.1594/PANGAEA.54372,1
GIK16006-1,,0.8,1.39,2.76,,,,,,Cibicidoides wuellerstorfi,1,,,,,Peterson and Lisiecki (2018) compilation, Sarnthein et al. (1994),,https://doi.org/10.1594/PANGAEA.54372,1
GIK16006-1,,0.805,1.51,3.19,,,,,,Cibicidoides wuellerstorfi,1,,,,,Peterson and Lisiecki (2018) compilation, Sarnthein et al. (1994),,https://doi.org/10.1594/PANGAEA.54372,1
GIK16006-1,,0.82,1.34,3.08,,,,,,Cibicidoides wuellerstorfi,1,,,,,Peterson and Lisiecki (2018) compilation, Sarnthein et al. (1994),,https://doi.org/10.1594/PANGAEA.54372,1
GIK16006-1,,0.84,1.36,3.05,,,,,,Cibicidoides wuellerstorfi,1,,,,,Peterson and Lisiecki (2018) compilation, Sarnthein et al. (1994),,https://doi.org/10.1594/PANGAEA.54372,1
GIK16006-1,,0.855,1.43,3.22,,,,,,Cibicidoides wuellerstorfi,1,,,,,Peterson and Lisiecki (2018) compilation, Sarnthein et al. (1994),,https://doi.org/10.1594/PANGAEA.54372,1
GIK16006-1,,0.86,1.08,3.11,,,,,,Cibicidoides wuellerstorfi,1,,,,,Peterson and Lisiecki (2018) compilation, Sarnthein et al. (1994),,https://doi.org/10.1594/PANGAEA.54372,1
GIK16006-1,,0.88,1.26,3.13,,,,,,Cibicidoides wuellerstorfi,1,,,,,Peterson and Lisiecki (2018) compilation, Sarnthein et al. (1994),,https://doi.org/10.1594/PANGAEA.54372,1
GIK16006-1,,0.9,1.32,3,,,,,,Cibicidoides wuellerstorfi,1,,,,,Peterson and Lisiecki (2018) compilation, Sarnthein et al. (1994),,https://doi.org/10.1594/PANGAEA.54372,1
GIK16006-1,,0.905,1.59,3.35,,,,,,Cibicidoides wuellerstorfi,1,,,,,Peterson and Lisiecki (2018) compilation, Sarnthein et al. (1994),,https://doi.org/10.1594/PANGAEA.54372,1
GIK16006-1,,0.95,1.31,3.31,,,,,,Cibicidoides wuellerstorfi,1,,,,,Peterson and Lisiecki (2018) compilation, Sarnthein et al. (1994),,https://doi.org/10.1594/PANGAEA.54372,1
GIK16006-1,,1,1.51,3.25,,,,,,Cibicidoides wuellerstorfi,1,,,,,Peterson and Lisiecki (2018) compilation, Sarnthein et al. (1994),,https://doi.org/10.1594/PANGAEA.54372,1
GIK16006-1,,1.05,1.49,3.26,,,,,,Cibicidoides wuellerstorfi,1,,,,,Peterson and Lisiecki (2018) compilation, Sarnthein et al. (1994),,https://doi.org/10.1594/PANGAEA.54372,1
GIK16006-1,,1.105,1.48,3.21,,,,,,Cibicidoides wuellerstorfi,1,,,,,Peterson and Lisiecki (2018) compilation, Sarnthein et al. (1994),,https://doi.org/10.1594/PANGAEA.54372,1
GIK16006-1,,1.15,1.45,3.23,,,,,,Cibicidoides wuellerstorfi,1,,,,,Peterson and Lisiecki (2018) compilation, Sarnthein et al. (1994),,https://doi.org/10.1594/PANGAEA.54372,1
GIK16006-1,,1.205,1.56,3.19,,,,,,Cibicidoides wuellerstorfi,1,,,,,Peterson and Lisiecki (2018) compilation, Sarnthein et al. (1994),,https://doi.org/10.1594/PANGAEA.54372,1
GIK16006-1,,1.405,1.45,2.95,,,,,,Cibicidoides wuellerstorfi,1,,,,,Peterson and Lisiecki (2018) compilation, Sarnthein et al. (1994),,https://doi.org/10.1594/PANGAEA.54372,1
GIK16006-1,,1.605,1.32,2.81,,,,,,Cibicidoides wuellerstorfi,1,,,,,Peterson and Lisiecki (2018) compilation, Sarnthein et al. (1994),,https://doi.org/10.1594/PANGAEA.54372,1
GIK16006-1,,1.805,1.37,2.89,,,,,,Cibicidoides wuellerstorfi,1,,,,,Peterson and Lisiecki (2018) compilation, Sarnthein et al. (1994),,https://doi.org/10.1594/PANGAEA.54372,1
GIK16006-1,,2.005,1.34,2.86,,,,,,Cibicidoides wuellerstorfi,1,,,,,Peterson and Lisiecki (2018) compilation, Sarnthein et al. (1994),,https://doi.org/10.1594/PANGAEA.54372,1
GIK16006-1,,2.205,1.36,2.87,,,,,,Cibicidoides wuellerstorfi,1,,,,,Peterson and Lisiecki (2018) compilation, Sarnthein et al. (1994),,https://doi.org/10.1594/PANGAEA.54372,1
GIK16006-1,,2.405,1.35,2.61,,,,,,Cibicidoides wuellerstorfi,1,,,,,Peterson and Lisiecki (2018) compilation, Sarnthein et al. (1994),,https://doi.org/10.1594/PANGAEA.54372,1
