Site,Sample label,sample_depth,technique,lab. code,species/material,radiocarbon_age (y),radiocarbon_age_error_plus (y),radiocarbon_age_error_minus (y),reservoir_age (y),reservoir_age_error_plus (y),reservoir_age_error_minus (y),calendar_age (yBP),calendar_age_error_plus (yBP),calendar_age_error_minus (yBP),calibration curve,alignment target,alignment proxy,note1,note2,original reference,data doi
GIK16017,,0.13,,,,3600.0,85.0,85.0,282.0,50.8,50.8,3565.0,263.0,202.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,
GIK16017,,0.375,,,,7200.0,120.0,120.0,339.0,54.199999999999996,54.199999999999996,7722.0,235.0,232.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,
GIK16017,,0.8,,,,11470.0,110.0,110.0,502.0,30.200000000000003,30.200000000000003,12910.0,181.0,165.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,
GIK16017,,1.2,,,,13700.0,140.0,140.0,508.0,50.0,50.0,15844.0,430.9999999999982,459.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,
GIK16017,,1.6,,,,16059.999999999998,230.0,230.0,714.0,47.4,47.4,18611.0,479.0,391.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,
GIK16017,,2.165,,,,15300.0,490.0,490.0,698.0,64.10000000000001,64.10000000000001,17777.0,1107.0,1221.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,
GIK16017,,2.165,,,,15700.0,150.0,150.0,616.0,47.1,47.1,18449.0,307.0,294.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,
GIK16017,,2.165,,,,17800.0,220.0,220.0,682.0,68.0,68.0,20693.0,649.0,545.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,
GIK16017,,2.25,,,,20060.0,300.0,300.0,663.0,58.3,58.3,23399.0,693.0,669.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,
GIK16017,,2.76,,,,24490.0,770.0,770.0,680.0,73.4,73.4,28200.0,1699.0,1678.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,
GIK16017,,3.1,,,,29520.0,850.0,850.0,656.0,83.4,83.4,33121.0,1746.0,1814.0,IntCal20,,,From Mulitza et al. 2022 ESSD compilation,,,
