Site,Sample Label,age_model_depth (m),age_model (y BP),age_model_sigma_plus(y BP),age_model_sigma_minus(y BP),upper_95_percent(y BP),lower_95_percent(y BP),age_flag,age_model_note,age_model_collection,quality control
GIK16030,,0.008,16.777,,,,,4,Age model from Peterson and Lisiecki (2018),,1
GIK16030,,0.06,1418.6,,,,,4,Age model from Peterson and Lisiecki (2018),,1
GIK16030,,0.15,3513.2,,,,,4,Age model from Peterson and Lisiecki (2018),,1
GIK16030,,0.25,5714.8,,,,,4,Age model from Peterson and Lisiecki (2018),,1
GIK16030,,0.35,7585.5,,,,,4,Age model from Peterson and Lisiecki (2018),,1
GIK16030,,0.45,9315.5,,,,,4,Age model from Peterson and Lisiecki (2018),,1
GIK16030,,0.5,10380,,,,,4,Age model from Peterson and Lisiecki (2018),,1
GIK16030,,0.55,11505,,,,,4,Age model from Peterson and Lisiecki (2018),,1
GIK16030,,0.6,12550,,,,,4,Age model from Peterson and Lisiecki (2018),,1
GIK16030,,0.65,13532,,,,,4,Age model from Peterson and Lisiecki (2018),,1
GIK16030,,0.7,14533,,,,,4,Age model from Peterson and Lisiecki (2018),,1
GIK16030,,0.75,15455,,,,,4,Age model from Peterson and Lisiecki (2018),,1
GIK16030,,0.8,16420,,,,,4,Age model from Peterson and Lisiecki (2018),,1
GIK16030,,0.85,17204,,,,,4,Age model from Peterson and Lisiecki (2018),,1
GIK16030,,0.9,17674,,,,,4,Age model from Peterson and Lisiecki (2018),,1
GIK16030,,1,18482,,,,,4,Age model from Peterson and Lisiecki (2018),,1
GIK16030,,1.05,18855,,,,,4,Age model from Peterson and Lisiecki (2018),,1
GIK16030,,1.1,19271,,,,,4,Age model from Peterson and Lisiecki (2018),,1
GIK16030,,1.15,19716,,,,,4,Age model from Peterson and Lisiecki (2018),,1
GIK16030,,1.2,20169,,,,,4,Age model from Peterson and Lisiecki (2018),,1
GIK16030,,1.25,20630,,,,,4,Age model from Peterson and Lisiecki (2018),,1
GIK16030,,1.3,21095,,,,,4,Age model from Peterson and Lisiecki (2018),,1
GIK16030,,1.35,21653,,,,,4,Age model from Peterson and Lisiecki (2018),,1
GIK16030,,1.4,22502,,,,,4,Age model from Peterson and Lisiecki (2018),,1
GIK16030,,1.5,25180,,,,,4,Age model from Peterson and Lisiecki (2018),,1
GIK16030,,1.6,29277,,,,,4,Age model from Peterson and Lisiecki (2018),,1
GIK16030,,1.7,31436,,,,,4,Age model from Peterson and Lisiecki (2018),,1
GIK16030,,1.8,34448,,,,,4,Age model from Peterson and Lisiecki (2018),,1
GIK16030,,2,38380,,,,,4,Age model from Peterson and Lisiecki (2018),,1
GIK16030,,2.1,40336,,,,,4,Age model from Peterson and Lisiecki (2018),,1
GIK16030,,2.2,42824,,,,,4,Age model from Peterson and Lisiecki (2018),,1
