Site,Sample Label,age_model_depth (m),age_model (y BP),age_model_sigma_plus(y BP),age_model_sigma_minus(y BP),upper_97.5_percent(y BP),lower_97.5_percent(y BP),age_flag,age_model_note,age_model_collection,quality control
GIK16030,,0.00800000011920929,9717.69140625,,,10513.2900390625,9019.2900390625,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
GIK16030,,0.017999999523162842,9805.587890625,,,10558.3203125,9110.3203125,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
GIK16030,,0.027999999523162844,9893.498046875,,,10616.736328125,9189.736328125,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
GIK16030,,0.037999999523162846,9981.3876953125,,,10707.154296875,9244.154296875,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
GIK16030,,0.048000001907348634,10069.2880859375,,,10826.3330078125,9304.3330078125,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
GIK16030,,0.058000001907348636,10157.189453125,,,10962.2294921875,9353.2294921875,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
GIK16030,,0.06800000190734863,10239.6630859375,,,11042.357421875,9464.357421875,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
GIK16030,,0.07800000190734864,10321.619140625,,,11111.9814453125,9564.9814453125,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
GIK16030,,0.08800000190734864,10403.58203125,,,11185.98046875,9648.98046875,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
GIK16030,,0.09800000190734863,10485.541015625,,,11274.978515625,9717.978515625,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
GIK16030,,0.10800000190734864,10567.5068359375,,,11391.9765625,9761.9765625,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
GIK16030,,0.11800000190734863,10651.7685546875,,,11444.478515625,9869.478515625,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
GIK16030,,0.12800000190734864,10736.5048828125,,,11507.9814453125,9981.9814453125,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
GIK16030,,0.13800000190734862,10821.2314453125,,,11557.4833984375,10042.4833984375,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
GIK16030,,0.14800000190734863,10905.958984375,,,11635.986328125,10133.986328125,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
GIK16030,,0.15800000190734864,10990.69921875,,,11790.4892578125,10185.4892578125,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
GIK16030,,0.16799999237060548,11070.62890625,,,11876.7236328125,10264.7236328125,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
GIK16030,,0.17799999237060546,11148.90234375,,,11923.7001953125,10354.7001953125,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
GIK16030,,0.18799999237060547,11227.1650390625,,,12019.2216796875,10389.2216796875,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
GIK16030,,0.19799999237060548,11305.435546875,,,12148.7421875,10434.7421875,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
GIK16030,,0.20799999237060549,11383.71875,,,12280.263671875,10493.263671875,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
GIK16030,,0.21799999237060547,11463.71875,,,12409.1279296875,10572.1279296875,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
GIK16030,,0.22799999237060548,11544.6484375,,,12505.998046875,10655.998046875,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
GIK16030,,0.23799999237060548,11625.5810546875,,,12606.8671875,10724.8671875,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
GIK16030,,0.24799999237060547,11706.4990234375,,,12785.7373046875,10777.7373046875,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
GIK16030,,0.25799999237060545,11787.4365234375,,,12934.6064453125,10816.6064453125,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
GIK16030,,0.26799999237060546,11868.7724609375,,,13020.5439453125,10878.5439453125,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
GIK16030,,0.27799999237060546,11950.427734375,,,13074.7822265625,10967.7822265625,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
GIK16030,,0.2879999923706055,12032.0927734375,,,13156.021484375,11036.021484375,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
GIK16030,,0.2979999923706055,12113.7421875,,,13270.259765625,11082.259765625,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
GIK16030,,0.3079999923706055,12195.40625,,,13365.498046875,11123.498046875,3,Age model calculated by Stefan Mulitza,"Calculated from 14C AMS dates with BACON, IntCal20 calibration",1
